Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.301062,0.254697,0.332645,0.275945,33410,76387,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,158199,.,.,99041.000000,49955.000000,,1.98260434391,367270,.,.,197553.000000,144116.000000,,1.37079158456,976996,.,.,859735.000000,85475.000000,,10.0583211465,166063,.,.,113230.000000,49927.000000,,2.26791115028,485940,.,.,468420.000000,5126.000000,,91.3811939134,324993,.,.,278085.000000,30422.000000,,9.14091775689
INDEL,*,*,PASS,*,QUAL,*,0.301062,0.254697,0.332645,0.275945,33410,76387,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,158199,.,.,99041.000000,49955.000000,,1.98260434391,367270,.,.,197553.000000,144116.000000,,1.37079158456,976996,.,.,859735.000000,85475.000000,,10.0583211465,166063,.,.,113230.000000,49927.000000,,2.26791115028,485940,.,.,468420.000000,5126.000000,,91.3811939134,324993,.,.,278085.000000,30422.000000,,9.14091775689
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.238362,0.149792,0.373606,0.183972,25564,57947,83977437.000000,62848827.000000,0.000000,229965,.,.,127616.000000,85987.000000,,1.48413132218,54815,.,.,40923.000000,11076.000000,,3.69474539545,175150,.,.,86693.000000,74911.000000,,1.15727997223,622452,.,.,583201.000000,17799.000000,,32.7659419068,58404,.,.,46496.000000,11056.000000,,4.20549927641,331496,.,.,321510.000000,824.000000,,390.182038835,232552,.,.,215195.000000,5919.000000,,36.3566480824
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.238362,0.149792,0.373606,0.183972,25564,57947,83977437.000000,62848827.000000,0.000000,229965,.,.,127616.000000,85987.000000,,1.48413132218,54815,.,.,40923.000000,11076.000000,,3.69474539545,175150,.,.,86693.000000,74911.000000,,1.15727997223,622452,.,.,583201.000000,17799.000000,,32.7659419068,58404,.,.,46496.000000,11056.000000,,4.20549927641,331496,.,.,321510.000000,824.000000,,390.182038835,232552,.,.,215195.000000,5919.000000,,36.3566480824
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.341227,0.546855,0.783669,0.420235,651,1101,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,6470,.,.,3730.000000,2135.000000,,1.74707259953,12491,.,.,7451.000000,3955.000000,,1.88394437421,58207,.,.,39674.000000,16476.000000,,2.40798737558,6886,.,.,4587.000000,2131.000000,,2.15251055842,5706,.,.,5118.000000,372.000000,,13.7580645161,45615,.,.,29969.000000,13973.000000,,2.14477921706
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.341227,0.546855,0.783669,0.420235,651,1101,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,6470,.,.,3730.000000,2135.000000,,1.74707259953,12491,.,.,7451.000000,3955.000000,,1.88394437421,58207,.,.,39674.000000,16476.000000,,2.40798737558,6886,.,.,4587.000000,2131.000000,,2.15251055842,5706,.,.,5118.000000,372.000000,,13.7580645161,45615,.,.,29969.000000,13973.000000,,2.14477921706
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.263383,0.207763,0.391482,0.23229,31596,65321,252347426.000000,122953793.000000,0.000000,339122,.,.,186103.000000,118354.000000,,1.57242678743,89319,.,.,58827.000000,21333.000000,,2.75755871185,249803,.,.,127276.000000,97021.000000,,1.31183970481,768774,.,.,689440.000000,47826.000000,,14.4155898465,97194,.,.,73021.000000,21307.000000,,3.42708968883,370619,.,.,355512.000000,2814.000000,,126.336886994,300961,.,.,260907.000000,23705.000000,,11.0064121493
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.263383,0.207763,0.391482,0.23229,31596,65321,252347426.000000,122953793.000000,0.000000,339122,.,.,186103.000000,118354.000000,,1.57242678743,89319,.,.,58827.000000,21333.000000,,2.75755871185,249803,.,.,127276.000000,97021.000000,,1.31183970481,768774,.,.,689440.000000,47826.000000,,14.4155898465,97194,.,.,73021.000000,21307.000000,,3.42708968883,370619,.,.,355512.000000,2814.000000,,126.336886994,300961,.,.,260907.000000,23705.000000,,11.0064121493
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.361607,0.627907,0.670077,0.458924,2,8,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,81,.,.,44.000000,37.000000,,1.18918918919,143,.,.,80.000000,63.000000,,1.26984126984,391,.,.,329.000000,53.000000,,6.20754716981,81,.,.,44.000000,37.000000,,1.18918918919,48,.,.,46.000000,2.000000,,23.0,262,.,.,239.000000,14.000000,,17.0714285714
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.361607,0.627907,0.670077,0.458924,2,8,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,81,.,.,44.000000,37.000000,,1.18918918919,143,.,.,80.000000,63.000000,,1.26984126984,391,.,.,329.000000,53.000000,,6.20754716981,81,.,.,44.000000,37.000000,,1.18918918919,48,.,.,46.000000,2.000000,,23.0,262,.,.,239.000000,14.000000,,17.0714285714
