Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.833398,0.940693,0.367779,0.883801,8506,13036,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,437925,.,.,252333.000000,165529.000000,,1.52440357883,87544,.,.,44261.000000,28542.000000,,1.55073225422,758314,.,.,481996.000000,259786.000000,,1.85535787148,450989,.,.,279447.000000,165452.000000,,1.6889913691,28433,.,.,19015.000000,8654.000000,,2.19724982667,278892,.,.,183534.000000,85680.000000,,2.14208683473
INDEL,*,*,PASS,*,QUAL,*,0.833398,0.940693,0.367779,0.883801,8506,13036,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,437925,.,.,252333.000000,165529.000000,,1.52440357883,87544,.,.,44261.000000,28542.000000,,1.55073225422,758314,.,.,481996.000000,259786.000000,,1.85535787148,450989,.,.,279447.000000,165452.000000,,1.6889913691,28433,.,.,19015.000000,8654.000000,,2.19724982667,278892,.,.,183534.000000,85680.000000,,2.14208683473
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.636893,0.858171,0.35158,0.731157,6603,11703,83977437.000000,62848827.000000,0.000000,229965,.,.,127616.000000,85987.000000,,1.48413132218,146463,.,.,85476.000000,58002.000000,,1.47367332161,83502,.,.,42140.000000,27985.000000,,1.50580668215,266733,.,.,164242.000000,99279.000000,,1.65434784798,148425,.,.,89834.000000,57953.000000,,1.55011819923,24530,.,.,16426.000000,7860.000000,,2.08982188295,93778,.,.,57982.000000,33466.000000,,1.73256439371
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.636893,0.858171,0.35158,0.731157,6603,11703,83977437.000000,62848827.000000,0.000000,229965,.,.,127616.000000,85987.000000,,1.48413132218,146463,.,.,85476.000000,58002.000000,,1.47367332161,83502,.,.,42140.000000,27985.000000,,1.50580668215,266733,.,.,164242.000000,99279.000000,,1.65434784798,148425,.,.,89834.000000,57953.000000,,1.55011819923,24530,.,.,16426.000000,7860.000000,,2.08982188295,93778,.,.,57982.000000,33466.000000,,1.73256439371
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.981699,0.982602,0.82865,0.98215,146,151,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18614,.,.,10999.000000,6026.000000,,1.82525721872,347,.,.,182.000000,64.000000,,2.84375,116732,.,.,80513.000000,33273.000000,,2.41976978331,19654,.,.,13191.000000,6023.000000,,2.19010459904,348,.,.,239.000000,73.000000,,3.27397260274,96730,.,.,67083.000000,27177.000000,,2.46837399271
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.981699,0.982602,0.82865,0.98215,146,151,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18614,.,.,10999.000000,6026.000000,,1.82525721872,347,.,.,182.000000,64.000000,,2.84375,116732,.,.,80513.000000,33273.000000,,2.41976978331,19654,.,.,13191.000000,6023.000000,,2.19010459904,348,.,.,239.000000,73.000000,,3.27397260274,96730,.,.,67083.000000,27177.000000,,2.46837399271
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.744237,0.905282,0.451075,0.816898,8386,12882,252347426.000000,122953793.000000,0.000000,339122,.,.,186103.000000,118354.000000,,1.57242678743,252387,.,.,142510.000000,89883.000000,,1.58550560173,86735,.,.,43593.000000,28471.000000,,1.53113694637,534186,.,.,348861.000000,169003.000000,,2.06422962906,265454,.,.,169602.000000,89818.000000,,1.88828519896,27774,.,.,18494.000000,8523.000000,,2.16989323008,240958,.,.,160765.000000,70662.000000,,2.27512665931
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.744237,0.905282,0.451075,0.816898,8386,12882,252347426.000000,122953793.000000,0.000000,339122,.,.,186103.000000,118354.000000,,1.57242678743,252387,.,.,142510.000000,89883.000000,,1.58550560173,86735,.,.,43593.000000,28471.000000,,1.53113694637,534186,.,.,348861.000000,169003.000000,,2.06422962906,265454,.,.,169602.000000,89818.000000,,1.88828519896,27774,.,.,18494.000000,8523.000000,,2.16989323008,240958,.,.,160765.000000,70662.000000,,2.27512665931
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.995536,1.0,0.473934,0.997763,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,223,.,.,123.000000,100.000000,,1.23,1,.,.,1.000000,0.000000,,,422,.,.,255.000000,164.000000,,1.55487804878,222,.,.,123.000000,99.000000,,1.24242424242,0,.,.,0.000000,0.000000,,,200,.,.,132.000000,65.000000,,2.03076923077
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.995536,1.0,0.473934,0.997763,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,223,.,.,123.000000,100.000000,,1.23,1,.,.,1.000000,0.000000,,,422,.,.,255.000000,164.000000,,1.55487804878,222,.,.,123.000000,99.000000,,1.24242424242,0,.,.,0.000000,0.000000,,,200,.,.,132.000000,65.000000,,2.03076923077
