Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.829193,0.651068,0.417583,0.729413,36074,54294,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,435715,.,.,262795.000000,150666.000000,,1.74422231957,89754,.,.,33799.000000,43405.000000,,0.778689091119,1189210,.,.,921201.000000,224919.000000,,4.09570111907,450940,.,.,293516.000000,150576.000000,,1.94928806716,241676,.,.,224867.000000,5088.000000,,44.1955581761,496594,.,.,402818.000000,69255.000000,,5.81644646596
INDEL,*,*,PASS,*,QUAL,*,0.829193,0.651068,0.417583,0.729413,36074,54294,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,435715,.,.,262795.000000,150666.000000,,1.74422231957,89754,.,.,33799.000000,43405.000000,,0.778689091119,1189210,.,.,921201.000000,224919.000000,,4.09570111907,450940,.,.,293516.000000,150576.000000,,1.94928806716,241676,.,.,224867.000000,5088.000000,,44.1955581761,496594,.,.,402818.000000,69255.000000,,5.81644646596
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.646277,0.406563,0.446307,0.499131,30442,49449,83977437.000000,62848827.000000,0.000000,229965,.,.,127616.000000,85987.000000,,1.48413132218,148621,.,.,96659.000000,46482.000000,,2.07949313713,81344,.,.,30957.000000,39505.000000,,0.783622326288,679198,.,.,580815.000000,72726.000000,,7.98634601106,152895,.,.,104949.000000,46434.000000,,2.2601757333,223172,.,.,209501.000000,4755.000000,,44.0590956887,303131,.,.,266365.000000,21537.000000,,12.3677856712
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.646277,0.406563,0.446307,0.499131,30442,49449,83977437.000000,62848827.000000,0.000000,229965,.,.,127616.000000,85987.000000,,1.48413132218,148621,.,.,96659.000000,46482.000000,,2.07949313713,81344,.,.,30957.000000,39505.000000,,0.783622326288,679198,.,.,580815.000000,72726.000000,,7.98634601106,152895,.,.,104949.000000,46434.000000,,2.2601757333,223172,.,.,209501.000000,4755.000000,,44.0590956887,303131,.,.,266365.000000,21537.000000,,12.3677856712
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.970044,0.948449,0.829808,0.959125,315,352,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18393,.,.,10953.000000,5838.000000,,1.87615621788,568,.,.,228.000000,252.000000,,0.904761904762,120476,.,.,86156.000000,30634.000000,,2.81243063263,19447,.,.,13166.000000,5835.000000,,2.25638389032,1057,.,.,886.000000,27.000000,,32.8148148148,99972,.,.,72104.000000,24772.000000,,2.91070563539
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.970044,0.948449,0.829808,0.959125,315,352,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18393,.,.,10953.000000,5838.000000,,1.87615621788,568,.,.,228.000000,252.000000,,0.904761904762,120476,.,.,86156.000000,30634.000000,,2.81243063263,19447,.,.,13166.000000,5835.000000,,2.25638389032,1057,.,.,886.000000,27.000000,,32.8148148148,99972,.,.,72104.000000,24772.000000,,2.91070563539
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.736832,0.527945,0.475894,0.615139,35941,53881,252347426.000000,122953793.000000,0.000000,339122,.,.,186103.000000,118354.000000,,1.57242678743,249876,.,.,152661.000000,75080.000000,,2.03331113479,89246,.,.,33442.000000,43274.000000,,0.772796598419,958070,.,.,781111.000000,134230.000000,,5.81919839082,265097,.,.,183348.000000,75007.000000,,2.44441185489,237033,.,.,220311.000000,5019.000000,,43.8953974895,455940,.,.,377452.000000,54204.000000,,6.96354512582
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.736832,0.527945,0.475894,0.615139,35941,53881,252347426.000000,122953793.000000,0.000000,339122,.,.,186103.000000,118354.000000,,1.57242678743,249876,.,.,152661.000000,75080.000000,,2.03331113479,89246,.,.,33442.000000,43274.000000,,0.772796598419,958070,.,.,781111.000000,134230.000000,,5.81919839082,265097,.,.,183348.000000,75007.000000,,2.44441185489,237033,.,.,220311.000000,5019.000000,,43.8953974895,455940,.,.,377452.000000,54204.000000,,6.96354512582
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.991071,0.965066,0.611205,0.977896,1,2,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,222,.,.,123.000000,99.000000,,1.24242424242,2,.,.,1.000000,1.000000,,1.0,589,.,.,421.000000,155.000000,,2.71612903226,221,.,.,123.000000,98.000000,,1.25510204082,8,.,.,7.000000,1.000000,,7.0,360,.,.,291.000000,56.000000,,5.19642857143
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.991071,0.965066,0.611205,0.977896,1,2,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,222,.,.,123.000000,99.000000,,1.24242424242,2,.,.,1.000000,1.000000,,1.0,589,.,.,421.000000,155.000000,,2.71612903226,221,.,.,123.000000,98.000000,,1.25510204082,8,.,.,7.000000,1.000000,,7.0,360,.,.,291.000000,56.000000,,5.19642857143
