Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.875013,0.919577,0.351577,0.896742,20018,13496,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,459792,.,.,262909.000000,172743.000000,,1.52196615782,65677,.,.,33685.000000,21328.000000,,1.5793792198,796349,.,.,505250.000000,260921.000000,,1.93640987119,474843,.,.,294270.000000,172696.000000,,1.70397693056,41528,.,.,30361.000000,6710.000000,,4.52473919523,279978,.,.,180619.000000,81515.000000,,2.2157762375
INDEL,*,*,PASS,*,QUAL,*,0.875013,0.919577,0.351577,0.896742,20018,13496,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,459792,.,.,262909.000000,172743.000000,,1.52196615782,65677,.,.,33685.000000,21328.000000,,1.5793792198,796349,.,.,505250.000000,260921.000000,,1.93640987119,474843,.,.,294270.000000,172696.000000,,1.70397693056,41528,.,.,30361.000000,6710.000000,,4.52473919523,279978,.,.,180619.000000,81515.000000,,2.2157762375
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.733516,0.815106,0.378063,0.772162,18555,12864,83977437.000000,62848827.000000,0.000000,229965,.,.,127616.000000,85987.000000,,1.48413132218,168683,.,.,96378.000000,65778.000000,,1.46520113108,61282,.,.,31238.000000,20209.000000,,1.54574694443,340144,.,.,217567.000000,106275.000000,,2.04720771583,172434,.,.,104461.000000,65753.000000,,1.58868796861,39114,.,.,28476.000000,6486.000000,,4.39037927845,128596,.,.,84630.000000,34036.000000,,2.48648489834
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.733516,0.815106,0.378063,0.772162,18555,12864,83977437.000000,62848827.000000,0.000000,229965,.,.,127616.000000,85987.000000,,1.48413132218,168683,.,.,96378.000000,65778.000000,,1.46520113108,61282,.,.,31238.000000,20209.000000,,1.54574694443,340144,.,.,217567.000000,106275.000000,,2.04720771583,172434,.,.,104461.000000,65753.000000,,1.58868796861,39114,.,.,28476.000000,6486.000000,,4.39037927845,128596,.,.,84630.000000,34036.000000,,2.48648489834
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.972417,0.988133,0.800576,0.980212,136,68,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18438,.,.,10830.000000,5985.000000,,1.80952380952,523,.,.,351.000000,105.000000,,3.34285714286,98875,.,.,61738.000000,33516.000000,,1.84204559017,19484,.,.,13045.000000,5985.000000,,2.17961570593,234,.,.,189.000000,27.000000,,7.0,79157,.,.,48504.000000,27504.000000,,1.76352530541
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.972417,0.988133,0.800576,0.980212,136,68,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18438,.,.,10830.000000,5985.000000,,1.80952380952,523,.,.,351.000000,105.000000,,3.34285714286,98875,.,.,61738.000000,33516.000000,,1.84204559017,19484,.,.,13045.000000,5985.000000,,2.17961570593,234,.,.,189.000000,27.000000,,7.0,79157,.,.,48504.000000,27504.000000,,1.76352530541
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.8088,0.875218,0.430365,0.840699,19972,13435,252347426.000000,122953793.000000,0.000000,339122,.,.,186103.000000,118354.000000,,1.57242678743,274282,.,.,152971.000000,97305.000000,,1.57207748831,64840,.,.,33132.000000,21049.000000,,1.57404152216,580416,.,.,378177.000000,172508.000000,,2.1922287662,289369,.,.,184340.000000,97272.000000,,1.89509828111,41256,.,.,30133.000000,6677.000000,,4.51295491987,249791,.,.,163704.000000,68559.000000,,2.38778278563
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.8088,0.875218,0.430365,0.840699,19972,13435,252347426.000000,122953793.000000,0.000000,339122,.,.,186103.000000,118354.000000,,1.57242678743,274282,.,.,152971.000000,97305.000000,,1.57207748831,64840,.,.,33132.000000,21049.000000,,1.57404152216,580416,.,.,378177.000000,172508.000000,,2.1922287662,289369,.,.,184340.000000,97272.000000,,1.89509828111,41256,.,.,30133.000000,6677.000000,,4.51295491987,249791,.,.,163704.000000,68559.000000,,2.38778278563
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.986607,1.0,0.566667,0.993258,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,221,.,.,123.000000,98.000000,,1.25510204082,3,.,.,1.000000,2.000000,,0.5,510,.,.,275.000000,224.000000,,1.22767857143,221,.,.,123.000000,98.000000,,1.25510204082,0,.,.,0.000000,0.000000,,,289,.,.,152.000000,126.000000,,1.20634920635
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.986607,1.0,0.566667,0.993258,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,221,.,.,123.000000,98.000000,,1.25510204082,3,.,.,1.000000,2.000000,,0.5,510,.,.,275.000000,224.000000,,1.22767857143,221,.,.,123.000000,98.000000,,1.25510204082,0,.,.,0.000000,0.000000,,,289,.,.,152.000000,126.000000,,1.20634920635
