Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.831573,0.940324,0.339205,0.882611,8646,12871,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,436966,.,.,251939.000000,165089.000000,,1.52607987207,88503,.,.,44655.000000,28982.000000,,1.54078393486,720827,.,.,458170.000000,246623.000000,,1.8577748223,447894,.,.,277507.000000,164369.000000,,1.68831714009,28425,.,.,19097.000000,8584.000000,,2.22472041007,244508,.,.,161566.000000,73670.000000,,2.19310438442
INDEL,*,*,PASS,*,QUAL,*,0.831573,0.940324,0.339205,0.882611,8646,12871,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,436966,.,.,251939.000000,165089.000000,,1.52607987207,88503,.,.,44655.000000,28982.000000,,1.54078393486,720827,.,.,458170.000000,246623.000000,,1.8577748223,447894,.,.,277507.000000,164369.000000,,1.68831714009,28425,.,.,19097.000000,8584.000000,,2.22472041007,244508,.,.,161566.000000,73670.000000,,2.19310438442
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.633728,0.856738,0.336736,0.728549,6695,11619,83977437.000000,62848827.000000,0.000000,229971,.,.,127622.000000,85987.000000,,1.48420110017,145739,.,.,85216.000000,57624.000000,,1.478828266,84232,.,.,42406.000000,28363.000000,,1.49511687762,258808,.,.,159608.000000,96187.000000,,1.65935105576,147066,.,.,89045.000000,57416.000000,,1.55087432075,24592,.,.,16555.000000,7807.000000,,2.12053285513,87150,.,.,54008.000000,30964.000000,,1.74421909314
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.633728,0.856738,0.336736,0.728549,6695,11619,83977437.000000,62848827.000000,0.000000,229971,.,.,127622.000000,85987.000000,,1.48420110017,145739,.,.,85216.000000,57624.000000,,1.478828266,84232,.,.,42406.000000,28363.000000,,1.49511687762,258808,.,.,159608.000000,96187.000000,,1.65935105576,147066,.,.,89045.000000,57416.000000,,1.55087432075,24592,.,.,16555.000000,7807.000000,,2.12053285513,87150,.,.,54008.000000,30964.000000,,1.74421909314
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.981066,0.984185,0.802291,0.982623,138,134,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18602,.,.,10979.000000,6028.000000,,1.82133377571,359,.,.,202.000000,62.000000,,3.25806451613,99783,.,.,69299.000000,27716.000000,,2.50032472218,19416,.,.,13025.000000,5952.000000,,2.18834005376,312,.,.,224.000000,59.000000,,3.79661016949,80055,.,.,56050.000000,21705.000000,,2.58235429625
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.981066,0.984185,0.802291,0.982623,138,134,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18602,.,.,10979.000000,6028.000000,,1.82133377571,359,.,.,202.000000,62.000000,,3.25806451613,99783,.,.,69299.000000,27716.000000,,2.50032472218,19416,.,.,13025.000000,5952.000000,,2.18834005376,312,.,.,224.000000,59.000000,,3.79661016949,80055,.,.,56050.000000,21705.000000,,2.58235429625
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.741469,0.904193,0.422869,0.814786,8529,12756,252347426.000000,122953793.000000,0.000000,339127,.,.,186108.000000,118354.000000,,1.57246903358,251452,.,.,142139.000000,89444.000000,,1.58913957336,87675,.,.,43969.000000,28910.000000,,1.52089242477,503482,.,.,328919.000000,158737.000000,,2.07210039247,262736,.,.,167849.000000,88925.000000,,1.88753443913,27839,.,.,18636.000000,8468.000000,,2.20075578649,212907,.,.,142434.000000,61344.000000,,2.32188967136
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.741469,0.904193,0.422869,0.814786,8529,12756,252347426.000000,122953793.000000,0.000000,339127,.,.,186108.000000,118354.000000,,1.57246903358,251452,.,.,142139.000000,89444.000000,,1.58913957336,87675,.,.,43969.000000,28910.000000,,1.52089242477,503482,.,.,328919.000000,158737.000000,,2.07210039247,262736,.,.,167849.000000,88925.000000,,1.88753443913,27839,.,.,18636.000000,8468.000000,,2.20075578649,212907,.,.,142434.000000,61344.000000,,2.32188967136
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.986607,1.0,0.430052,0.993258,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,221,.,.,121.000000,100.000000,,1.21,3,.,.,3.000000,0.000000,,,386,.,.,225.000000,160.000000,,1.40625,220,.,.,121.000000,99.000000,,1.22222222222,0,.,.,0.000000,0.000000,,,166,.,.,104.000000,61.000000,,1.70491803279
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.986607,1.0,0.430052,0.993258,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,221,.,.,121.000000,100.000000,,1.21,3,.,.,3.000000,0.000000,,,386,.,.,225.000000,160.000000,,1.40625,220,.,.,121.000000,99.000000,,1.22222222222,0,.,.,0.000000,0.000000,,,166,.,.,104.000000,61.000000,,1.70491803279
