Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.301911,0.257419,0.329087,0.277895,33027,77515,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,158645,.,.,99524.000000,49932.000000,,1.99319073941,366824,.,.,197070.000000,144139.000000,,1.36722191773,973501,.,.,858681.000000,83570.000000,,10.2749910255,168129,.,.,115154.000000,50070.000000,,2.29986019573,485005,.,.,467771.000000,4994.000000,,93.6665999199,320367,.,.,275756.000000,28506.000000,,9.67361257279
INDEL,*,*,PASS,*,QUAL,*,0.301911,0.257419,0.329087,0.277895,33027,77515,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,158645,.,.,99524.000000,49932.000000,,1.99319073941,366824,.,.,197070.000000,144139.000000,,1.36722191773,973501,.,.,858681.000000,83570.000000,,10.2749910255,168129,.,.,115154.000000,50070.000000,,2.29986019573,485005,.,.,467771.000000,4994.000000,,93.6665999199,320367,.,.,275756.000000,28506.000000,,9.67361257279
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.238536,0.151073,0.373994,0.184987,25463,57931,83977437.000000,62848827.000000,0.000000,229965,.,.,127616.000000,85987.000000,,1.48413132218,54855,.,.,40968.000000,11076.000000,,3.69880823402,175110,.,.,86648.000000,74911.000000,,1.15667925939,621714,.,.,582796.000000,17617.000000,,33.0814554124,58797,.,.,46870.000000,11071.000000,,4.23358323548,330400,.,.,320529.000000,813.000000,,394.254612546,232517,.,.,215397.000000,5733.000000,,37.5714285714
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.238536,0.151073,0.373994,0.184987,25463,57931,83977437.000000,62848827.000000,0.000000,229965,.,.,127616.000000,85987.000000,,1.48413132218,54855,.,.,40968.000000,11076.000000,,3.69880823402,175110,.,.,86648.000000,74911.000000,,1.15667925939,621714,.,.,582796.000000,17617.000000,,33.0814554124,58797,.,.,46870.000000,11071.000000,,4.23358323548,330400,.,.,320529.000000,813.000000,,394.254612546,232517,.,.,215397.000000,5733.000000,,37.5714285714
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.341438,0.54858,0.773539,0.420904,619,1094,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,6474,.,.,3735.000000,2136.000000,,1.74859550562,12487,.,.,7446.000000,3954.000000,,1.88315629742,55493,.,.,38103.000000,15563.000000,,2.44830688171,6894,.,.,4595.000000,2135.000000,,2.15222482436,5673,.,.,5097.000000,351.000000,,14.5213675214,42926,.,.,28411.000000,13077.000000,,2.17259310239
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.341438,0.54858,0.773539,0.420904,619,1094,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,6474,.,.,3735.000000,2136.000000,,1.74859550562,12487,.,.,7446.000000,3954.000000,,1.88315629742,55493,.,.,38103.000000,15563.000000,,2.44830688171,6894,.,.,4595.000000,2135.000000,,2.15222482436,5673,.,.,5097.000000,351.000000,,14.5213675214,42926,.,.,28411.000000,13077.000000,,2.17259310239
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.263787,0.209282,0.389407,0.233394,31358,65244,252347426.000000,122953793.000000,0.000000,339122,.,.,186103.000000,118354.000000,,1.57242678743,89456,.,.,58974.000000,21336.000000,,2.76406074241,249666,.,.,127129.000000,97018.000000,,1.31036508689,764607,.,.,687174.000000,46449.000000,,14.7941613382,97706,.,.,73518.000000,21324.000000,,3.44766460326,369158,.,.,354300.000000,2715.000000,,130.497237569,297743,.,.,259356.000000,22410.000000,,11.5732262383
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.263787,0.209282,0.389407,0.233394,31358,65244,252347426.000000,122953793.000000,0.000000,339122,.,.,186103.000000,118354.000000,,1.57242678743,89456,.,.,58974.000000,21336.000000,,2.76406074241,249666,.,.,127129.000000,97018.000000,,1.31036508689,764607,.,.,687174.000000,46449.000000,,14.7941613382,97706,.,.,73518.000000,21324.000000,,3.44766460326,369158,.,.,354300.000000,2715.000000,,130.497237569,297743,.,.,259356.000000,22410.000000,,11.5732262383
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.357143,0.642857,0.675258,0.459184,3,8,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,80,.,.,44.000000,36.000000,,1.22222222222,144,.,.,80.000000,64.000000,,1.25,388,.,.,330.000000,51.000000,,6.47058823529,81,.,.,46.000000,35.000000,,1.31428571429,45,.,.,43.000000,2.000000,,21.5,262,.,.,241.000000,14.000000,,17.2142857143
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.357143,0.642857,0.675258,0.459184,3,8,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,80,.,.,44.000000,36.000000,,1.22222222222,144,.,.,80.000000,64.000000,,1.25,388,.,.,330.000000,51.000000,,6.47058823529,81,.,.,46.000000,35.000000,,1.31428571429,45,.,.,43.000000,2.000000,,21.5,262,.,.,241.000000,14.000000,,17.2142857143
