Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.832057,0.936257,0.356673,0.881087,8696,15209,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,437220,.,.,252007.000000,165194.000000,,1.52552150805,88249,.,.,44587.000000,28877.000000,,1.54403158223,750082,.,.,477617.000000,256484.000000,,1.8621707397,451789,.,.,280381.000000,165338.000000,,1.69580495712,30759,.,.,21127.000000,8866.000000,,2.38292352808,267534,.,.,176109.000000,82280.000000,,2.14036217793
INDEL,*,*,PASS,*,QUAL,*,0.832057,0.936257,0.356673,0.881087,8696,15209,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,437220,.,.,252007.000000,165194.000000,,1.52552150805,88249,.,.,44587.000000,28877.000000,,1.54403158223,750082,.,.,477617.000000,256484.000000,,1.8621707397,451789,.,.,280381.000000,165338.000000,,1.69580495712,30759,.,.,21127.000000,8866.000000,,2.38292352808,267534,.,.,176109.000000,82280.000000,,2.14036217793
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.635226,0.855301,0.349135,0.729017,6699,12160,83977437.000000,62848827.000000,0.000000,229967,.,.,127618.000000,85987.000000,,1.48415458151,146081,.,.,85363.000000,57748.000000,,1.47819837916,83886,.,.,42255.000000,28239.000000,,1.49633485605,266513,.,.,164669.000000,98646.000000,,1.66929221661,148364,.,.,89975.000000,57751.000000,,1.55798167997,25100,.,.,16984.000000,7865.000000,,2.15944055944,93049,.,.,57710.000000,33030.000000,,1.74719951559
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.635226,0.855301,0.349135,0.729017,6699,12160,83977437.000000,62848827.000000,0.000000,229967,.,.,127618.000000,85987.000000,,1.48415458151,146081,.,.,85363.000000,57748.000000,,1.47819837916,83886,.,.,42255.000000,28239.000000,,1.49633485605,266513,.,.,164669.000000,98646.000000,,1.66929221661,148364,.,.,89975.000000,57751.000000,,1.55798167997,25100,.,.,16984.000000,7865.000000,,2.15944055944,93049,.,.,57710.000000,33030.000000,,1.74719951559
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.978904,0.980813,0.817872,0.979857,148,198,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18561,.,.,10960.000000,6022.000000,,1.81999335769,400,.,.,221.000000,68.000000,,3.25,109599,.,.,75122.000000,31898.000000,,2.35506928334,19578,.,.,13136.000000,6007.000000,,2.18678208756,383,.,.,280.000000,73.000000,,3.83561643836,89638,.,.,61706.000000,25818.000000,,2.39003795801
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.978904,0.980813,0.817872,0.979857,148,198,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18561,.,.,10960.000000,6022.000000,,1.81999335769,400,.,.,221.000000,68.000000,,3.25,109599,.,.,75122.000000,31898.000000,,2.35506928334,19578,.,.,13136.000000,6007.000000,,2.18678208756,383,.,.,280.000000,73.000000,,3.83561643836,89638,.,.,61706.000000,25818.000000,,2.39003795801
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.742518,0.902859,0.44096,0.814876,8530,13481,252347426.000000,122953793.000000,0.000000,339123,.,.,186104.000000,118354.000000,,1.57243523666,251805,.,.,142273.000000,89583.000000,,1.5881696304,87318,.,.,43831.000000,28771.000000,,1.52344374544,525229,.,.,343021.000000,166440.000000,,2.06092886325,265101,.,.,169557.000000,89532.000000,,1.89381450208,28523,.,.,19214.000000,8553.000000,,2.24646322928,231605,.,.,154250.000000,68355.000000,,2.25660156536
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.742518,0.902859,0.44096,0.814876,8530,13481,252347426.000000,122953793.000000,0.000000,339123,.,.,186104.000000,118354.000000,,1.57243523666,251805,.,.,142273.000000,89583.000000,,1.5881696304,87318,.,.,43831.000000,28771.000000,,1.52344374544,525229,.,.,343021.000000,166440.000000,,2.06092886325,265101,.,.,169557.000000,89532.000000,,1.89381450208,28523,.,.,19214.000000,8553.000000,,2.24646322928,231605,.,.,154250.000000,68355.000000,,2.25660156536
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.991071,0.995516,0.478972,0.993289,1,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,222,.,.,122.000000,100.000000,,1.22,2,.,.,2.000000,0.000000,,,428,.,.,261.000000,166.000000,,1.57228915663,222,.,.,124.000000,98.000000,,1.26530612245,1,.,.,0.000000,1.000000,,0.0,205,.,.,137.000000,67.000000,,2.0447761194
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.991071,0.995516,0.478972,0.993289,1,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,222,.,.,122.000000,100.000000,,1.22,2,.,.,2.000000,0.000000,,,428,.,.,261.000000,166.000000,,1.57228915663,222,.,.,124.000000,98.000000,,1.26530612245,1,.,.,0.000000,1.000000,,0.0,205,.,.,137.000000,67.000000,,2.0447761194
