Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.828919,0.64691,0.410311,0.726691,36752,56139,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,435571,.,.,262851.000000,150484.000000,,1.74670396853,89898,.,.,33743.000000,43587.000000,,0.774152843738,1187235,.,.,922574.000000,222382.000000,,4.14860015649,452901,.,.,295364.000000,150660.000000,,1.96046727731,247198,.,.,230403.000000,5215.000000,,44.1808245446,487136,.,.,396807.000000,66507.000000,,5.96639451486
INDEL,*,*,PASS,*,QUAL,*,0.828919,0.64691,0.410311,0.726691,36752,56139,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,435571,.,.,262851.000000,150484.000000,,1.74670396853,89898,.,.,33743.000000,43587.000000,,0.774152843738,1187235,.,.,922574.000000,222382.000000,,4.14860015649,452901,.,.,295364.000000,150660.000000,,1.96046727731,247198,.,.,230403.000000,5215.000000,,44.1808245446,487136,.,.,396807.000000,66507.000000,,5.96639451486
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.646842,0.402862,0.445717,0.496498,30936,50164,83977437.000000,62848827.000000,0.000000,229968,.,.,127618.000000,85988.000000,,1.48413732149,148753,.,.,96853.000000,46418.000000,,2.08653970443,81215,.,.,30765.000000,39570.000000,,0.777482941622,687152,.,.,589286.000000,72398.000000,,8.13953424128,153441,.,.,105505.000000,46399.000000,,2.27386366085,227436,.,.,213852.000000,4783.000000,,44.7108509304,306275,.,.,269929.000000,21216.000000,,12.722897813
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.646842,0.402862,0.445717,0.496498,30936,50164,83977437.000000,62848827.000000,0.000000,229968,.,.,127618.000000,85988.000000,,1.48413732149,148753,.,.,96853.000000,46418.000000,,2.08653970443,81215,.,.,30765.000000,39570.000000,,0.777482941622,687152,.,.,589286.000000,72398.000000,,8.13953424128,153441,.,.,105505.000000,46399.000000,,2.27386366085,227436,.,.,213852.000000,4783.000000,,44.7108509304,306275,.,.,269929.000000,21216.000000,,12.722897813
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.967038,0.949155,0.817889,0.958013,332,343,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18336,.,.,10922.000000,5815.000000,,1.87824591574,625,.,.,259.000000,275.000000,,0.941818181818,112102,.,.,79110.000000,29748.000000,,2.65933844292,19377,.,.,13134.000000,5802.000000,,2.26370217166,1038,.,.,872.000000,26.000000,,33.5384615385,91687,.,.,65104.000000,23920.000000,,2.72173913043
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.967038,0.949155,0.817889,0.958013,332,343,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18336,.,.,10922.000000,5815.000000,,1.87824591574,625,.,.,259.000000,275.000000,,0.941818181818,112102,.,.,79110.000000,29748.000000,,2.65933844292,19377,.,.,13134.000000,5802.000000,,2.26370217166,1038,.,.,872.000000,26.000000,,33.5384615385,91687,.,.,65104.000000,23920.000000,,2.72173913043
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.736722,0.523697,0.469872,0.612208,36517,54588,252347426.000000,122953793.000000,0.000000,339124,.,.,186104.000000,118355.000000,,1.57242195091,249840,.,.,152772.000000,74951.000000,,2.0382916839,89284,.,.,33332.000000,43404.000000,,0.767947654594,955899,.,.,781549.000000,132430.000000,,5.90160084573,265383,.,.,183736.000000,74876.000000,,2.45387039906,241366,.,.,224761.000000,5047.000000,,44.5335843075,449150,.,.,373052.000000,52507.000000,,7.10480507361
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.736722,0.523697,0.469872,0.612208,36517,54588,252347426.000000,122953793.000000,0.000000,339124,.,.,186104.000000,118355.000000,,1.57242195091,249840,.,.,152772.000000,74951.000000,,2.0382916839,89284,.,.,33332.000000,43404.000000,,0.767947654594,955899,.,.,781549.000000,132430.000000,,5.90160084573,265383,.,.,183736.000000,74876.000000,,2.45387039906,241366,.,.,224761.000000,5047.000000,,44.5335843075,449150,.,.,373052.000000,52507.000000,,7.10480507361
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.991071,0.961039,0.603093,0.975824,1,3,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,222,.,.,123.000000,99.000000,,1.24242424242,2,.,.,1.000000,1.000000,,1.0,582,.,.,412.000000,160.000000,,2.575,222,.,.,125.000000,97.000000,,1.28865979381,9,.,.,8.000000,1.000000,,8.0,351,.,.,279.000000,62.000000,,4.5
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.991071,0.961039,0.603093,0.975824,1,3,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,222,.,.,123.000000,99.000000,,1.24242424242,2,.,.,1.000000,1.000000,,1.0,582,.,.,412.000000,160.000000,,2.575,222,.,.,125.000000,97.000000,,1.28865979381,9,.,.,8.000000,1.000000,,8.0,351,.,.,279.000000,62.000000,,4.5
