Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.874023,0.917676,0.349545,0.895318,20241,14294,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,459272,.,.,262578.000000,172603.000000,,1.5212829441,66197,.,.,34016.000000,21468.000000,,1.58449785728,794821,.,.,504284.000000,260765.000000,,1.93386382375,474434,.,.,294023.000000,172553.000000,,1.70395762461,42561,.,.,31293.000000,6853.000000,,4.56632131913,277826,.,.,178968.000000,81359.000000,,2.19973205177
INDEL,*,*,PASS,*,QUAL,*,0.874023,0.917676,0.349545,0.895318,20241,14294,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,459272,.,.,262578.000000,172603.000000,,1.5212829441,66197,.,.,34016.000000,21468.000000,,1.58449785728,794821,.,.,504284.000000,260765.000000,,1.93386382375,474434,.,.,294023.000000,172553.000000,,1.70395762461,42561,.,.,31293.000000,6853.000000,,4.56632131913,277826,.,.,178968.000000,81359.000000,,2.19973205177
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.732472,0.813773,0.377549,0.770985,18639,13072,83977437.000000,62848827.000000,0.000000,229965,.,.,127616.000000,85987.000000,,1.48413132218,168443,.,.,96215.000000,65707.000000,,1.46430365106,61522,.,.,31401.000000,20280.000000,,1.54837278107,340019,.,.,217866.000000,105984.000000,,2.05564990942,172231,.,.,104344.000000,65675.000000,,1.58879330034,39414,.,.,28792.000000,6513.000000,,4.4206970674,128374,.,.,84730.000000,33796.000000,,2.50710143212
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.732472,0.813773,0.377549,0.770985,18639,13072,83977437.000000,62848827.000000,0.000000,229965,.,.,127616.000000,85987.000000,,1.48413132218,168443,.,.,96215.000000,65707.000000,,1.46430365106,61522,.,.,31401.000000,20280.000000,,1.54837278107,340019,.,.,217866.000000,105984.000000,,2.05564990942,172231,.,.,104344.000000,65675.000000,,1.58879330034,39414,.,.,28792.000000,6513.000000,,4.4206970674,128374,.,.,84730.000000,33796.000000,,2.50710143212
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.970097,0.986835,0.797873,0.978394,144,80,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18394,.,.,10797.000000,5982.000000,,1.80491474423,567,.,.,384.000000,108.000000,,3.55555555556,97330,.,.,59877.000000,34069.000000,,1.75752150048,19414,.,.,12988.000000,5975.000000,,2.17372384937,259,.,.,214.000000,28.000000,,7.64285714286,77657,.,.,46675.000000,28066.000000,,1.66304425283
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.970097,0.986835,0.797873,0.978394,144,80,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18394,.,.,10797.000000,5982.000000,,1.80491474423,567,.,.,384.000000,108.000000,,3.55555555556,97330,.,.,59877.000000,34069.000000,,1.75752150048,19414,.,.,12988.000000,5975.000000,,2.17372384937,259,.,.,214.000000,28.000000,,7.64285714286,77657,.,.,46675.000000,28066.000000,,1.66304425283
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.807541,0.8739,0.428518,0.839411,20104,13711,252347426.000000,122953793.000000,0.000000,339122,.,.,186103.000000,118354.000000,,1.57242678743,273855,.,.,152698.000000,97199.000000,,1.57098324057,65267,.,.,33405.000000,21155.000000,,1.57905932404,578447,.,.,376561.000000,172564.000000,,2.18215270856,288887,.,.,184012.000000,97136.000000,,1.89437489705,41685,.,.,30575.000000,6711.000000,,4.55595291313,247875,.,.,161974.000000,68717.000000,,2.35711687064
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.807541,0.8739,0.428518,0.839411,20104,13711,252347426.000000,122953793.000000,0.000000,339122,.,.,186103.000000,118354.000000,,1.57242678743,273855,.,.,152698.000000,97199.000000,,1.57098324057,65267,.,.,33405.000000,21155.000000,,1.57905932404,578447,.,.,376561.000000,172564.000000,,2.18215270856,288887,.,.,184012.000000,97136.000000,,1.89437489705,41685,.,.,30575.000000,6711.000000,,4.55595291313,247875,.,.,161974.000000,68717.000000,,2.35711687064
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.986607,1.0,0.563851,0.993258,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,221,.,.,123.000000,98.000000,,1.25510204082,3,.,.,1.000000,2.000000,,0.5,509,.,.,279.000000,220.000000,,1.26818181818,222,.,.,125.000000,97.000000,,1.28865979381,0,.,.,0.000000,0.000000,,,287,.,.,154.000000,123.000000,,1.25203252033
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.986607,1.0,0.563851,0.993258,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,221,.,.,123.000000,98.000000,,1.25510204082,3,.,.,1.000000,2.000000,,0.5,509,.,.,279.000000,220.000000,,1.26818181818,222,.,.,125.000000,97.000000,,1.28865979381,0,.,.,0.000000,0.000000,,,287,.,.,154.000000,123.000000,,1.25203252033
