Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.831935,0.734753,0.410239,0.78033,38119,43562,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,437156,.,.,261487.000000,153952.000000,,1.69849693411,88313,.,.,35107.000000,40119.000000,,0.875071661806,1052033,.,.,767819.000000,250570.000000,,3.06428942012,455876,.,.,295034.000000,153973.000000,,1.91614114163,164572,.,.,144378.000000,11504.000000,,12.5502433936,431585,.,.,328407.000000,85093.000000,,3.85938913894
INDEL,*,*,PASS,*,QUAL,*,0.831935,0.734753,0.410239,0.78033,38119,43562,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,437156,.,.,261487.000000,153952.000000,,1.69849693411,88313,.,.,35107.000000,40119.000000,,0.875071661806,1052033,.,.,767819.000000,250570.000000,,3.06428942012,455876,.,.,295034.000000,153973.000000,,1.91614114163,164572,.,.,144378.000000,11504.000000,,12.5502433936,431585,.,.,328407.000000,85093.000000,,3.85938913894
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.657116,0.516843,0.450543,0.578599,31383,36851,83977437.000000,62848827.000000,0.000000,229967,.,.,127618.000000,85987.000000,,1.48415458151,151115,.,.,95448.000000,49685.000000,,1.92106269498,78852,.,.,32170.000000,36302.000000,,0.886177070134,553255,.,.,446913.000000,88209.000000,,5.0665238241,157115,.,.,105668.000000,49629.000000,,2.12915835499,146875,.,.,129388.000000,10887.000000,,11.8846330486,249265,.,.,211857.000000,27693.000000,,7.65020041166
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.657116,0.516843,0.450543,0.578599,31383,36851,83977437.000000,62848827.000000,0.000000,229967,.,.,127618.000000,85987.000000,,1.48415458151,151115,.,.,95448.000000,49685.000000,,1.92106269498,78852,.,.,32170.000000,36302.000000,,0.886177070134,553255,.,.,446913.000000,88209.000000,,5.0665238241,157115,.,.,105668.000000,49629.000000,,2.12915835499,146875,.,.,129388.000000,10887.000000,,11.8846330486,249265,.,.,211857.000000,27693.000000,,7.65020041166
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.966616,0.95128,0.824159,0.958886,378,342,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18328,.,.,10938.000000,5831.000000,,1.87583604871,633,.,.,243.000000,259.000000,,0.938223938224,115559,.,.,70188.000000,41685.000000,,1.6837711407,19330,.,.,13075.000000,5815.000000,,2.24849527085,990,.,.,872.000000,35.000000,,24.9142857143,95239,.,.,56241.000000,35835.000000,,1.56944328171
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.966616,0.95128,0.824159,0.958886,378,342,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18328,.,.,10938.000000,5831.000000,,1.87583604871,633,.,.,243.000000,259.000000,,0.938223938224,115559,.,.,70188.000000,41685.000000,,1.6837711407,19330,.,.,13075.000000,5815.000000,,2.24849527085,990,.,.,872.000000,35.000000,,24.9142857143,95239,.,.,56241.000000,35835.000000,,1.56944328171
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.741227,0.625263,0.479879,0.678324,37702,41005,252347426.000000,122953793.000000,0.000000,339123,.,.,186104.000000,118354.000000,,1.57243523666,251367,.,.,151361.000000,78421.000000,,1.93010800678,87756,.,.,34743.000000,39933.000000,,0.870032304109,822884,.,.,629576.000000,160142.000000,,3.93136091719,267612,.,.,182570.000000,78292.000000,,2.33191130639,160387,.,.,140464.000000,11269.000000,,12.4646375011,394885,.,.,306542.000000,70581.000000,,4.34312350349
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.741227,0.625263,0.479879,0.678324,37702,41005,252347426.000000,122953793.000000,0.000000,339123,.,.,186104.000000,118354.000000,,1.57243523666,251367,.,.,151361.000000,78421.000000,,1.93010800678,87756,.,.,34743.000000,39933.000000,,0.870032304109,822884,.,.,629576.000000,160142.000000,,3.93136091719,267612,.,.,182570.000000,78292.000000,,2.33191130639,160387,.,.,140464.000000,11269.000000,,12.4646375011,394885,.,.,306542.000000,70581.000000,,4.34312350349
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.995536,0.982379,0.607266,0.988914,0,3,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,223,.,.,123.000000,100.000000,,1.23,1,.,.,1.000000,0.000000,,,578,.,.,398.000000,174.000000,,2.28735632184,223,.,.,125.000000,98.000000,,1.27551020408,4,.,.,3.000000,1.000000,,3.0,351,.,.,270.000000,75.000000,,3.6
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.995536,0.982379,0.607266,0.988914,0,3,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,223,.,.,123.000000,100.000000,,1.23,1,.,.,1.000000,0.000000,,,578,.,.,398.000000,174.000000,,2.28735632184,223,.,.,125.000000,98.000000,,1.27551020408,4,.,.,3.000000,1.000000,,3.0,351,.,.,270.000000,75.000000,,3.6
