Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.743364,0.313565,0.285074,0.441076,78438,89272,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,390615,.,.,262498.000000,113576.000000,,2.31121011481,134854,.,.,34096.000000,80495.000000,,0.423579104292,1838827,.,.,1663896.000000,162370.000000,,10.2475580464,412220,.,.,295716.000000,113333.000000,,2.60926649784,902405,.,.,898564.000000,177.000000,,5076.63276836,524202,.,.,469616.000000,48860.000000,,9.61146131805
INDEL,*,*,PASS,*,QUAL,*,0.743364,0.313565,0.285074,0.441076,78438,89272,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,390615,.,.,262498.000000,113576.000000,,2.31121011481,134854,.,.,34096.000000,80495.000000,,0.423579104292,1838827,.,.,1663896.000000,162370.000000,,10.2475580464,412220,.,.,295716.000000,113333.000000,,2.60926649784,902405,.,.,898564.000000,177.000000,,5076.63276836,524202,.,.,469616.000000,48860.000000,,9.61146131805
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.517883,0.188079,0.328254,0.275944,58511,66173,83977437.000000,62848827.000000,0.000000,229969,.,.,127619.000000,85988.000000,,1.48414895102,119097,.,.,96970.000000,19773.000000,,4.90416224144,110872,.,.,30649.000000,66215.000000,,0.462870950691,988766,.,.,958394.000000,27185.000000,,35.2545153577,124922,.,.,104805.000000,19681.000000,,5.32518672832,539278,.,.,537748.000000,59.000000,,9114.37288136,324566,.,.,315841.000000,7445.000000,,42.4232370719
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.517883,0.188079,0.328254,0.275944,58511,66173,83977437.000000,62848827.000000,0.000000,229969,.,.,127619.000000,85988.000000,,1.48414895102,119097,.,.,96970.000000,19773.000000,,4.90416224144,110872,.,.,30649.000000,66215.000000,,0.462870950691,988766,.,.,958394.000000,27185.000000,,35.2545153577,124922,.,.,104805.000000,19681.000000,,5.32518672832,539278,.,.,537748.000000,59.000000,,9114.37288136,324566,.,.,315841.000000,7445.000000,,42.4232370719
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.883181,0.597267,0.769103,0.712615,1752,1417,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,16746,.,.,10798.000000,4672.000000,,2.31121575342,2215,.,.,383.000000,1418.000000,,0.270098730606,128659,.,.,97702.000000,28380.000000,,3.44263565891,17743,.,.,12828.000000,4641.000000,,2.76405946994,11964,.,.,11791.000000,5.000000,,2358.2,98952,.,.,73083.000000,23734.000000,,3.07925339176
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.883181,0.597267,0.769103,0.712615,1752,1417,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,16746,.,.,10798.000000,4672.000000,,2.31121575342,2215,.,.,383.000000,1418.000000,,0.270098730606,128659,.,.,97702.000000,28380.000000,,3.44263565891,17743,.,.,12828.000000,4641.000000,,2.76405946994,11964,.,.,11791.000000,5.000000,,2358.2,98952,.,.,73083.000000,23734.000000,,3.07925339176
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.609842,0.264077,0.361489,0.368558,76282,75586,252347426.000000,122953793.000000,0.000000,339124,.,.,186104.000000,118355.000000,,1.57242195091,206812,.,.,152560.000000,39835.000000,,3.82979791641,132312,.,.,33544.000000,78520.000000,,0.427203260316,1317213,.,.,1230305.000000,74858.000000,,16.4351839483,222103,.,.,179419.000000,39637.000000,,4.52655347277,618952,.,.,615356.000000,80.000000,,7691.95,476158,.,.,435530.000000,35141.000000,,12.3937850374
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.609842,0.264077,0.361489,0.368558,76282,75586,252347426.000000,122953793.000000,0.000000,339124,.,.,186104.000000,118355.000000,,1.57242195091,206812,.,.,152560.000000,39835.000000,,3.82979791641,132312,.,.,33544.000000,78520.000000,,0.427203260316,1317213,.,.,1230305.000000,74858.000000,,16.4351839483,222103,.,.,179419.000000,39637.000000,,4.52655347277,618952,.,.,615356.000000,80.000000,,7691.95,476158,.,.,435530.000000,35141.000000,,12.3937850374
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.955357,0.764912,0.583333,0.849593,9,9,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,214,.,.,123.000000,91.000000,,1.35164835165,10,.,.,1.000000,9.000000,,0.111111111111,684,.,.,558.000000,124.000000,,4.5,218,.,.,129.000000,89.000000,,1.44943820225,67,.,.,66.000000,0.000000,,,399,.,.,363.000000,35.000000,,10.3714285714
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.955357,0.764912,0.583333,0.849593,9,9,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,214,.,.,123.000000,91.000000,,1.35164835165,10,.,.,1.000000,9.000000,,0.111111111111,684,.,.,558.000000,124.000000,,4.5,218,.,.,129.000000,89.000000,,1.44943820225,67,.,.,66.000000,0.000000,,,399,.,.,363.000000,35.000000,,10.3714285714
