Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.824911,0.668559,0.398457,0.73855,35214,50806,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,433465,.,.,260874.000000,150523.000000,,1.73311719804,92004,.,.,35720.000000,43548.000000,,0.820244328098,1109962,.,.,854400.000000,213340.000000,,4.00487484766,446390,.,.,289746.000000,149834.000000,,1.93378004992,221300,.,.,204402.000000,5191.000000,,39.3762280871,442272,.,.,360252.000000,58315.000000,,6.17769013118
INDEL,*,*,PASS,*,QUAL,*,0.824911,0.668559,0.398457,0.73855,35214,50806,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,433465,.,.,260874.000000,150523.000000,,1.73311719804,92004,.,.,35720.000000,43548.000000,,0.820244328098,1109962,.,.,854400.000000,213340.000000,,4.00487484766,446390,.,.,289746.000000,149834.000000,,1.93378004992,221300,.,.,204402.000000,5191.000000,,39.3762280871,442272,.,.,360252.000000,58315.000000,,6.17769013118
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.638727,0.424213,0.441801,0.509824,29445,46184,83977437.000000,62848827.000000,0.000000,229970,.,.,127621.000000,85987.000000,,1.4841894705,146888,.,.,94983.000000,46515.000000,,2.04198645598,83082,.,.,32638.000000,39472.000000,,0.82686461289,635254,.,.,539341.000000,70606.000000,,7.63874174999,150425,.,.,102602.000000,46320.000000,,2.21506908463,204173,.,.,190376.000000,4869.000000,,39.0996097761,280656,.,.,246363.000000,19417.000000,,12.6880053561
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.638727,0.424213,0.441801,0.509824,29445,46184,83977437.000000,62848827.000000,0.000000,229970,.,.,127621.000000,85987.000000,,1.4841894705,146888,.,.,94983.000000,46515.000000,,2.04198645598,83082,.,.,32638.000000,39472.000000,,0.82686461289,635254,.,.,539341.000000,70606.000000,,7.63874174999,150425,.,.,102602.000000,46320.000000,,2.21506908463,204173,.,.,190376.000000,4869.000000,,39.0996097761,280656,.,.,246363.000000,19417.000000,,12.6880053561
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.966985,0.951119,0.801511,0.958986,346,313,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18335,.,.,10942.000000,5804.000000,,1.88525155065,626,.,.,239.000000,286.000000,,0.835664335664,101522,.,.,72287.000000,25829.000000,,2.79867590693,19166,.,.,12994.000000,5733.000000,,2.26652712367,985,.,.,817.000000,25.000000,,32.68,81371,.,.,58476.000000,20071.000000,,2.91345722684
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.966985,0.951119,0.801511,0.958986,346,313,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18335,.,.,10942.000000,5804.000000,,1.88525155065,626,.,.,239.000000,286.000000,,0.835664335664,101522,.,.,72287.000000,25829.000000,,2.79867590693,19166,.,.,12994.000000,5733.000000,,2.26652712367,985,.,.,817.000000,25.000000,,32.68,81371,.,.,58476.000000,20071.000000,,2.91345722684
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.730404,0.545241,0.460941,0.624384,35077,50482,252347426.000000,122953793.000000,0.000000,339126,.,.,186107.000000,118354.000000,,1.57246058435,247699,.,.,150802.000000,74948.000000,,2.01208838128,91427,.,.,35305.000000,43406.000000,,0.813366815648,887955,.,.,720500.000000,125584.000000,,5.73719582112,260985,.,.,179820.000000,74459.000000,,2.41502034677,217675,.,.,200864.000000,5128.000000,,39.1700468019,409295,.,.,339816.000000,45997.000000,,7.38778615997
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.730404,0.545241,0.460941,0.624384,35077,50482,252347426.000000,122953793.000000,0.000000,339126,.,.,186107.000000,118354.000000,,1.57246058435,247699,.,.,150802.000000,74948.000000,,2.01208838128,91427,.,.,35305.000000,43406.000000,,0.813366815648,887955,.,.,720500.000000,125584.000000,,5.73719582112,260985,.,.,179820.000000,74459.000000,,2.41502034677,217675,.,.,200864.000000,5128.000000,,39.1700468019,409295,.,.,339816.000000,45997.000000,,7.38778615997
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.991071,0.965066,0.55534,0.977896,1,3,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,222,.,.,123.000000,99.000000,,1.24242424242,2,.,.,1.000000,1.000000,,1.0,515,.,.,356.000000,149.000000,,2.38926174497,221,.,.,123.000000,98.000000,,1.25510204082,8,.,.,7.000000,1.000000,,7.0,286,.,.,226.000000,50.000000,,4.52
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.991071,0.965066,0.55534,0.977896,1,3,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,222,.,.,123.000000,99.000000,,1.24242424242,2,.,.,1.000000,1.000000,,1.0,515,.,.,356.000000,149.000000,,2.38926174497,221,.,.,123.000000,98.000000,,1.25510204082,8,.,.,7.000000,1.000000,,7.0,286,.,.,226.000000,50.000000,,4.52
INDEL,*,MHC,ALL,*,QUAL,*,0.954681,0.962175,0.547109,0.958413,20,22,4970557.000000,4634060.000000,0.000000,1677,.,.,1058.000000,549.000000,,1.92714025501,1601,.,.,1009.000000,533.000000,,1.89305816135,76,.,.,49.000000,16.000000,,3.0625,3736,.,.,2764.000000,834.000000,,3.31414868106,1628,.,.,1073.000000,532.000000,,2.01691729323,64,.,.,45.000000,5.000000,,9.0,2044,.,.,1646.000000,297.000000,,5.54208754209
INDEL,*,MHC,PASS,*,QUAL,*,0.954681,0.962175,0.547109,0.958413,20,22,4970557.000000,4634060.000000,0.000000,1677,.,.,1058.000000,549.000000,,1.92714025501,1601,.,.,1009.000000,533.000000,,1.89305816135,76,.,.,49.000000,16.000000,,3.0625,3736,.,.,2764.000000,834.000000,,3.31414868106,1628,.,.,1073.000000,532.000000,,2.01691729323,64,.,.,45.000000,5.000000,,9.0,2044,.,.,1646.000000,297.000000,,5.54208754209
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.916642,0.913112,0.729468,0.914874,133,172,3036641434.000000,2546949881.000000,0.000000,3431,.,.,1621.000000,1314.000000,,1.23363774734,3145,.,.,1527.000000,1198.000000,,1.27462437396,286,.,.,94.000000,116.000000,,0.810344827586,14039,.,.,11119.000000,2906.000000,,3.82622161046,3468,.,.,2302.000000,1166.000000,,1.97427101201,330,.,.,319.000000,11.000000,,29.0,10241,.,.,8498.000000,1729.000000,,4.91497975709
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.916642,0.913112,0.729468,0.914874,133,172,3036641434.000000,2546949881.000000,0.000000,3431,.,.,1621.000000,1314.000000,,1.23363774734,3145,.,.,1527.000000,1198.000000,,1.27462437396,286,.,.,94.000000,116.000000,,0.810344827586,14039,.,.,11119.000000,2906.000000,,3.82622161046,3468,.,.,2302.000000,1166.000000,,1.97427101201,330,.,.,319.000000,11.000000,,29.0,10241,.,.,8498.000000,1729.000000,,4.91497975709
INDEL,*,TS_contained,ALL,*,QUAL,*,0.824308,0.66716,0.0,0.737455,35081,50634,2546949881.000000,2546949881.000000,0.000000,522038,.,.,294973.000000,192757.000000,,1.53028424389,430320,.,.,259347.000000,149325.000000,,1.73679558011,91718,.,.,35626.000000,43432.000000,,0.820270768097,663892,.,.,491527.000000,153848.000000,,3.19488716135,442922,.,.,287444.000000,148668.000000,,1.93346248016,220970,.,.,204083.000000,5180.000000,,39.3982625483,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.824308,0.66716,0.0,0.737455,35081,50634,2546949881.000000,2546949881.000000,0.000000,522038,.,.,294973.000000,192757.000000,,1.53028424389,430320,.,.,259347.000000,149325.000000,,1.73679558011,91718,.,.,35626.000000,43432.000000,,0.820270768097,663892,.,.,491527.000000,153848.000000,,3.19488716135,442922,.,.,287444.000000,148668.000000,,1.93346248016,220970,.,.,204083.000000,5180.000000,,39.3982625483,0,.,.,0.000000,0.000000,,
INDEL,*,alldifficultregions,ALL,*,QUAL,*,0.752587,0.571787,0.453668,0.649846,35126,50582,642823514.000000,416632300.000000,0.000000,370566,.,.,204151.000000,131720.000000,,1.54988612208,278883,.,.,168644.000000,88265.000000,,1.91065541268,91683,.,.,35507.000000,43455.000000,,0.817098147509,934634,.,.,748844.000000,143797.000000,,5.2076468911,291966,.,.,197567.000000,87674.000000,,2.25342746995,218654,.,.,201807.000000,5161.000000,,39.1023057547,424014,.,.,349470.000000,50962.000000,,6.85746242298
INDEL,*,alldifficultregions,PASS,*,QUAL,*,0.752587,0.571787,0.453668,0.649846,35126,50582,642823514.000000,416632300.000000,0.000000,370566,.,.,204151.000000,131720.000000,,1.54988612208,278883,.,.,168644.000000,88265.000000,,1.91065541268,91683,.,.,35507.000000,43455.000000,,0.817098147509,934634,.,.,748844.000000,143797.000000,,5.2076468911,291966,.,.,197567.000000,87674.000000,,2.25342746995,218654,.,.,201807.000000,5161.000000,,39.1023057547,424014,.,.,349470.000000,50962.000000,,6.85746242298
INDEL,*,alllowmapandsegdupregions,ALL,*,QUAL,*,0.970553,0.904843,0.80407,0.936547,222,223,305614803.000000,145229641.000000,0.000000,17523,.,.,10060.000000,7050.000000,,1.42695035461,17007,.,.,9776.000000,6848.000000,,1.42757009346,516,.,.,284.000000,202.000000,,1.40594059406,96116,.,.,72269.000000,21303.000000,,3.39243299066,17040,.,.,10198.000000,6747.000000,,1.51148658663,1792,.,.,1671.000000,36.000000,,46.4166666667,77284,.,.,60400.000000,14520.000000,,4.15977961433
