Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.875936,0.919588,0.347664,0.897231,20033,13442,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,460277,.,.,263386.000000,172821.000000,,1.52403932392,65192,.,.,33208.000000,21250.000000,,1.56272941176,789234,.,.,504756.000000,254460.000000,,1.98363593492,473446,.,.,293408.000000,172201.000000,,1.70386931551,41400,.,.,30459.000000,6551.000000,,4.64951915738,274388,.,.,180889.000000,75708.000000,,2.38929835684
INDEL,*,*,PASS,*,QUAL,*,0.875936,0.919588,0.347664,0.897231,20033,13442,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,460277,.,.,263386.000000,172821.000000,,1.52403932392,65192,.,.,33208.000000,21250.000000,,1.56272941176,789234,.,.,504756.000000,254460.000000,,1.98363593492,473446,.,.,293408.000000,172201.000000,,1.70386931551,41400,.,.,30459.000000,6551.000000,,4.64951915738,274388,.,.,180889.000000,75708.000000,,2.38929835684
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.731646,0.814755,0.374314,0.770967,18571,12787,83977437.000000,62848827.000000,0.000000,229972,.,.,127622.000000,85988.000000,,1.48418383961,168258,.,.,96193.000000,65574.000000,,1.46693811572,61714,.,.,31429.000000,20414.000000,,1.53958067993,336266,.,.,215696.000000,104555.000000,,2.06299077041,171422,.,.,103823.000000,65398.000000,,1.58755619438,38975,.,.,28531.000000,6346.000000,,4.49590293098,125869,.,.,83342.000000,32811.000000,,2.54006278382
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.731646,0.814755,0.374314,0.770967,18571,12787,83977437.000000,62848827.000000,0.000000,229972,.,.,127622.000000,85988.000000,,1.48418383961,168258,.,.,96193.000000,65574.000000,,1.46693811572,61714,.,.,31429.000000,20414.000000,,1.53958067993,336266,.,.,215696.000000,104555.000000,,2.06299077041,171422,.,.,103823.000000,65398.000000,,1.58755619438,38975,.,.,28531.000000,6346.000000,,4.49590293098,125869,.,.,83342.000000,32811.000000,,2.54006278382
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.979853,0.988242,0.793981,0.98403,133,67,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18579,.,.,10942.000000,6013.000000,,1.81972393148,382,.,.,239.000000,77.000000,,3.1038961039,95360,.,.,62102.000000,29586.000000,,2.09903332657,19415,.,.,13017.000000,5946.000000,,2.18920282543,231,.,.,192.000000,24.000000,,8.0,75714,.,.,48893.000000,23616.000000,,2.07033367209
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.979853,0.988242,0.793981,0.98403,133,67,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18579,.,.,10942.000000,6013.000000,,1.81972393148,382,.,.,239.000000,77.000000,,3.1038961039,95360,.,.,62102.000000,29586.000000,,2.09903332657,19415,.,.,13017.000000,5946.000000,,2.18920282543,231,.,.,192.000000,24.000000,,8.0,75714,.,.,48893.000000,23616.000000,,2.07033367209
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.809744,0.874993,0.426364,0.841105,19984,13391,252347426.000000,122953793.000000,0.000000,339128,.,.,186108.000000,118355.000000,,1.57245574754,274607,.,.,153372.000000,97298.000000,,1.57631194886,64521,.,.,32736.000000,21057.000000,,1.55463741274,573906,.,.,377515.000000,166789.000000,,2.26342864338,288059,.,.,183505.000000,96837.000000,,1.89498848581,41154,.,.,30262.000000,6513.000000,,4.64639950867,244693,.,.,163748.000000,63439.000000,,2.58118822806
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.809744,0.874993,0.426364,0.841105,19984,13391,252347426.000000,122953793.000000,0.000000,339128,.,.,186108.000000,118355.000000,,1.57245574754,274607,.,.,153372.000000,97298.000000,,1.57631194886,64521,.,.,32736.000000,21057.000000,,1.55463741274,573906,.,.,377515.000000,166789.000000,,2.26342864338,288059,.,.,183505.000000,96837.000000,,1.89498848581,41154,.,.,30262.000000,6513.000000,,4.64639950867,244693,.,.,163748.000000,63439.000000,,2.58118822806
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.986607,1.0,0.547325,0.993258,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,221,.,.,123.000000,98.000000,,1.25510204082,3,.,.,1.000000,2.000000,,0.5,486,.,.,261.000000,215.000000,,1.21395348837,220,.,.,122.000000,98.000000,,1.24489795918,0,.,.,0.000000,0.000000,,,266,.,.,139.000000,117.000000,,1.18803418803
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.986607,1.0,0.547325,0.993258,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,221,.,.,123.000000,98.000000,,1.25510204082,3,.,.,1.000000,2.000000,,0.5,486,.,.,261.000000,215.000000,,1.21395348837,220,.,.,122.000000,98.000000,,1.24489795918,0,.,.,0.000000,0.000000,,,266,.,.,139.000000,117.000000,,1.18803418803
INDEL,*,MHC,ALL,*,QUAL,*,0.952892,0.988457,0.452611,0.970349,8,11,4970557.000000,4634060.000000,0.000000,1677,.,.,1058.000000,549.000000,,1.92714025501,1598,.,.,998.000000,539.000000,,1.85157699443,79,.,.,60.000000,10.000000,,6.0,3007,.,.,1955.000000,962.000000,,2.03222453222,1627,.,.,1063.000000,539.000000,,1.97217068646,19,.,.,15.000000,3.000000,,5.0,1361,.,.,877.000000,420.000000,,2.0880952381
INDEL,*,MHC,PASS,*,QUAL,*,0.952892,0.988457,0.452611,0.970349,8,11,4970557.000000,4634060.000000,0.000000,1677,.,.,1058.000000,549.000000,,1.92714025501,1598,.,.,998.000000,539.000000,,1.85157699443,79,.,.,60.000000,10.000000,,6.0,3007,.,.,1955.000000,962.000000,,2.03222453222,1627,.,.,1063.000000,539.000000,,1.97217068646,19,.,.,15.000000,3.000000,,5.0,1361,.,.,877.000000,420.000000,,2.0880952381
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.95231,0.970182,0.741359,0.961163,57,46,3036641434.000000,2546949881.000000,0.000000,3376,.,.,1585.000000,1300.000000,,1.21923076923,3215,.,.,1508.000000,1259.000000,,1.19777601271,161,.,.,77.000000,41.000000,,1.87804878049,14263,.,.,10143.000000,4115.000000,,2.46488456865,3579,.,.,2348.000000,1231.000000,,1.90739236393,110,.,.,104.000000,6.000000,,17.3333333333,10574,.,.,7691.000000,2878.000000,,2.6723419041
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.95231,0.970182,0.741359,0.961163,57,46,3036641434.000000,2546949881.000000,0.000000,3376,.,.,1585.000000,1300.000000,,1.21923076923,3215,.,.,1508.000000,1259.000000,,1.19777601271,161,.,.,77.000000,41.000000,,1.87804878049,14263,.,.,10143.000000,4115.000000,,2.46488456865,3579,.,.,2348.000000,1231.000000,,1.90739236393,110,.,.,104.000000,6.000000,,17.3333333333,10574,.,.,7691.000000,2878.000000,,2.6723419041
INDEL,*,TS_contained,ALL,*,QUAL,*,0.875442,0.919222,0.0,0.896798,19976,13396,2546949881.000000,2546949881.000000,0.000000,522093,.,.,295009.000000,192771.000000,,1.53035985703,457062,.,.,261878.000000,171562.000000,,1.52643359252,65031,.,.,33131.000000,21209.000000,,1.56211985478,511157,.,.,321415.000000,177515.000000,,1.81063572092,469867,.,.,291060.000000,170970.000000,,1.70240393051,41290,.,.,30355.000000,6545.000000,,4.63789152024,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.875442,0.919222,0.0,0.896798,19976,13396,2546949881.000000,2546949881.000000,0.000000,522093,.,.,295009.000000,192771.000000,,1.53035985703,457062,.,.,261878.000000,171562.000000,,1.52643359252,65031,.,.,33131.000000,21209.000000,,1.56211985478,511157,.,.,321415.000000,177515.000000,,1.81063572092,469867,.,.,291060.000000,170970.000000,,1.70240393051,41290,.,.,30355.000000,6545.000000,,4.63789152024,0,.,.,0.000000,0.000000,,
INDEL,*,alldifficultregions,ALL,*,QUAL,*,0.825052,0.88528,0.41611,0.854106,20012,13411,642823514.000000,416632300.000000,0.000000,370568,.,.,204152.000000,131721.000000,,1.54988194745,305738,.,.,171182.000000,110590.000000,,1.54789763993,64830,.,.,32970.000000,21131.000000,,1.56026690644,617163,.,.,402274.000000,185150.000000,,2.17269241156,319015,.,.,201233.000000,110041.000000,,1.82870929926,41340,.,.,30420.000000,6539.000000,,4.65208747515,256808,.,.,170621.000000,68570.000000,,2.48827475572
INDEL,*,alldifficultregions,PASS,*,QUAL,*,0.825052,0.88528,0.41611,0.854106,20012,13411,642823514.000000,416632300.000000,0.000000,370568,.,.,204152.000000,131721.000000,,1.54988194745,305738,.,.,171182.000000,110590.000000,,1.54789763993,64830,.,.,32970.000000,21131.000000,,1.56026690644,617163,.,.,402274.000000,185150.000000,,2.17269241156,319015,.,.,201233.000000,110041.000000,,1.82870929926,41340,.,.,30420.000000,6539.000000,,4.65208747515,256808,.,.,170621.000000,68570.000000,,2.48827475572
