Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.83104,0.742007,0.404517,0.784004,37179,39580,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,436686,.,.,261075.000000,153956.000000,,1.69577671543,88783,.,.,35519.000000,40115.000000,,0.885429390502,1019100,.,.,740630.000000,245790.000000,,3.0132633549,450292,.,.,290250.000000,153246.000000,,1.89401354685,156565,.,.,137305.000000,11021.000000,,12.4584883404,412243,.,.,313075.000000,81523.000000,,3.8403272696
INDEL,*,*,PASS,*,QUAL,*,0.83104,0.742007,0.404517,0.784004,37179,39580,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,436686,.,.,261075.000000,153956.000000,,1.69577671543,88783,.,.,35519.000000,40115.000000,,0.885429390502,1019100,.,.,740630.000000,245790.000000,,3.0132633549,450292,.,.,290250.000000,153246.000000,,1.89401354685,156565,.,.,137305.000000,11021.000000,,12.4584883404,412243,.,.,313075.000000,81523.000000,,3.8403272696
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.654345,0.52232,0.444568,0.580926,30819,35476,83977437.000000,62848827.000000,0.000000,229972,.,.,127622.000000,85988.000000,,1.48418383961,150481,.,.,94937.000000,49626.000000,,1.91304961109,79491,.,.,32685.000000,36362.000000,,0.898877949508,535194,.,.,432036.000000,86015.000000,,5.02279834913,155267,.,.,104075.000000,49420.000000,,2.10592877378,141997,.,.,125195.000000,10570.000000,,11.8443708609,237930,.,.,202766.000000,26025.000000,,7.79120076849
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.654345,0.52232,0.444568,0.580926,30819,35476,83977437.000000,62848827.000000,0.000000,229972,.,.,127622.000000,85988.000000,,1.48418383961,150481,.,.,94937.000000,49626.000000,,1.91304961109,79491,.,.,32685.000000,36362.000000,,0.898877949508,535194,.,.,432036.000000,86015.000000,,5.02279834913,155267,.,.,104075.000000,49420.000000,,2.10592877378,141997,.,.,125195.000000,10570.000000,,11.8443708609,237930,.,.,202766.000000,26025.000000,,7.79120076849
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.968989,0.954779,0.825359,0.961831,362,276,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18373,.,.,10966.000000,5840.000000,,1.87773972603,588,.,.,215.000000,250.000000,,0.86,114973,.,.,69087.000000,42038.000000,,1.64344164803,19171,.,.,12971.000000,5766.000000,,2.24956642386,908,.,.,794.000000,34.000000,,23.3529411765,94894,.,.,55322.000000,36238.000000,,1.52662950494
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.968989,0.954779,0.825359,0.961831,362,276,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18373,.,.,10966.000000,5840.000000,,1.87773972603,588,.,.,215.000000,250.000000,,0.86,114973,.,.,69087.000000,42038.000000,,1.64344164803,19171,.,.,12971.000000,5766.000000,,2.24956642386,908,.,.,794.000000,34.000000,,23.3529411765,94894,.,.,55322.000000,36238.000000,,1.52662950494
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.739703,0.630732,0.475065,0.680885,37051,39319,252347426.000000,122953793.000000,0.000000,339128,.,.,186108.000000,118355.000000,,1.57245574754,250854,.,.,150939.000000,78393.000000,,1.92541425893,88274,.,.,35169.000000,39962.000000,,0.880061058005,799715,.,.,610017.000000,157435.000000,,3.87472290151,264780,.,.,180225.000000,77878.000000,,2.31419656386,155018,.,.,135849.000000,10941.000000,,12.4165067179,379917,.,.,293943.000000,68616.000000,,4.28388422525
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.739703,0.630732,0.475065,0.680885,37051,39319,252347426.000000,122953793.000000,0.000000,339128,.,.,186108.000000,118355.000000,,1.57245574754,250854,.,.,150939.000000,78393.000000,,1.92541425893,88274,.,.,35169.000000,39962.000000,,0.880061058005,799715,.,.,610017.000000,157435.000000,,3.87472290151,264780,.,.,180225.000000,77878.000000,,2.31419656386,155018,.,.,135849.000000,10941.000000,,12.4165067179,379917,.,.,293943.000000,68616.000000,,4.28388422525
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.995536,0.986667,0.563953,0.991081,0,2,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,223,.,.,123.000000,100.000000,,1.23,1,.,.,1.000000,0.000000,,,516,.,.,350.000000,161.000000,,2.17391304348,222,.,.,123.000000,99.000000,,1.24242424242,3,.,.,2.000000,1.000000,,2.0,291,.,.,225.000000,61.000000,,3.68852459016
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.995536,0.986667,0.563953,0.991081,0,2,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,223,.,.,123.000000,100.000000,,1.23,1,.,.,1.000000,0.000000,,,516,.,.,350.000000,161.000000,,2.17391304348,222,.,.,123.000000,99.000000,,1.24242424242,3,.,.,2.000000,1.000000,,2.0,291,.,.,225.000000,61.000000,,3.68852459016
