Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.359321,0.651529,0.433137,0.46319,9156,12751,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,188812,.,.,108720.000000,67442.000000,,1.61205183713,336657,.,.,187874.000000,126629.000000,,1.48365698221,533161,.,.,392885.000000,109697.000000,,3.58154735316,196911,.,.,125453.000000,67403.000000,,1.86123763037,105318,.,.,98611.000000,2278.000000,,43.2884108867,230932,.,.,168821.000000,40016.000000,,4.21883746501
INDEL,*,*,PASS,*,QUAL,*,0.359321,0.651529,0.433137,0.46319,9156,12751,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,188812,.,.,108720.000000,67442.000000,,1.61205183713,336657,.,.,187874.000000,126629.000000,,1.48365698221,533161,.,.,392885.000000,109697.000000,,3.58154735316,196911,.,.,125453.000000,67403.000000,,1.86123763037,105318,.,.,98611.000000,2278.000000,,43.2884108867,230932,.,.,168821.000000,40016.000000,,4.21883746501
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.345248,0.492011,0.46946,0.405767,6503,10075,83977437.000000,62848827.000000,0.000000,229965,.,.,127616.000000,85987.000000,,1.48413132218,79395,.,.,46608.000000,26865.000000,,1.73489670575,150570,.,.,81008.000000,59122.000000,,1.37018368797,318743,.,.,251759.000000,43481.000000,,5.79009222419,83202,.,.,54516.000000,26844.000000,,2.03084488154,85904,.,.,81767.000000,468.000000,,174.715811966,149637,.,.,115476.000000,16169.000000,,7.14181458346
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.345248,0.492011,0.46946,0.405767,6503,10075,83977437.000000,62848827.000000,0.000000,229965,.,.,127616.000000,85987.000000,,1.48413132218,79395,.,.,46608.000000,26865.000000,,1.73489670575,150570,.,.,81008.000000,59122.000000,,1.37018368797,318743,.,.,251759.000000,43481.000000,,5.79009222419,83202,.,.,54516.000000,26844.000000,,2.03084488154,85904,.,.,81767.000000,468.000000,,174.715811966,149637,.,.,115476.000000,16169.000000,,7.14181458346
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.360899,0.902539,0.839137,0.515617,345,148,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,6843,.,.,3940.000000,2272.000000,,1.73415492958,12118,.,.,7241.000000,3818.000000,,1.89654269251,49943,.,.,32298.000000,15962.000000,,2.02343064779,7251,.,.,4797.000000,2271.000000,,2.11228533686,783,.,.,453.000000,269.000000,,1.68401486989,41909,.,.,27048.000000,13422.000000,,2.01519892713
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.360899,0.902539,0.839137,0.515617,345,148,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,6843,.,.,3940.000000,2272.000000,,1.73415492958,12118,.,.,7241.000000,3818.000000,,1.89654269251,49943,.,.,32298.000000,15962.000000,,2.02343064779,7251,.,.,4797.000000,2271.000000,,2.11228533686,783,.,.,453.000000,269.000000,,1.68401486989,41909,.,.,27048.000000,13422.000000,,2.01519892713
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.347533,0.581476,0.494506,0.435049,8879,11093,252347426.000000,122953793.000000,0.000000,339122,.,.,186103.000000,118354.000000,,1.57242678743,117856,.,.,66546.000000,38707.000000,,1.71922391299,221266,.,.,119557.000000,79647.000000,,1.50108604216,428585,.,.,323569.000000,74588.000000,,4.33808387408,125975,.,.,83290.000000,38672.000000,,2.15375465453,90672,.,.,84312.000000,1935.000000,,43.5720930233,211938,.,.,155967.000000,33981.000000,,4.58982961066
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.347533,0.581476,0.494506,0.435049,8879,11093,252347426.000000,122953793.000000,0.000000,339122,.,.,186103.000000,118354.000000,,1.57242678743,117856,.,.,66546.000000,38707.000000,,1.71922391299,221266,.,.,119557.000000,79647.000000,,1.50108604216,428585,.,.,323569.000000,74588.000000,,4.33808387408,125975,.,.,83290.000000,38672.000000,,2.15375465453,90672,.,.,84312.000000,1935.000000,,43.5720930233,211938,.,.,155967.000000,33981.000000,,4.58982961066
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.370536,0.922222,0.644269,0.528662,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,83,.,.,45.000000,38.000000,,1.18421052632,141,.,.,79.000000,62.000000,,1.27419354839,253,.,.,180.000000,62.000000,,2.90322580645,83,.,.,45.000000,38.000000,,1.18421052632,7,.,.,7.000000,0.000000,,,163,.,.,128.000000,24.000000,,5.33333333333
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.370536,0.922222,0.644269,0.528662,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,83,.,.,45.000000,38.000000,,1.18421052632,141,.,.,79.000000,62.000000,,1.27419354839,253,.,.,180.000000,62.000000,,2.90322580645,83,.,.,45.000000,38.000000,,1.18421052632,7,.,.,7.000000,0.000000,,,163,.,.,128.000000,24.000000,,5.33333333333
