Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.912126,0.985907,0.422647,0.947583,4621,2002,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,479294,.,.,260760.000000,191474.000000,,1.36185591777,46175,.,.,35834.000000,2597.000000,,13.7982287255,872010,.,.,530745.000000,316640.000000,,1.67617799394,496363,.,.,296381.000000,191382.000000,,1.54863571287,7095,.,.,3302.000000,3353.000000,,0.984789740531,368552,.,.,231062.000000,121905.000000,,1.89542676674
INDEL,*,*,PASS,*,QUAL,*,0.912126,0.985907,0.422647,0.947583,4621,2002,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,479294,.,.,260760.000000,191474.000000,,1.36185591777,46175,.,.,35834.000000,2597.000000,,13.7982287255,872010,.,.,530745.000000,316640.000000,,1.67617799394,496363,.,.,296381.000000,191382.000000,,1.54863571287,7095,.,.,3302.000000,3353.000000,,0.984789740531,368552,.,.,231062.000000,121905.000000,,1.89542676674
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.811171,0.971317,0.49133,0.88405,3810,1715,83977437.000000,62848827.000000,0.000000,229965,.,.,127616.000000,85987.000000,,1.48413132218,186541,.,.,93722.000000,83529.000000,,1.12202947479,43424,.,.,33894.000000,2458.000000,,13.7892595606,388759,.,.,219440.000000,157384.000000,,1.39429675189,192078,.,.,105669.000000,83469.000000,,1.26596700571,5672,.,.,2563.000000,2729.000000,,0.939171857823,191009,.,.,111208.000000,71186.000000,,1.56221728992
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.811171,0.971317,0.49133,0.88405,3810,1715,83977437.000000,62848827.000000,0.000000,229965,.,.,127616.000000,85987.000000,,1.48413132218,186541,.,.,93722.000000,83529.000000,,1.12202947479,43424,.,.,33894.000000,2458.000000,,13.7892595606,388759,.,.,219440.000000,157384.000000,,1.39429675189,192078,.,.,105669.000000,83469.000000,,1.26596700571,5672,.,.,2563.000000,2729.000000,,0.939171857823,191009,.,.,111208.000000,71186.000000,,1.56221728992
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.987606,0.992628,0.818991,0.990111,67,55,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18726,.,.,11012.000000,6071.000000,,1.8138692143,235,.,.,169.000000,19.000000,,8.89473684211,110166,.,.,75647.000000,31708.000000,,2.38573861486,19794,.,.,13263.000000,6072.000000,,2.18428853755,147,.,.,100.000000,42.000000,,2.38095238095,90225,.,.,62284.000000,25594.000000,,2.43353911073
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.987606,0.992628,0.818991,0.990111,67,55,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18726,.,.,11012.000000,6071.000000,,1.8138692143,235,.,.,169.000000,19.000000,,8.89473684211,110166,.,.,75647.000000,31708.000000,,2.38573861486,19794,.,.,13263.000000,6072.000000,,2.18428853755,147,.,.,100.000000,42.000000,,2.38095238095,90225,.,.,62284.000000,25594.000000,,2.43353911073
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.867334,0.979097,0.511029,0.919833,4517,1925,252347426.000000,122953793.000000,0.000000,339122,.,.,186103.000000,118354.000000,,1.57242678743,294132,.,.,151351.000000,115801.000000,,1.3069921676,44990,.,.,34752.000000,2553.000000,,13.6122209166,650039,.,.,399396.000000,226245.000000,,1.76532520056,311206,.,.,186948.000000,115725.000000,,1.61545042126,6644,.,.,2963.000000,3242.000000,,0.913942011104,332189,.,.,209485.000000,107278.000000,,1.95273028953
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.867334,0.979097,0.511029,0.919833,4517,1925,252347426.000000,122953793.000000,0.000000,339122,.,.,186103.000000,118354.000000,,1.57242678743,294132,.,.,151351.000000,115801.000000,,1.3069921676,44990,.,.,34752.000000,2553.000000,,13.6122209166,650039,.,.,399396.000000,226245.000000,,1.76532520056,311206,.,.,186948.000000,115725.000000,,1.61545042126,6644,.,.,2963.000000,3242.000000,,0.913942011104,332189,.,.,209485.000000,107278.000000,,1.95273028953
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.986607,1.0,0.537815,0.993258,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,221,.,.,121.000000,100.000000,,1.21,3,.,.,3.000000,0.000000,,,476,.,.,271.000000,191.000000,,1.41884816754,220,.,.,121.000000,99.000000,,1.22222222222,0,.,.,0.000000,0.000000,,,256,.,.,150.000000,92.000000,,1.63043478261
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.986607,1.0,0.537815,0.993258,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,221,.,.,121.000000,100.000000,,1.21,3,.,.,3.000000,0.000000,,,476,.,.,271.000000,191.000000,,1.41884816754,220,.,.,121.000000,99.000000,,1.22222222222,0,.,.,0.000000,0.000000,,,256,.,.,150.000000,92.000000,,1.63043478261
INDEL,*,MHC,ALL,*,QUAL,*,0.957662,0.979804,0.511418,0.968607,11,24,4970557.000000,4634060.000000,0.000000,1677,.,.,1058.000000,549.000000,,1.92714025501,1606,.,.,1005.000000,543.000000,,1.85082872928,71,.,.,53.000000,6.000000,,8.83333333333,3547,.,.,2283.000000,1192.000000,,1.91526845638,1698,.,.,1117.000000,559.000000,,1.99821109123,35,.,.,22.000000,12.000000,,1.83333333333,1814,.,.,1144.000000,621.000000,,1.8421900161
INDEL,*,MHC,PASS,*,QUAL,*,0.957662,0.979804,0.511418,0.968607,11,24,4970557.000000,4634060.000000,0.000000,1677,.,.,1058.000000,549.000000,,1.92714025501,1606,.,.,1005.000000,543.000000,,1.85082872928,71,.,.,53.000000,6.000000,,8.83333333333,3547,.,.,2283.000000,1192.000000,,1.91526845638,1698,.,.,1117.000000,559.000000,,1.99821109123,35,.,.,22.000000,12.000000,,1.83333333333,1814,.,.,1144.000000,621.000000,,1.8421900161
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.981109,0.987203,0.713686,0.984147,35,10,3036641434.000000,2546949881.000000,0.000000,3335,.,.,1568.000000,1279.000000,,1.22595777952,3272,.,.,1545.000000,1274.000000,,1.21271585557,63,.,.,23.000000,5.000000,,4.6,13101,.,.,9387.000000,3711.000000,,2.52950687146,3703,.,.,2434.000000,1269.000000,,1.91804570528,48,.,.,26.000000,22.000000,,1.18181818182,9350,.,.,6927.000000,2420.000000,,2.86239669421
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.981109,0.987203,0.713686,0.984147,35,10,3036641434.000000,2546949881.000000,0.000000,3335,.,.,1568.000000,1279.000000,,1.22595777952,3272,.,.,1545.000000,1274.000000,,1.21271585557,63,.,.,23.000000,5.000000,,4.6,13101,.,.,9387.000000,3711.000000,,2.52950687146,3703,.,.,2434.000000,1269.000000,,1.91804570528,48,.,.,26.000000,22.000000,,1.18181818182,9350,.,.,6927.000000,2420.000000,,2.86239669421
INDEL,*,TS_contained,ALL,*,QUAL,*,0.911686,0.985898,0.0,0.94734,4586,1992,2546949881.000000,2546949881.000000,0.000000,522134,.,.,295026.000000,192792.000000,,1.53028133947,476022,.,.,259215.000000,190200.000000,,1.36285488959,46112,.,.,35811.000000,2592.000000,,13.8159722222,499707,.,.,297223.000000,193444.000000,,1.536480842,492660,.,.,293947.000000,190113.000000,,1.54616990947,7047,.,.,3276.000000,3331.000000,,0.983488441909,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.911686,0.985898,0.0,0.94734,4586,1992,2546949881.000000,2546949881.000000,0.000000,522134,.,.,295026.000000,192792.000000,,1.53028133947,476022,.,.,259215.000000,190200.000000,,1.36285488959,46112,.,.,35811.000000,2592.000000,,13.8159722222,499707,.,.,297223.000000,193444.000000,,1.536480842,492660,.,.,293947.000000,190113.000000,,1.54616990947,7047,.,.,3276.000000,3331.000000,,0.983488441909,0,.,.,0.000000,0.000000,,
INDEL,*,alldifficultregions,ALL,*,QUAL,*,0.877619,0.980094,0.497849,0.92603,4550,1965,642823514.000000,416632300.000000,0.000000,370564,.,.,204149.000000,131720.000000,,1.54987093835,325214,.,.,169072.000000,129141.000000,,1.30920466777,45350,.,.,35077.000000,2579.000000,,13.6010081427,695490,.,.,426015.000000,245008.000000,,1.73877995821,342289,.,.,204678.000000,129061.000000,,1.5859012405,6952,.,.,3233.000000,3279.000000,,0.985971332723,346249,.,.,218104.000000,112668.000000,,1.93581141052
INDEL,*,alldifficultregions,PASS,*,QUAL,*,0.877619,0.980094,0.497849,0.92603,4550,1965,642823514.000000,416632300.000000,0.000000,370564,.,.,204149.000000,131720.000000,,1.54987093835,325214,.,.,169072.000000,129141.000000,,1.30920466777,45350,.,.,35077.000000,2579.000000,,13.6010081427,695490,.,.,426015.000000,245008.000000,,1.73877995821,342289,.,.,204678.000000,129061.000000,,1.5859012405,6952,.,.,3233.000000,3279.000000,,0.985971332723,346249,.,.,218104.000000,112668.000000,,1.93581141052
INDEL,*,alllowmapandsegdupregions,ALL,*,QUAL,*,0.977628,0.982962,0.77876,0.980288,37,20,305614803.000000,145229641.000000,0.000000,17522,.,.,10059.000000,7050.000000,,1.42680851064,17130,.,.,9697.000000,7038.000000,,1.37780619494,392,.,.,362.000000,12.000000,,30.1666666667,79850,.,.,48667.000000,29839.000000,,1.63098629311,17365,.,.,10245.000000,7023.000000,,1.45877829987,301,.,.,269.000000,31.000000,,8.67741935484,62184,.,.,38153.000000,22785.000000,,1.67447882379
INDEL,*,alllowmapandsegdupregions,PASS,*,QUAL,*,0.977628,0.982962,0.77876,0.980288,37,20,305614803.000000,145229641.000000,0.000000,17522,.,.,10059.000000,7050.000000,,1.42680851064,17130,.,.,9697.000000,7038.000000,,1.37780619494,392,.,.,362.000000,12.000000,,30.1666666667,79850,.,.,48667.000000,29839.000000,,1.63098629311,17365,.,.,10245.000000,7023.000000,,1.45877829987,301,.,.,269.000000,31.000000,,8.67741935484,62184,.,.,38153.000000,22785.000000,,1.67447882379
INDEL,*,collapsed_duplication_FP_regions,ALL,*,QUAL,*,0.88764,0.444444,0.961702,0.592315,3,8,8015146.000000,676291.000000,0.000000,89,.,.,44.000000,43.000000,,1.02325581395,79,.,.,34.000000,43.000000,,0.790697674419,10,.,.,10.000000,0.000000,,,4700,.,.,3638.000000,1005.000000,,3.61990049751,80,.,.,36.000000,43.000000,,0.837209302326,100,.,.,97.000000,3.000000,,32.3333333333,4520,.,.,3505.000000,959.000000,,3.65484880083
INDEL,*,collapsed_duplication_FP_regions,PASS,*,QUAL,*,0.88764,0.444444,0.961702,0.592315,3,8,8015146.000000,676291.000000,0.000000,89,.,.,44.000000,43.000000,,1.02325581395,79,.,.,34.000000,43.000000,,0.790697674419,10,.,.,10.000000,0.000000,,,4700,.,.,3638.000000,1005.000000,,3.61990049751,80,.,.,36.000000,43.000000,,0.837209302326,100,.,.,97.000000,3.000000,,32.3333333333,4520,.,.,3505.000000,959.000000,,3.65484880083
INDEL,*,false_duplications_correct_copy,ALL,*,QUAL,*,0.806452,0.961538,0.92,0.877193,1,0,1237625.000000,683527.000000,0.000000,31,.,.,28.000000,3.000000,,9.33333333333,25,.,.,22.000000,3.000000,,7.33333333333,6,.,.,6.000000,0.000000,,,325,.,.,204.000000,114.000000,,1.78947368421,25,.,.,22.000000,3.000000,,7.33333333333,1,.,.,0.000000,1.000000,,0.0,299,.,.,182.000000,110.000000,,1.65454545455
INDEL,*,false_duplications_correct_copy,PASS,*,QUAL,*,0.806452,0.961538,0.92,0.877193,1,0,1237625.000000,683527.000000,0.000000,31,.,.,28.000000,3.000000,,9.33333333333,25,.,.,22.000000,3.000000,,7.33333333333,6,.,.,6.000000,0.000000,,,325,.,.,204.000000,114.000000,,1.78947368421,25,.,.,22.000000,3.000000,,7.33333333333,1,.,.,0.000000,1.000000,,0.0,299,.,.,182.000000,110.000000,,1.65454545455
INDEL,*,gnomAD_InbreedingCoeff_slop1bp_merge1000bp,ALL,*,QUAL,*,0.940589,0.959312,0.796804,0.949858,93,46,13528469.000000,2276581.000000,0.000000,6009,.,.,1626.000000,3738.000000,,0.434991974318,5652,.,.,1442.000000,3674.000000,,0.392487751769,357,.,.,184.000000,64.000000,,2.875,30601,.,.,17455.000000,12763.000000,,1.3676251665,5965,.,.,2237.000000,3653.000000,,0.612373391733,253,.,.,185.000000,60.000000,,3.08333333333,24383,.,.,15033.000000,9050.000000,,1.66110497238
INDEL,*,gnomAD_InbreedingCoeff_slop1bp_merge1000bp,PASS,*,QUAL,*,0.940589,0.959312,0.796804,0.949858,93,46,13528469.000000,2276581.000000,0.000000,6009,.,.,1626.000000,3738.000000,,0.434991974318,5652,.,.,1442.000000,3674.000000,,0.392487751769,357,.,.,184.000000,64.000000,,2.875,30601,.,.,17455.000000,12763.000000,,1.3676251665,5965,.,.,2237.000000,3653.000000,,0.612373391733,253,.,.,185.000000,60.000000,,3.08333333333,24383,.,.,15033.000000,9050.000000,,1.66110497238
INDEL,*,nonunique_l250_m0_e0,ALL,*,QUAL,*,0.841555,0.946488,0.93179,0.890942,9,1,89246198.000000,13080805.000000,0.000000,669,.,.,460.000000,205.000000,,2.24390243902,563,.,.,360.000000,200.000000,,1.8,106,.,.,100.000000,5.000000,,20.0,8767,.,.,5534.000000,3173.000000,,1.74409076584,566,.,.,366.000000,200.000000,,1.83,32,.,.,25.000000,7.000000,,3.57142857143,8169,.,.,5143.000000,2966.000000,,1.73398516521
INDEL,*,nonunique_l250_m0_e0,PASS,*,QUAL,*,0.841555,0.946488,0.93179,0.890942,9,1,89246198.000000,13080805.000000,0.000000,669,.,.,460.000000,205.000000,,2.24390243902,563,.,.,360.000000,200.000000,,1.8,106,.,.,100.000000,5.000000,,20.0,8767,.,.,5534.000000,3173.000000,,1.74409076584,566,.,.,366.000000,200.000000,,1.83,32,.,.,25.000000,7.000000,,3.57142857143,8169,.,.,5143.000000,2966.000000,,1.73398516521
