Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.942994,0.969648,0.382633,0.956135,10863,3351,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,495514,.,.,281989.000000,184484.000000,,1.52852821925,29955,.,.,14605.000000,9587.000000,,1.52341712736,857866,.,.,541801.000000,280382.000000,,1.93236727037,513543,.,.,319615.000000,184423.000000,,1.73305390326,16075,.,.,10168.000000,3195.000000,,3.18247261346,328248,.,.,212018.000000,92764.000000,,2.2855633651
INDEL,*,*,PASS,*,QUAL,*,0.942994,0.969648,0.382633,0.956135,10863,3351,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,495514,.,.,281989.000000,184484.000000,,1.52852821925,29955,.,.,14605.000000,9587.000000,,1.52341712736,857866,.,.,541801.000000,280382.000000,,1.93236727037,513543,.,.,319615.000000,184423.000000,,1.73305390326,16075,.,.,10168.000000,3195.000000,,3.18247261346,328248,.,.,212018.000000,92764.000000,,2.2855633651
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.888357,0.934275,0.45229,0.910738,9984,3129,83977437.000000,62848827.000000,0.000000,229965,.,.,127616.000000,85987.000000,,1.48413132218,204291,.,.,115669.000000,77494.000000,,1.49261878339,25674,.,.,11947.000000,8493.000000,,1.40668786059,412132,.,.,260311.000000,129909.000000,,2.00379496417,210893,.,.,129718.000000,77462.000000,,1.67460174021,14836,.,.,9200.000000,2977.000000,,3.09035942224,186403,.,.,121393.000000,49470.000000,,2.45387103295
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.888357,0.934275,0.45229,0.910738,9984,3129,83977437.000000,62848827.000000,0.000000,229965,.,.,127616.000000,85987.000000,,1.48413132218,204291,.,.,115669.000000,77494.000000,,1.49261878339,25674,.,.,11947.000000,8493.000000,,1.40668786059,412132,.,.,260311.000000,129909.000000,,2.00379496417,210893,.,.,129718.000000,77462.000000,,1.67460174021,14836,.,.,9200.000000,2977.000000,,3.09035942224,186403,.,.,121393.000000,49470.000000,,2.45387103295
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.972523,0.991701,0.785345,0.982018,106,34,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18440,.,.,10832.000000,5972.000000,,1.81379772271,521,.,.,349.000000,118.000000,,2.95762711864,91505,.,.,57790.000000,30315.000000,,1.90631700478,19479,.,.,13046.000000,5972.000000,,2.18452779638,163,.,.,138.000000,14.000000,,9.85714285714,71863,.,.,44606.000000,24329.000000,,1.83344979243
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.972523,0.991701,0.785345,0.982018,106,34,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18440,.,.,10832.000000,5972.000000,,1.81379772271,521,.,.,349.000000,118.000000,,2.95762711864,91505,.,.,57790.000000,30315.000000,,1.90631700478,19479,.,.,13046.000000,5972.000000,,2.18452779638,163,.,.,138.000000,14.000000,,9.85714285714,71863,.,.,44606.000000,24329.000000,,1.83344979243
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.915685,0.953948,0.465745,0.934425,10781,3320,252347426.000000,122953793.000000,0.000000,339122,.,.,186103.000000,118354.000000,,1.57242678743,310529,.,.,172382.000000,109241.000000,,1.57799727209,28593,.,.,13721.000000,9113.000000,,1.50565126742,644745,.,.,416468.000000,193231.000000,,2.15528564257,328595,.,.,210015.000000,109194.000000,,1.92331996264,15863,.,.,10004.000000,3149.000000,,3.1768815497,300287,.,.,196449.000000,80888.000000,,2.42865443576
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.915685,0.953948,0.465745,0.934425,10781,3320,252347426.000000,122953793.000000,0.000000,339122,.,.,186103.000000,118354.000000,,1.57242678743,310529,.,.,172382.000000,109241.000000,,1.57799727209,28593,.,.,13721.000000,9113.000000,,1.50565126742,644745,.,.,416468.000000,193231.000000,,2.15528564257,328595,.,.,210015.000000,109194.000000,,1.92331996264,15863,.,.,10004.000000,3149.000000,,3.1768815497,300287,.,.,196449.000000,80888.000000,,2.42865443576
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.991071,1.0,0.569767,0.995516,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,222,.,.,124.000000,98.000000,,1.26530612245,2,.,.,0.000000,2.000000,,0.0,516,.,.,282.000000,222.000000,,1.27027027027,222,.,.,124.000000,98.000000,,1.26530612245,0,.,.,0.000000,0.000000,,,294,.,.,158.000000,124.000000,,1.27419354839
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.991071,1.0,0.569767,0.995516,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,222,.,.,124.000000,98.000000,,1.26530612245,2,.,.,0.000000,2.000000,,0.0,516,.,.,282.000000,222.000000,,1.27027027027,222,.,.,124.000000,98.000000,,1.26530612245,0,.,.,0.000000,0.000000,,,294,.,.,158.000000,124.000000,,1.27419354839
