Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.85642,0.814863,0.416718,0.835125,62220,5878,2809068885,2546949881.000000,0.000000,525455,.,.,296581.000000,194071.000000,,1.52820874834,450010,.,.,285191.000000,142240.000000,,2.00499859393,75445,.,.,11390.000000,51831.000000,,0.219752657676,979958,.,.,761418.000000,199221.000000,,3.82197659885,465769,.,.,317678.000000,142160.000000,,2.23465109736,105823,.,.,103107.000000,75.000000,,1374.76,408366,.,.,340633.000000,56986.000000,,5.97748569824
INDEL,*,*,PASS,*,QUAL,*,0.85642,0.814863,0.416718,0.835125,62220,5878,2809068885,2546949881.000000,0.000000,525455,.,.,296581.000000,194071.000000,,1.52820874834,450010,.,.,285191.000000,142240.000000,,2.00499859393,75445,.,.,11390.000000,51831.000000,,0.219752657676,979958,.,.,761418.000000,199221.000000,,3.82197659885,465769,.,.,317678.000000,142160.000000,,2.23465109736,105823,.,.,103107.000000,75.000000,,1374.76,408366,.,.,340633.000000,56986.000000,,5.97748569824
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.742147,0.66322,0.494024,0.700467,52175,5021,83977437.000000,62848827.000000,0.000000,229964,.,.,127615.000000,85987.000000,,1.48411969251,170667,.,.,121874.000000,40437.000000,,3.0139228924,59297,.,.,5741.000000,45550.000000,,0.126037321625,524335,.,.,455744.000000,56248.000000,,8.10240364102,175953,.,.,132926.000000,40399.000000,,3.29032896854,89348,.,.,86847.000000,12.000000,,7237.25,259034,.,.,235971.000000,15837.000000,,14.899981057
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.742147,0.66322,0.494024,0.700467,52175,5021,83977437.000000,62848827.000000,0.000000,229964,.,.,127615.000000,85987.000000,,1.48411969251,170667,.,.,121874.000000,40437.000000,,3.0139228924,59297,.,.,5741.000000,45550.000000,,0.126037321625,524335,.,.,455744.000000,56248.000000,,8.10240364102,175953,.,.,132926.000000,40399.000000,,3.29032896854,89348,.,.,86847.000000,12.000000,,7237.25,259034,.,.,235971.000000,15837.000000,,14.899981057
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.919624,0.946039,0.780561,0.932645,832,64,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,17437,.,.,10598.000000,5456.000000,,1.94244868035,1524,.,.,583.000000,634.000000,,0.919558359621,88758,.,.,59606.000000,27319.000000,,2.18185145869,18426,.,.,12669.000000,5448.000000,,2.32544052863,1051,.,.,1034.000000,7.000000,,147.714285714,69281,.,.,45903.000000,21864.000000,,2.09947859495
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.919624,0.946039,0.780561,0.932645,832,64,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,17437,.,.,10598.000000,5456.000000,,1.94244868035,1524,.,.,583.000000,634.000000,,0.919558359621,88758,.,.,59606.000000,27319.000000,,2.18185145869,18426,.,.,12669.000000,5448.000000,,2.32544052863,1051,.,.,1034.000000,7.000000,,147.714285714,69281,.,.,45903.000000,21864.000000,,2.09947859495
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.790563,0.739289,0.495241,0.764067,61668,5669,252347426.000000,122953793.000000,0.000000,339119,.,.,186101.000000,118354.000000,,1.57240988898,268095,.,.,178483.000000,67164.000000,,2.65742064201,71024,.,.,7618.000000,51190.000000,,0.148818128541,760684,.,.,631139.000000,110564.000000,,5.70835895952,283859,.,.,210956.000000,67093.000000,,3.14423263232,100103,.,.,97439.000000,30.000000,,3247.96666667,376722,.,.,322744.000000,43441.000000,,7.42947906356
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.790563,0.739289,0.495241,0.764067,61668,5669,252347426.000000,122953793.000000,0.000000,339119,.,.,186101.000000,118354.000000,,1.57240988898,268095,.,.,178483.000000,67164.000000,,2.65742064201,71024,.,.,7618.000000,51190.000000,,0.148818128541,760684,.,.,631139.000000,110564.000000,,5.70835895952,283859,.,.,210956.000000,67093.000000,,3.14423263232,100103,.,.,97439.000000,30.000000,,3247.96666667,376722,.,.,322744.000000,43441.000000,,7.42947906356
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.959821,0.972727,0.605735,0.966231,3,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,215,.,.,118.000000,97.000000,,1.21649484536,9,.,.,6.000000,3.000000,,2.0,558,.,.,416.000000,139.000000,,2.9928057554,214,.,.,118.000000,96.000000,,1.22916666667,6,.,.,6.000000,0.000000,,,338,.,.,292.000000,43.000000,,6.79069767442
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.959821,0.972727,0.605735,0.966231,3,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,215,.,.,118.000000,97.000000,,1.21649484536,9,.,.,6.000000,3.000000,,2.0,558,.,.,416.000000,139.000000,,2.9928057554,214,.,.,118.000000,96.000000,,1.22916666667,6,.,.,6.000000,0.000000,,,338,.,.,292.000000,43.000000,,6.79069767442
INDEL,*,MHC,ALL,*,QUAL,*,0.80457,0.939557,0.519057,0.86684,48,12,4970557.000000,4634060.000000,0.000000,1663,.,.,1045.000000,549.000000,,1.90346083789,1338,.,.,768.000000,518.000000,,1.48262548263,325,.,.,277.000000,31.000000,,8.93548387097,3096,.,.,2153.000000,868.000000,,2.48041474654,1399,.,.,839.000000,537.000000,,1.56238361266,90,.,.,76.000000,12.000000,,6.33333333333,1607,.,.,1238.000000,319.000000,,3.88087774295
INDEL,*,MHC,PASS,*,QUAL,*,0.80457,0.939557,0.519057,0.86684,48,12,4970557.000000,4634060.000000,0.000000,1663,.,.,1045.000000,549.000000,,1.90346083789,1338,.,.,768.000000,518.000000,,1.48262548263,325,.,.,277.000000,31.000000,,8.93548387097,3096,.,.,2153.000000,868.000000,,2.48041474654,1399,.,.,839.000000,537.000000,,1.56238361266,90,.,.,76.000000,12.000000,,6.33333333333,1607,.,.,1238.000000,319.000000,,3.88087774295
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.84502,0.904358,0.716895,0.873682,289,48,3036641434.000000,2546949881.000000,0.000000,3323,.,.,1554.000000,1281.000000,,1.2131147541,2808,.,.,1390.000000,1018.000000,,1.36542239686,515,.,.,164.000000,263.000000,,0.623574144487,12483,.,.,10316.000000,2166.000000,,4.76269621422,3196,.,.,2185.000000,1011.000000,,2.16122650841,338,.,.,334.000000,4.000000,,83.5,8949,.,.,7797.000000,1151.000000,,6.77410947003
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.84502,0.904358,0.716895,0.873682,289,48,3036641434.000000,2546949881.000000,0.000000,3323,.,.,1554.000000,1281.000000,,1.2131147541,2808,.,.,1390.000000,1018.000000,,1.36542239686,515,.,.,164.000000,263.000000,,0.623574144487,12483,.,.,10316.000000,2166.000000,,4.76269621422,3196,.,.,2185.000000,1011.000000,,2.16122650841,338,.,.,334.000000,4.000000,,83.5,8949,.,.,7797.000000,1151.000000,,6.77410947003
INDEL,*,TS_contained,ALL,*,QUAL,*,0.856492,0.814306,0.0,0.834866,61931,5830,2546949881.000000,2546949881.000000,0.000000,522132,.,.,295027.000000,192790.000000,,1.53030240158,447202,.,.,283801.000000,141222.000000,,2.00960898444,74930,.,.,11226.000000,51568.000000,,0.217693143034,568058,.,.,418266.000000,141220.000000,,2.96180427701,462573,.,.,315493.000000,141149.000000,,2.23517701153,105485,.,.,102773.000000,71.000000,,1447.50704225,0,.,.,0.000000,0.000000,,
