Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.359256,0.656762,0.416813,0.464452,9007,12302,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,188778,.,.,108755.000000,67404.000000,,1.61347991217,336691,.,.,187839.000000,126667.000000,,1.48293557122,511935,.,.,378737.000000,103027.000000,,3.67609461597,196079,.,.,124932.000000,67120.000000,,1.86132300358,102475,.,.,95961.000000,2139.000000,,44.8625525947,213381,.,.,157844.000000,33768.000000,,4.67436626392
INDEL,*,*,PASS,*,QUAL,*,0.359256,0.656762,0.416813,0.464452,9007,12302,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,188778,.,.,108755.000000,67404.000000,,1.61347991217,336691,.,.,187839.000000,126667.000000,,1.48293557122,511935,.,.,378737.000000,103027.000000,,3.67609461597,196079,.,.,124932.000000,67120.000000,,1.86132300358,102475,.,.,95961.000000,2139.000000,,44.8625525947,213381,.,.,157844.000000,33768.000000,,4.67436626392
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.345135,0.497229,0.467696,0.407451,6463,9752,83977437.000000,62848827.000000,0.000000,229968,.,.,127619.000000,85987.000000,,1.48416621117,79370,.,.,46606.000000,26855.000000,,1.73546825545,150598,.,.,81013.000000,59132.000000,,1.37003652844,313223,.,.,247598.000000,42394.000000,,5.84040194367,82903,.,.,54324.000000,26750.000000,,2.03080373832,83827,.,.,79760.000000,437.000000,,182.517162471,146493,.,.,113514.000000,15207.000000,,7.46458867627
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.345135,0.497229,0.467696,0.407451,6463,9752,83977437.000000,62848827.000000,0.000000,229968,.,.,127619.000000,85987.000000,,1.48416621117,79370,.,.,46606.000000,26855.000000,,1.73546825545,150598,.,.,81013.000000,59132.000000,,1.37003652844,313223,.,.,247598.000000,42394.000000,,5.84040194367,82903,.,.,54324.000000,26750.000000,,2.03080373832,83827,.,.,79760.000000,437.000000,,182.517162471,146493,.,.,113514.000000,15207.000000,,7.46458867627
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.360899,0.906997,0.80618,0.516342,327,129,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,6843,.,.,3948.000000,2269.000000,,1.73997355663,12118,.,.,7233.000000,3821.000000,,1.89295995813,40775,.,.,26539.000000,12651.000000,,2.09777883171,7168,.,.,4744.000000,2247.000000,,2.11125945705,735,.,.,429.000000,249.000000,,1.72289156627,32872,.,.,21366.000000,10155.000000,,2.10398818316
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.360899,0.906997,0.80618,0.516342,327,129,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,6843,.,.,3948.000000,2269.000000,,1.73997355663,12118,.,.,7233.000000,3821.000000,,1.89295995813,40775,.,.,26539.000000,12651.000000,,2.09777883171,7168,.,.,4744.000000,2247.000000,,2.11125945705,735,.,.,429.000000,249.000000,,1.72289156627,32872,.,.,21366.000000,10155.000000,,2.10398818316
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.347421,0.586251,0.480948,0.43629,8755,10704,252347426.000000,122953793.000000,0.000000,339125,.,.,186106.000000,118354.000000,,1.57245213512,117819,.,.,66566.000000,38681.000000,,1.7208965642,221306,.,.,119540.000000,79673.000000,,1.50038281476,411627,.,.,312250.000000,69351.000000,,4.50245850817,125256,.,.,82807.000000,38464.000000,,2.15284421797,88400,.,.,82199.000000,1830.000000,,44.9174863388,197971,.,.,147244.000000,29057.000000,,5.06741921052
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.347421,0.586251,0.480948,0.43629,8755,10704,252347426.000000,122953793.000000,0.000000,339125,.,.,186106.000000,118354.000000,,1.57245213512,117819,.,.,66566.000000,38681.000000,,1.7208965642,221306,.,.,119540.000000,79673.000000,,1.50038281476,411627,.,.,312250.000000,69351.000000,,4.50245850817,125256,.,.,82807.000000,38464.000000,,2.15284421797,88400,.,.,82199.000000,1830.000000,,44.9174863388,197971,.,.,147244.000000,29057.000000,,5.06741921052
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.370536,0.902174,0.618257,0.525316,0,2,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,83,.,.,45.000000,38.000000,,1.18421052632,141,.,.,79.000000,62.000000,,1.27419354839,241,.,.,173.000000,58.000000,,2.98275862069,83,.,.,45.000000,38.000000,,1.18421052632,9,.,.,9.000000,0.000000,,,149,.,.,119.000000,20.000000,,5.95
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.370536,0.902174,0.618257,0.525316,0,2,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,83,.,.,45.000000,38.000000,,1.18421052632,141,.,.,79.000000,62.000000,,1.27419354839,241,.,.,173.000000,58.000000,,2.98275862069,83,.,.,45.000000,38.000000,,1.18421052632,9,.,.,9.000000,0.000000,,,149,.,.,119.000000,20.000000,,5.95
