Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.908269,0.986118,0.401126,0.945594,4691,1890,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,477267,.,.,259137.000000,191283.000000,,1.35473094839,48202,.,.,37457.000000,2788.000000,,13.4350789096,832975,.,.,504204.000000,304695.000000,,1.6547826515,491922,.,.,292897.000000,190498.000000,,1.53753320245,6925,.,.,3095.000000,3394.000000,,0.911903358869,334128,.,.,208212.000000,110803.000000,,1.87911879642
INDEL,*,*,PASS,*,QUAL,*,0.908269,0.986118,0.401126,0.945594,4691,1890,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,477267,.,.,259137.000000,191283.000000,,1.35473094839,48202,.,.,37457.000000,2788.000000,,13.4350789096,832975,.,.,504204.000000,304695.000000,,1.6547826515,491922,.,.,292897.000000,190498.000000,,1.53753320245,6925,.,.,3095.000000,3394.000000,,0.911903358869,334128,.,.,208212.000000,110803.000000,,1.87911879642
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.80324,0.971039,0.483014,0.879204,3858,1662,83977437.000000,62848827.000000,0.000000,229970,.,.,127621.000000,85987.000000,,1.4841894705,184721,.,.,92274.000000,83351.000000,,1.1070533047,45249,.,.,35347.000000,2636.000000,,13.4093323217,377289,.,.,210987.000000,154651.000000,,1.36427827819,189404,.,.,103431.000000,83091.000000,,1.24479185471,5649,.,.,2488.000000,2778.000000,,0.895608351332,182236,.,.,105068.000000,68782.000000,,1.52755081271
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.80324,0.971039,0.483014,0.879204,3858,1662,83977437.000000,62848827.000000,0.000000,229970,.,.,127621.000000,85987.000000,,1.4841894705,184721,.,.,92274.000000,83351.000000,,1.1070533047,45249,.,.,35347.000000,2636.000000,,13.4093323217,377289,.,.,210987.000000,154651.000000,,1.36427827819,189404,.,.,103431.000000,83091.000000,,1.24479185471,5649,.,.,2488.000000,2778.000000,,0.895608351332,182236,.,.,105068.000000,68782.000000,,1.52755081271
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.986815,0.993188,0.793052,0.989991,75,40,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18711,.,.,11007.000000,6069.000000,,1.8136431043,250,.,.,174.000000,21.000000,,8.28571428571,95048,.,.,65520.000000,26880.000000,,2.4375,19536,.,.,13088.000000,5996.000000,,2.18278852568,134,.,.,84.000000,49.000000,,1.71428571429,75378,.,.,52348.000000,20835.000000,,2.51250299976
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.986815,0.993188,0.793052,0.989991,75,40,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18711,.,.,11007.000000,6069.000000,,1.8136431043,250,.,.,174.000000,21.000000,,8.28571428571,95048,.,.,65520.000000,26880.000000,,2.4375,19536,.,.,13088.000000,5996.000000,,2.18278852568,134,.,.,84.000000,49.000000,,1.71428571429,75378,.,.,52348.000000,20835.000000,,2.51250299976
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.86163,0.978953,0.491961,0.916552,4587,1849,252347426.000000,122953793.000000,0.000000,339126,.,.,186107.000000,118354.000000,,1.57246058435,292201,.,.,149825.000000,115610.000000,,1.29595190727,46925,.,.,36282.000000,2744.000000,,13.222303207,617712,.,.,376767.000000,217082.000000,,1.73559760828,307217,.,.,183727.000000,115029.000000,,1.5972233089,6605,.,.,2880.000000,3290.000000,,0.87537993921,303890,.,.,190160.000000,98763.000000,,1.9254174134
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.86163,0.978953,0.491961,0.916552,4587,1849,252347426.000000,122953793.000000,0.000000,339126,.,.,186107.000000,118354.000000,,1.57246058435,292201,.,.,149825.000000,115610.000000,,1.29595190727,46925,.,.,36282.000000,2744.000000,,13.222303207,617712,.,.,376767.000000,217082.000000,,1.73559760828,307217,.,.,183727.000000,115029.000000,,1.5972233089,6605,.,.,2880.000000,3290.000000,,0.87537993921,303890,.,.,190160.000000,98763.000000,,1.9254174134
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.986607,1.0,0.504505,0.993258,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,221,.,.,121.000000,100.000000,,1.21,3,.,.,3.000000,0.000000,,,444,.,.,252.000000,180.000000,,1.4,220,.,.,121.000000,99.000000,,1.22222222222,0,.,.,0.000000,0.000000,,,224,.,.,131.000000,81.000000,,1.61728395062
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.986607,1.0,0.504505,0.993258,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,221,.,.,121.000000,100.000000,,1.21,3,.,.,3.000000,0.000000,,,444,.,.,252.000000,180.000000,,1.4,220,.,.,121.000000,99.000000,,1.22222222222,0,.,.,0.000000,0.000000,,,224,.,.,131.000000,81.000000,,1.61728395062
INDEL,*,MHC,ALL,*,QUAL,*,0.944544,0.990781,0.488043,0.96711,8,7,4970557.000000,4634060.000000,0.000000,1677,.,.,1058.000000,549.000000,,1.92714025501,1584,.,.,978.000000,548.000000,,1.78467153285,93,.,.,80.000000,1.000000,,80.0,3178,.,.,2040.000000,1069.000000,,1.90832553789,1612,.,.,1044.000000,546.000000,,1.91208791209,15,.,.,8.000000,6.000000,,1.33333333333,1551,.,.,988.000000,517.000000,,1.91102514507
