Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.947428,0.970029,0.385483,0.958595,10728,3348,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,497844,.,.,283626.000000,185156.000000,,1.53182181512,27625,.,.,12968.000000,8915.000000,,1.45462703309,862051,.,.,547869.000000,278385.000000,,1.96802629452,513868,.,.,319915.000000,184462.000000,,1.73431384242,15877,.,.,10105.000000,3121.000000,,3.23774431272,332306,.,.,217849.000000,90802.000000,,2.39916521663
INDEL,*,*,PASS,*,QUAL,*,0.947428,0.970029,0.385483,0.958595,10728,3348,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,497844,.,.,283626.000000,185156.000000,,1.53182181512,27625,.,.,12968.000000,8915.000000,,1.45462703309,862051,.,.,547869.000000,278385.000000,,1.96802629452,513868,.,.,319915.000000,184462.000000,,1.73431384242,15877,.,.,10105.000000,3121.000000,,3.23774431272,332306,.,.,217849.000000,90802.000000,,2.39916521663
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.89216,0.935035,0.45384,0.913094,9883,3113,83977437.000000,62848827.000000,0.000000,229970,.,.,127621.000000,85987.000000,,1.4841894705,205170,.,.,116280.000000,77742.000000,,1.49571660107,24800,.,.,11341.000000,8245.000000,,1.37550030321,413289,.,.,261450.000000,129997.000000,,2.01120025847,211058,.,.,129844.000000,77500.000000,,1.67540645161,14664,.,.,9134.000000,2929.000000,,3.11847046774,187567,.,.,122472.000000,49568.000000,,2.47078760491
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.89216,0.935035,0.45384,0.913094,9883,3113,83977437.000000,62848827.000000,0.000000,229970,.,.,127621.000000,85987.000000,,1.4841894705,205170,.,.,116280.000000,77742.000000,,1.49571660107,24800,.,.,11341.000000,8245.000000,,1.37550030321,413289,.,.,261450.000000,129997.000000,,2.01120025847,211058,.,.,129844.000000,77500.000000,,1.67540645161,14664,.,.,9134.000000,2929.000000,,3.11847046774,187567,.,.,122472.000000,49568.000000,,2.47078760491
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.982649,0.991293,0.784566,0.986952,112,33,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18632,.,.,10995.000000,6005.000000,,1.83097418818,329,.,.,186.000000,85.000000,,2.18823529412,91160,.,.,59765.000000,27903.000000,,2.14188438519,19468,.,.,13068.000000,5943.000000,,2.19888944977,171,.,.,150.000000,13.000000,,11.5384615385,71521,.,.,46547.000000,21947.000000,,2.12088212512
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.982649,0.991293,0.784566,0.986952,112,33,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18632,.,.,10995.000000,6005.000000,,1.83097418818,329,.,.,186.000000,85.000000,,2.18823529412,91160,.,.,59765.000000,27903.000000,,2.14188438519,19468,.,.,13068.000000,5943.000000,,2.19888944977,171,.,.,150.000000,13.000000,,11.5384615385,71521,.,.,46547.000000,21947.000000,,2.12088212512
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.921663,0.954479,0.467841,0.937784,10656,3316,252347426.000000,122953793.000000,0.000000,339126,.,.,186107.000000,118354.000000,,1.57246058435,312560,.,.,173875.000000,109759.000000,,1.58415255241,26566,.,.,12232.000000,8595.000000,,1.42315299593,647449,.,.,421201.000000,191077.000000,,2.20435217216,328862,.,.,210268.000000,109222.000000,,1.92514328615,15684,.,.,9959.000000,3077.000000,,3.23659408515,302903,.,.,200974.000000,78778.000000,,2.55114372033
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.921663,0.954479,0.467841,0.937784,10656,3316,252347426.000000,122953793.000000,0.000000,339126,.,.,186107.000000,118354.000000,,1.57246058435,312560,.,.,173875.000000,109759.000000,,1.58415255241,26566,.,.,12232.000000,8595.000000,,1.42315299593,647449,.,.,421201.000000,191077.000000,,2.20435217216,328862,.,.,210268.000000,109222.000000,,1.92514328615,15684,.,.,9959.000000,3077.000000,,3.23659408515,302903,.,.,200974.000000,78778.000000,,2.55114372033
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.991071,1.0,0.576628,0.995516,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,222,.,.,124.000000,98.000000,,1.26530612245,2,.,.,0.000000,2.000000,,0.0,522,.,.,283.000000,228.000000,,1.24122807018,221,.,.,123.000000,98.000000,,1.25510204082,0,.,.,0.000000,0.000000,,,301,.,.,160.000000,130.000000,,1.23076923077
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.991071,1.0,0.576628,0.995516,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,222,.,.,124.000000,98.000000,,1.26530612245,2,.,.,0.000000,2.000000,,0.0,522,.,.,283.000000,228.000000,,1.24122807018,221,.,.,123.000000,98.000000,,1.25510204082,0,.,.,0.000000,0.000000,,,301,.,.,160.000000,130.000000,,1.23076923077
