Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.994255,0.994161,0.44976,0.994208,1498,1116,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,522450,.,.,294998.000000,193373.000000,,1.52553872568,3019,.,.,1596.000000,698.000000,,2.28653295129,991285,.,.,636771.000000,318904.000000,,1.99674823771,542260,.,.,338965.000000,192514.000000,,1.76072908983,3185,.,.,2495.000000,388.000000,,6.43041237113,445840,.,.,295311.000000,126002.000000,,2.34370089364
INDEL,*,*,PASS,*,QUAL,*,0.994255,0.994161,0.44976,0.994208,1498,1116,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,522450,.,.,294998.000000,193373.000000,,1.52553872568,3019,.,.,1596.000000,698.000000,,2.28653295129,991285,.,.,636771.000000,318904.000000,,1.99674823771,542260,.,.,338965.000000,192514.000000,,1.76072908983,3185,.,.,2495.000000,388.000000,,6.43041237113,445840,.,.,295311.000000,126002.000000,,2.34370089364
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.990416,0.989172,0.529547,0.989794,1189,970,83977437.000000,62848827.000000,0.000000,229970,.,.,127621.000000,85987.000000,,1.4841894705,227766,.,.,126492.000000,85458.000000,,1.48016569543,2204,.,.,1129.000000,529.000000,,2.13421550095,510004,.,.,333622.000000,155307.000000,,2.14814528643,237335,.,.,147294.000000,85143.000000,,1.72996018463,2598,.,.,2047.000000,304.000000,,6.73355263158,270071,.,.,184281.000000,69860.000000,,2.63786143716
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.990416,0.989172,0.529547,0.989794,1189,970,83977437.000000,62848827.000000,0.000000,229970,.,.,127621.000000,85987.000000,,1.4841894705,227766,.,.,126492.000000,85458.000000,,1.48016569543,2204,.,.,1129.000000,529.000000,,2.13421550095,510004,.,.,333622.000000,155307.000000,,2.14814528643,237335,.,.,147294.000000,85143.000000,,1.72996018463,2598,.,.,2047.000000,304.000000,,6.73355263158,270071,.,.,184281.000000,69860.000000,,2.63786143716
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.994515,0.995908,0.826803,0.995211,39,24,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18857,.,.,11122.000000,6067.000000,,1.83319597824,104,.,.,59.000000,23.000000,,2.5652173913,114292,.,.,69195.000000,41340.000000,,1.67380261248,19714,.,.,13260.000000,5993.000000,,2.2125813449,81,.,.,67.000000,7.000000,,9.57142857143,94497,.,.,55868.000000,35340.000000,,1.58087153367
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.994515,0.995908,0.826803,0.995211,39,24,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18857,.,.,11122.000000,6067.000000,,1.83319597824,104,.,.,59.000000,23.000000,,2.5652173913,114292,.,.,69195.000000,41340.000000,,1.67380261248,19714,.,.,13260.000000,5993.000000,,2.2125813449,81,.,.,67.000000,7.000000,,9.57142857143,94497,.,.,55868.000000,35340.000000,,1.58087153367
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.991979,0.991582,0.534917,0.991781,1466,1088,252347426.000000,122953793.000000,0.000000,339126,.,.,186107.000000,118354.000000,,1.57246058435,336406,.,.,184757.000000,117709.000000,,1.56960810133,2720,.,.,1350.000000,645.000000,,2.09302325581,773182,.,.,507585.000000,230534.000000,,2.20177934708,356567,.,.,228861.000000,117048.000000,,1.95527475907,3027,.,.,2369.000000,358.000000,,6.61731843575,413588,.,.,276355.000000,113128.000000,,2.44285234425
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.991979,0.991582,0.534917,0.991781,1466,1088,252347426.000000,122953793.000000,0.000000,339126,.,.,186107.000000,118354.000000,,1.57246058435,336406,.,.,184757.000000,117709.000000,,1.56960810133,2720,.,.,1350.000000,645.000000,,2.09302325581,773182,.,.,507585.000000,230534.000000,,2.20177934708,356567,.,.,228861.000000,117048.000000,,1.95527475907,3027,.,.,2369.000000,358.000000,,6.61731843575,413588,.,.,276355.000000,113128.000000,,2.44285234425
INDEL,*,L1H_gt500,ALL,*,QUAL,*,1.0,1.0,0.598921,1.0,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,224,.,.,124.000000,100.000000,,1.24,0,.,.,0.000000,0.000000,,,556,.,.,351.000000,187.000000,,1.87700534759,223,.,.,124.000000,99.000000,,1.25252525253,0,.,.,0.000000,0.000000,,,333,.,.,227.000000,88.000000,,2.57954545455
INDEL,*,L1H_gt500,PASS,*,QUAL,*,1.0,1.0,0.598921,1.0,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,224,.,.,124.000000,100.000000,,1.24,0,.,.,0.000000,0.000000,,,556,.,.,351.000000,187.000000,,1.87700534759,223,.,.,124.000000,99.000000,,1.25252525253,0,.,.,0.000000,0.000000,,,333,.,.,227.000000,88.000000,,2.57954545455
