Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.854361,0.813666,0.404921,0.833517,62752,5823,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,448940,.,.,284902.000000,141541.000000,,2.01285846504,76529,.,.,11692.000000,52530.000000,,0.222577574719,955912,.,.,747640.000000,189706.000000,,3.94104561796,462848,.,.,316015.000000,140988.000000,,2.24143189491,105995,.,.,103346.000000,65.000000,,1589.93846154,387069,.,.,328279.000000,48653.000000,,6.74735370892
INDEL,*,*,PASS,*,QUAL,*,0.854361,0.813666,0.404921,0.833517,62752,5823,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,448940,.,.,284902.000000,141541.000000,,2.01285846504,76529,.,.,11692.000000,52530.000000,,0.222577574719,955912,.,.,747640.000000,189706.000000,,3.94104561796,462848,.,.,316015.000000,140988.000000,,2.24143189491,105995,.,.,103346.000000,65.000000,,1589.93846154,387069,.,.,328279.000000,48653.000000,,6.74735370892
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.739309,0.661642,0.489157,0.698323,52482,4994,83977437.000000,62848827.000000,0.000000,229970,.,.,127621.000000,85987.000000,,1.4841894705,170019,.,.,121637.000000,40049.000000,,3.03720442458,59951,.,.,5984.000000,45938.000000,,0.130262527755,517004,.,.,451074.000000,53997.000000,,8.35368631591,174745,.,.,132252.000000,39901.000000,,3.3145033959,89363,.,.,86909.000000,13.000000,,6685.30769231,252896,.,.,231913.000000,14083.000000,,16.4675850316
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.739309,0.661642,0.489157,0.698323,52482,4994,83977437.000000,62848827.000000,0.000000,229970,.,.,127621.000000,85987.000000,,1.4841894705,170019,.,.,121637.000000,40049.000000,,3.03720442458,59951,.,.,5984.000000,45938.000000,,0.130262527755,517004,.,.,451074.000000,53997.000000,,8.35368631591,174745,.,.,132252.000000,39901.000000,,3.3145033959,89363,.,.,86909.000000,13.000000,,6685.30769231,252896,.,.,231913.000000,14083.000000,,16.4675850316
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.917093,0.944185,0.763913,0.930442,858,62,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,17389,.,.,10594.000000,5417.000000,,1.95569503415,1572,.,.,587.000000,673.000000,,0.872213967311,81504,.,.,56220.000000,23612.000000,,2.38099271557,18168,.,.,12511.000000,5355.000000,,2.33632119514,1074,.,.,1064.000000,3.000000,,354.666666667,62262,.,.,42645.000000,18254.000000,,2.33620028487
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.917093,0.944185,0.763913,0.930442,858,62,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,17389,.,.,10594.000000,5417.000000,,1.95569503415,1572,.,.,587.000000,673.000000,,0.872213967311,81504,.,.,56220.000000,23612.000000,,2.38099271557,18168,.,.,12511.000000,5355.000000,,2.33632119514,1074,.,.,1064.000000,3.000000,,354.666666667,62262,.,.,42645.000000,18254.000000,,2.33620028487
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.787681,0.737232,0.485038,0.761622,62145,5626,252347426.000000,122953793.000000,0.000000,339126,.,.,186107.000000,118354.000000,,1.57246058435,267123,.,.,178206.000000,66552.000000,,2.67769563649,72003,.,.,7901.000000,51802.000000,,0.152523068607,740979,.,.,619446.000000,103282.000000,,5.99761817161,281310,.,.,209424.000000,66160.000000,,3.1654171705,100266,.,.,97664.000000,25.000000,,3906.56,359403,.,.,312358.000000,37097.000000,,8.42003396501
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.787681,0.737232,0.485038,0.761622,62145,5626,252347426.000000,122953793.000000,0.000000,339126,.,.,186107.000000,118354.000000,,1.57246058435,267123,.,.,178206.000000,66552.000000,,2.67769563649,72003,.,.,7901.000000,51802.000000,,0.152523068607,740979,.,.,619446.000000,103282.000000,,5.99761817161,281310,.,.,209424.000000,66160.000000,,3.1654171705,100266,.,.,97664.000000,25.000000,,3906.56,359403,.,.,312358.000000,37097.000000,,8.42003396501
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.950893,0.972477,0.585551,0.961564,3,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,213,.,.,116.000000,97.000000,,1.19587628866,11,.,.,8.000000,3.000000,,2.66666666667,526,.,.,384.000000,140.000000,,2.74285714286,212,.,.,116.000000,96.000000,,1.20833333333,6,.,.,6.000000,0.000000,,,308,.,.,262.000000,44.000000,,5.95454545455
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.950893,0.972477,0.585551,0.961564,3,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,213,.,.,116.000000,97.000000,,1.19587628866,11,.,.,8.000000,3.000000,,2.66666666667,526,.,.,384.000000,140.000000,,2.74285714286,212,.,.,116.000000,96.000000,,1.20833333333,6,.,.,6.000000,0.000000,,,308,.,.,262.000000,44.000000,,5.95454545455
