Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.35898,0.649714,0.425779,0.462448,9367,14591,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,188633,.,.,108615.000000,67399.000000,,1.61152242615,336836,.,.,187979.000000,126672.000000,,1.48398225338,533634,.,.,394668.000000,108627.000000,,3.63324035461,199088,.,.,127330.000000,67704.000000,,1.88068651778,107336,.,.,100274.000000,2614.000000,,38.3603672533,227210,.,.,167064.000000,38309.000000,,4.36095956564
INDEL,*,*,PASS,*,QUAL,*,0.35898,0.649714,0.425779,0.462448,9367,14591,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,188633,.,.,108615.000000,67399.000000,,1.61152242615,336836,.,.,187979.000000,126672.000000,,1.48398225338,533634,.,.,394668.000000,108627.000000,,3.63324035461,199088,.,.,127330.000000,67704.000000,,1.88068651778,107336,.,.,100274.000000,2614.000000,,38.3603672533,227210,.,.,167064.000000,38309.000000,,4.36095956564
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.344935,0.492048,0.468504,0.405563,6583,10365,83977437.000000,62848827.000000,0.000000,229965,.,.,127616.000000,85987.000000,,1.48413132218,79323,.,.,46550.000000,26861.000000,,1.73299579316,150642,.,.,81066.000000,59126.000000,,1.37107194804,319656,.,.,252794.000000,43377.000000,,5.82783502778,83597,.,.,54872.000000,26880.000000,,2.04136904762,86299,.,.,82105.000000,510.000000,,160.990196078,149760,.,.,115817.000000,15987.000000,,7.2444486145
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.344935,0.492048,0.468504,0.405563,6583,10365,83977437.000000,62848827.000000,0.000000,229965,.,.,127616.000000,85987.000000,,1.48413132218,79323,.,.,46550.000000,26861.000000,,1.73299579316,150642,.,.,81066.000000,59126.000000,,1.37107194804,319656,.,.,252794.000000,43377.000000,,5.82783502778,83597,.,.,54872.000000,26880.000000,,2.04136904762,86299,.,.,82105.000000,510.000000,,160.990196078,149760,.,.,115817.000000,15987.000000,,7.2444486145
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.359791,0.898808,0.832278,0.513878,353,180,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,6822,.,.,3924.000000,2271.000000,,1.72787318362,12139,.,.,7257.000000,3819.000000,,1.90023566379,48020,.,.,31394.000000,15147.000000,,2.07262164125,7239,.,.,4787.000000,2272.000000,,2.10695422535,815,.,.,482.000000,272.000000,,1.77205882353,39966,.,.,26125.000000,12603.000000,,2.07291914624
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.359791,0.898808,0.832278,0.513878,353,180,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,6822,.,.,3924.000000,2271.000000,,1.72787318362,12139,.,.,7257.000000,3819.000000,,1.90023566379,48020,.,.,31394.000000,15147.000000,,2.07262164125,7239,.,.,4787.000000,2272.000000,,2.10695422535,815,.,.,482.000000,272.000000,,1.77205882353,39966,.,.,26125.000000,12603.000000,,2.07291914624
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.347172,0.580916,0.49075,0.434609,8970,11493,252347426.000000,122953793.000000,0.000000,339123,.,.,186104.000000,118354.000000,,1.57243523666,117734,.,.,66465.000000,38697.000000,,1.71757500581,221389,.,.,119639.000000,79657.000000,,1.50192701206,427156,.,.,323523.000000,73449.000000,,4.40472981252,126366,.,.,83642.000000,38715.000000,,2.16045460416,91163,.,.,84747.000000,1975.000000,,42.9098734177,209627,.,.,155134.000000,32759.000000,,4.73561464025
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.347172,0.580916,0.49075,0.434609,8970,11493,252347426.000000,122953793.000000,0.000000,339123,.,.,186104.000000,118354.000000,,1.57243523666,117734,.,.,66465.000000,38697.000000,,1.71757500581,221389,.,.,119639.000000,79657.000000,,1.50192701206,427156,.,.,323523.000000,73449.000000,,4.40472981252,126366,.,.,83642.000000,38715.000000,,2.16045460416,91163,.,.,84747.000000,1975.000000,,42.9098734177,209627,.,.,155134.000000,32759.000000,,4.73561464025
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.370536,0.903226,0.630952,0.525495,0,1,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,83,.,.,45.000000,38.000000,,1.18421052632,141,.,.,79.000000,62.000000,,1.27419354839,252,.,.,179.000000,63.000000,,2.84126984127,84,.,.,47.000000,37.000000,,1.27027027027,9,.,.,9.000000,0.000000,,,159,.,.,123.000000,26.000000,,4.73076923077
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.370536,0.903226,0.630952,0.525495,0,1,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,83,.,.,45.000000,38.000000,,1.18421052632,141,.,.,79.000000,62.000000,,1.27419354839,252,.,.,179.000000,63.000000,,2.84126984127,84,.,.,47.000000,37.000000,,1.27027027027,9,.,.,9.000000,0.000000,,,159,.,.,123.000000,26.000000,,4.73076923077
INDEL,*,MHC,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,4970557.000000,4634060.000000,0.000000,1677,.,.,1058.000000,549.000000,,1.92714025501,0,.,.,0.000000,0.000000,,,1677,.,.,1058.000000,549.000000,,1.92714025501,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,MHC,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,4970557.000000,4634060.000000,0.000000,1677,.,.,1058.000000,549.000000,,1.92714025501,0,.,.,0.000000,0.000000,,,1677,.,.,1058.000000,549.000000,,1.92714025501,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.003788,0.932495,0.730034,0.007546,56,45,3036641434.000000,2546949881.000000,0.000000,328366,.,.,184415.000000,121923.000000,,1.51255300477,1244,.,.,609.000000,470.000000,,1.29574468085,327122,.,.,183806.000000,121453.000000,,1.51339201172,5597,.,.,3885.000000,1708.000000,,2.27459016393,1409,.,.,939.000000,470.000000,,1.99787234043,102,.,.,63.000000,39.000000,,1.61538461538,4086,.,.,2883.000000,1199.000000,,2.40450375313
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.003788,0.932495,0.730034,0.007546,56,45,3036641434.000000,2546949881.000000,0.000000,328366,.,.,184415.000000,121923.000000,,1.51255300477,1244,.,.,609.000000,470.000000,,1.29574468085,327122,.,.,183806.000000,121453.000000,,1.51339201172,5597,.,.,3885.000000,1708.000000,,2.27459016393,1409,.,.,939.000000,470.000000,,1.99787234043,102,.,.,63.000000,39.000000,,1.61538461538,4086,.,.,2883.000000,1199.000000,,2.40450375313
INDEL,*,TS_contained,ALL,*,QUAL,*,0.950716,0.648313,0.0,0.77092,9311,14546,2546949881.000000,2546949881.000000,0.000000,197103,.,.,112179.000000,72148.000000,,1.55484559517,187389,.,.,108006.000000,66929.000000,,1.61373993336,9714,.,.,4173.000000,5219.000000,,0.799578463307,304913,.,.,226602.000000,69809.000000,,3.24602844905,197679,.,.,126391.000000,67234.000000,,1.87986732903,107234,.,.,100211.000000,2575.000000,,38.9168932039,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.950716,0.648313,0.0,0.77092,9311,14546,2546949881.000000,2546949881.000000,0.000000,197103,.,.,112179.000000,72148.000000,,1.55484559517,187389,.,.,108006.000000,66929.000000,,1.61373993336,9714,.,.,4173.000000,5219.000000,,0.799578463307,304913,.,.,226602.000000,69809.000000,,3.24602844905,197679,.,.,126391.000000,67234.000000,,1.87986732903,107234,.,.,100211.000000,2575.000000,,38.9168932039,0,.,.,0.000000,0.000000,,
