Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.912014,0.980595,0.413606,0.945062,4835,4666,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,479235,.,.,260879.000000,191326.000000,,1.36353135486,46234,.,.,35715.000000,2745.000000,,13.0109289617,867898,.,.,529500.000000,314334.000000,,1.68451392468,499054,.,.,298781.000000,191692.000000,,1.55865137825,9876,.,.,5697.000000,3725.000000,,1.52939597315,358968,.,.,225022.000000,118917.000000,,1.89226098876
INDEL,*,*,PASS,*,QUAL,*,0.912014,0.980595,0.413606,0.945062,4835,4666,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,479235,.,.,260879.000000,191326.000000,,1.36353135486,46234,.,.,35715.000000,2745.000000,,13.0109289617,867898,.,.,529500.000000,314334.000000,,1.68451392468,499054,.,.,298781.000000,191692.000000,,1.55865137825,9876,.,.,5697.000000,3725.000000,,1.52939597315,358968,.,.,225022.000000,118917.000000,,1.89226098876
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.812047,0.968752,0.489504,0.883505,3895,2184,83977437.000000,62848827.000000,0.000000,229967,.,.,127618.000000,85987.000000,,1.48415458151,186744,.,.,94006.000000,83459.000000,,1.12637342887,43223,.,.,33612.000000,2528.000000,,13.2958860759,389915,.,.,220938.000000,157111.000000,,1.40625417698,192830,.,.,106392.000000,83514.000000,,1.27394209354,6220,.,.,3025.000000,2802.000000,,1.07958600999,190865,.,.,111521.000000,70795.000000,,1.57526661487
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.812047,0.968752,0.489504,0.883505,3895,2184,83977437.000000,62848827.000000,0.000000,229967,.,.,127618.000000,85987.000000,,1.48415458151,186744,.,.,94006.000000,83459.000000,,1.12637342887,43223,.,.,33612.000000,2528.000000,,13.2958860759,389915,.,.,220938.000000,157111.000000,,1.40625417698,192830,.,.,106392.000000,83514.000000,,1.27394209354,6220,.,.,3025.000000,2802.000000,,1.07958600999,190865,.,.,111521.000000,70795.000000,,1.57526661487
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.986182,0.990913,0.808154,0.988542,65,90,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18699,.,.,10996.000000,6066.000000,,1.81272667326,262,.,.,185.000000,24.000000,,7.70833333333,103823,.,.,70889.000000,30486.000000,,2.32529685757,19737,.,.,13223.000000,6059.000000,,2.18237332893,181,.,.,136.000000,43.000000,,3.16279069767,83905,.,.,57530.000000,24384.000000,,2.3593339895
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.986182,0.990913,0.808154,0.988542,65,90,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18699,.,.,10996.000000,6066.000000,,1.81272667326,262,.,.,185.000000,24.000000,,7.70833333333,103823,.,.,70889.000000,30486.000000,,2.32529685757,19737,.,.,13223.000000,6059.000000,,2.18237332893,181,.,.,136.000000,43.000000,,3.16279069767,83905,.,.,57530.000000,24384.000000,,2.3593339895
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.867555,0.976881,0.504065,0.918978,4609,2575,252347426.000000,122953793.000000,0.000000,339123,.,.,186104.000000,118354.000000,,1.57243523666,294208,.,.,151553.000000,115706.000000,,1.30981107289,44915,.,.,34551.000000,2648.000000,,13.0479607251,643492,.,.,395427.000000,224228.000000,,1.76350411189,311752,.,.,187522.000000,115717.000000,,1.62052248157,7378,.,.,3618.000000,3311.000000,,1.09272123226,324362,.,.,204287.000000,105200.000000,,1.94189163498
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.867555,0.976881,0.504065,0.918978,4609,2575,252347426.000000,122953793.000000,0.000000,339123,.,.,186104.000000,118354.000000,,1.57243523666,294208,.,.,151553.000000,115706.000000,,1.30981107289,44915,.,.,34551.000000,2648.000000,,13.0479607251,643492,.,.,395427.000000,224228.000000,,1.76350411189,311752,.,.,187522.000000,115717.000000,,1.62052248157,7378,.,.,3618.000000,3311.000000,,1.09272123226,324362,.,.,204287.000000,105200.000000,,1.94189163498
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.986607,1.0,0.543388,0.993258,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,221,.,.,121.000000,100.000000,,1.21,3,.,.,3.000000,0.000000,,,484,.,.,279.000000,192.000000,,1.453125,221,.,.,123.000000,98.000000,,1.25510204082,0,.,.,0.000000,0.000000,,,263,.,.,156.000000,94.000000,,1.65957446809
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.986607,1.0,0.543388,0.993258,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,221,.,.,121.000000,100.000000,,1.21,3,.,.,3.000000,0.000000,,,484,.,.,279.000000,192.000000,,1.453125,221,.,.,123.000000,98.000000,,1.25510204082,0,.,.,0.000000,0.000000,,,263,.,.,156.000000,94.000000,,1.65957446809
