Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.98523,0.981378,0.447578,0.983301,4068,4121,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,517708,.,.,292598.000000,191962.000000,,1.52424959106,7761,.,.,3996.000000,2109.000000,,1.89473684211,1000588,.,.,649578.000000,308415.000000,,2.10618160595,542454,.,.,339436.000000,192449.000000,,1.76377118094,10293,.,.,7536.000000,1394.000000,,5.40602582496,447841,.,.,302606.000000,114572.000000,,2.64118632825
INDEL,*,*,PASS,*,QUAL,*,0.98523,0.981378,0.447578,0.983301,4068,4121,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,517708,.,.,292598.000000,191962.000000,,1.52424959106,7761,.,.,3996.000000,2109.000000,,1.89473684211,1000588,.,.,649578.000000,308415.000000,,2.10618160595,542454,.,.,339436.000000,192449.000000,,1.76377118094,10293,.,.,7536.000000,1394.000000,,5.40602582496,447841,.,.,302606.000000,114572.000000,,2.64118632825
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.971465,0.969423,0.525949,0.970443,3396,2159,83977437.000000,62848827.000000,0.000000,229967,.,.,127618.000000,85987.000000,,1.48415458151,223405,.,.,124222.000000,84216.000000,,1.47504037238,6562,.,.,3396.000000,1771.000000,,1.91756070017,508040,.,.,324453.000000,155057.000000,,2.09247567024,233473,.,.,144558.000000,84227.000000,,1.71629050067,7364,.,.,5055.000000,1083.000000,,4.6675900277,267203,.,.,174840.000000,69747.000000,,2.50677448492
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.971465,0.969423,0.525949,0.970443,3396,2159,83977437.000000,62848827.000000,0.000000,229967,.,.,127618.000000,85987.000000,,1.48415458151,223405,.,.,124222.000000,84216.000000,,1.47504037238,6562,.,.,3396.000000,1771.000000,,1.91756070017,508040,.,.,324453.000000,155057.000000,,2.09247567024,233473,.,.,144558.000000,84227.000000,,1.71629050067,7364,.,.,5055.000000,1083.000000,,4.6675900277,267203,.,.,174840.000000,69747.000000,,2.50677448492
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.992511,0.991421,0.819009,0.991965,61,88,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18819,.,.,11110.000000,6049.000000,,1.83666721772,142,.,.,71.000000,41.000000,,1.73170731707,110768,.,.,79030.000000,28631.000000,,2.76029478537,19876,.,.,13367.000000,6041.000000,,2.21271312697,172,.,.,152.000000,8.000000,,19.0,90720,.,.,65511.000000,22582.000000,,2.90102736693
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.992511,0.991421,0.819009,0.991965,61,88,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18819,.,.,11110.000000,6049.000000,,1.83666721772,142,.,.,71.000000,41.000000,,1.73170731707,110768,.,.,79030.000000,28631.000000,,2.76029478537,19876,.,.,13367.000000,6041.000000,,2.21271312697,172,.,.,152.000000,8.000000,,19.0,90720,.,.,65511.000000,22582.000000,,2.90102736693
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.978344,0.976931,0.531464,0.977637,3883,2589,252347426.000000,122953793.000000,0.000000,339123,.,.,186104.000000,118354.000000,,1.57243523666,331779,.,.,182410.000000,116350.000000,,1.56776966051,7344,.,.,3694.000000,2004.000000,,1.84331337325,772428,.,.,511823.000000,218350.000000,,2.34404854591,353561,.,.,226811.000000,116297.000000,,1.95027386777,8349,.,.,5794.000000,1195.000000,,4.84853556485,410518,.,.,279218.000000,100858.000000,,2.76842689722
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.978344,0.976931,0.531464,0.977637,3883,2589,252347426.000000,122953793.000000,0.000000,339123,.,.,186104.000000,118354.000000,,1.57243523666,331779,.,.,182410.000000,116350.000000,,1.56776966051,7344,.,.,3694.000000,2004.000000,,1.84331337325,772428,.,.,511823.000000,218350.000000,,2.34404854591,353561,.,.,226811.000000,116297.000000,,1.95027386777,8349,.,.,5794.000000,1195.000000,,4.84853556485,410518,.,.,279218.000000,100858.000000,,2.76842689722
INDEL,*,L1H_gt500,ALL,*,QUAL,*,1.0,1.0,0.605634,1.0,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,224,.,.,124.000000,100.000000,,1.24,0,.,.,0.000000,0.000000,,,568,.,.,357.000000,190.000000,,1.87894736842,224,.,.,126.000000,98.000000,,1.28571428571,0,.,.,0.000000,0.000000,,,344,.,.,231.000000,92.000000,,2.51086956522
INDEL,*,L1H_gt500,PASS,*,QUAL,*,1.0,1.0,0.605634,1.0,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,224,.,.,124.000000,100.000000,,1.24,0,.,.,0.000000,0.000000,,,568,.,.,357.000000,190.000000,,1.87894736842,224,.,.,126.000000,98.000000,,1.28571428571,0,.,.,0.000000,0.000000,,,344,.,.,231.000000,92.000000,,2.51086956522
