Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.94232,0.968169,0.382065,0.95507,10986,4028,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,495160,.,.,281740.000000,184433.000000,,1.52760080897,30309,.,.,14854.000000,9638.000000,,1.54119111849,857615,.,.,541124.000000,281165.000000,,1.92457809471,513081,.,.,319238.000000,184349.000000,,1.73170453867,16869,.,.,10812.000000,3347.000000,,3.23035554228,327665,.,.,211074.000000,93469.000000,,2.25822465202
INDEL,*,*,PASS,*,QUAL,*,0.94232,0.968169,0.382065,0.95507,10986,4028,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,495160,.,.,281740.000000,184433.000000,,1.52760080897,30309,.,.,14854.000000,9638.000000,,1.54119111849,857615,.,.,541124.000000,281165.000000,,1.92457809471,513081,.,.,319238.000000,184349.000000,,1.73170453867,16869,.,.,10812.000000,3347.000000,,3.23035554228,327665,.,.,211074.000000,93469.000000,,2.25822465202
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.887675,0.93325,0.451711,0.909892,10034,3317,83977437.000000,62848827.000000,0.000000,229966,.,.,127617.000000,85987.000000,,1.48414295184,204135,.,.,115555.000000,77472.000000,,1.49157114829,25831,.,.,12062.000000,8515.000000,,1.41655901351,411768,.,.,260038.000000,129871.000000,,2.00227918473,210698,.,.,129558.000000,77428.000000,,1.67327065144,15070,.,.,9402.000000,3010.000000,,3.12358803987,186000,.,.,121078.000000,49433.000000,,2.44933546416
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.887675,0.93325,0.451711,0.909892,10034,3317,83977437.000000,62848827.000000,0.000000,229966,.,.,127617.000000,85987.000000,,1.48414295184,204135,.,.,115555.000000,77472.000000,,1.49157114829,25831,.,.,12062.000000,8515.000000,,1.41655901351,411768,.,.,260038.000000,129871.000000,,2.00227918473,210698,.,.,129558.000000,77428.000000,,1.67327065144,15070,.,.,9402.000000,3010.000000,,3.12358803987,186000,.,.,121078.000000,49433.000000,,2.44933546416
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.970993,0.99036,0.785,0.980581,121,43,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18411,.,.,10819.000000,5967.000000,,1.81313893079,550,.,.,362.000000,123.000000,,2.94308943089,91186,.,.,56824.000000,31208.000000,,1.8208151756,19416,.,.,13000.000000,5959.000000,,2.18157408961,189,.,.,165.000000,15.000000,,11.0,71581,.,.,43659.000000,25234.000000,,1.73016564952
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.970993,0.99036,0.785,0.980581,121,43,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18411,.,.,10819.000000,5967.000000,,1.81313893079,550,.,.,362.000000,123.000000,,2.94308943089,91186,.,.,56824.000000,31208.000000,,1.8208151756,19416,.,.,13000.000000,5959.000000,,2.18157408961,189,.,.,165.000000,15.000000,,11.0,71581,.,.,43659.000000,25234.000000,,1.73016564952
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.91481,0.952992,0.465263,0.93351,10876,3553,252347426.000000,122953793.000000,0.000000,339123,.,.,186104.000000,118354.000000,,1.57243523666,310233,.,.,172189.000000,109193.000000,,1.57692342916,28890,.,.,13915.000000,9161.000000,,1.51893898046,643948,.,.,415275.000000,193952.000000,,2.14112254578,328156,.,.,209675.000000,109106.000000,,1.92175499056,16187,.,.,10293.000000,3188.000000,,3.22867001255,299605,.,.,195307.000000,81658.000000,,2.391768106
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.91481,0.952992,0.465263,0.93351,10876,3553,252347426.000000,122953793.000000,0.000000,339123,.,.,186104.000000,118354.000000,,1.57243523666,310233,.,.,172189.000000,109193.000000,,1.57692342916,28890,.,.,13915.000000,9161.000000,,1.51893898046,643948,.,.,415275.000000,193952.000000,,2.14112254578,328156,.,.,209675.000000,109106.000000,,1.92175499056,16187,.,.,10293.000000,3188.000000,,3.22867001255,299605,.,.,195307.000000,81658.000000,,2.391768106
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.991071,1.0,0.566148,0.995516,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,222,.,.,124.000000,98.000000,,1.26530612245,2,.,.,0.000000,2.000000,,0.0,514,.,.,287.000000,216.000000,,1.3287037037,223,.,.,126.000000,97.000000,,1.29896907216,0,.,.,0.000000,0.000000,,,291,.,.,161.000000,119.000000,,1.35294117647
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.991071,1.0,0.566148,0.995516,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,222,.,.,124.000000,98.000000,,1.26530612245,2,.,.,0.000000,2.000000,,0.0,514,.,.,287.000000,216.000000,,1.3287037037,223,.,.,126.000000,97.000000,,1.29896907216,0,.,.,0.000000,0.000000,,,291,.,.,161.000000,119.000000,,1.35294117647
