Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.993387,0.987383,0.452544,0.990376,2106,4342,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,521994,.,.,294732.000000,193210.000000,,1.52544899332,3475,.,.,1862.000000,861.000000,,2.16260162602,1016452,.,.,657658.000000,322959.000000,,2.03635136349,549442,.,.,345089.000000,193515.000000,,1.78326744697,7021,.,.,5982.000000,674.000000,,8.87537091988,459989,.,.,306587.000000,128770.000000,,2.38088840568
INDEL,*,*,PASS,*,QUAL,*,0.993387,0.987383,0.452544,0.990376,2106,4342,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,521994,.,.,294732.000000,193210.000000,,1.52544899332,3475,.,.,1862.000000,861.000000,,2.16260162602,1016452,.,.,657658.000000,322959.000000,,2.03635136349,549442,.,.,345089.000000,193515.000000,,1.78326744697,7021,.,.,5982.000000,674.000000,,8.87537091988,459989,.,.,306587.000000,128770.000000,,2.38088840568
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.989672,0.98581,0.532806,0.987737,1328,1664,83977437.000000,62848827.000000,0.000000,229967,.,.,127618.000000,85987.000000,,1.48415458151,227592,.,.,126375.000000,85402.000000,,1.47976628182,2375,.,.,1243.000000,585.000000,,2.12478632479,518731,.,.,340291.000000,156974.000000,,2.16781760037,238909,.,.,148592.000000,85378.000000,,1.74040150859,3439,.,.,2797.000000,363.000000,,7.70523415978,276383,.,.,188902.000000,71233.000000,,2.65188887173
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.989672,0.98581,0.532806,0.987737,1328,1664,83977437.000000,62848827.000000,0.000000,229967,.,.,127618.000000,85987.000000,,1.48415458151,227592,.,.,126375.000000,85402.000000,,1.47976628182,2375,.,.,1243.000000,585.000000,,2.12478632479,518731,.,.,340291.000000,156974.000000,,2.16781760037,238909,.,.,148592.000000,85378.000000,,1.74040150859,3439,.,.,2797.000000,363.000000,,7.70523415978,276383,.,.,188902.000000,71233.000000,,2.65188887173
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.992933,0.992521,0.825021,0.992727,48,82,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18827,.,.,11103.000000,6059.000000,,1.83248060736,134,.,.,78.000000,31.000000,,2.51612903226,114614,.,.,70730.000000,40373.000000,,1.75191340748,19905,.,.,13387.000000,6051.000000,,2.21236159313,150,.,.,133.000000,9.000000,,14.7777777778,94559,.,.,57210.000000,34313.000000,,1.66729810859
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.992933,0.992521,0.825021,0.992727,48,82,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18827,.,.,11103.000000,6059.000000,,1.83248060736,134,.,.,78.000000,31.000000,,2.51612903226,114614,.,.,70730.000000,40373.000000,,1.75191340748,19905,.,.,13387.000000,6051.000000,,2.21236159313,150,.,.,133.000000,9.000000,,14.7777777778,94559,.,.,57210.000000,34313.000000,,1.66729810859
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.991027,0.988561,0.538084,0.989792,1675,2000,252347426.000000,122953793.000000,0.000000,339123,.,.,186104.000000,118354.000000,,1.57243523666,336080,.,.,184546.000000,117621.000000,,1.56898853096,3043,.,.,1558.000000,733.000000,,2.12551159618,786740,.,.,519323.000000,232180.000000,,2.23672581618,359251,.,.,231002.000000,117536.000000,,1.96537231146,4157,.,.,3382.000000,439.000000,,7.70387243736,423332,.,.,284939.000000,114205.000000,,2.49497832844
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.991027,0.988561,0.538084,0.989792,1675,2000,252347426.000000,122953793.000000,0.000000,339123,.,.,186104.000000,118354.000000,,1.57243523666,336080,.,.,184546.000000,117621.000000,,1.56898853096,3043,.,.,1558.000000,733.000000,,2.12551159618,786740,.,.,519323.000000,232180.000000,,2.23672581618,359251,.,.,231002.000000,117536.000000,,1.96537231146,4157,.,.,3382.000000,439.000000,,7.70387243736,423332,.,.,284939.000000,114205.000000,,2.49497832844
INDEL,*,L1H_gt500,ALL,*,QUAL,*,1.0,1.0,0.614458,1.0,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,224,.,.,124.000000,100.000000,,1.24,0,.,.,0.000000,0.000000,,,581,.,.,370.000000,192.000000,,1.92708333333,224,.,.,126.000000,98.000000,,1.28571428571,0,.,.,0.000000,0.000000,,,357,.,.,244.000000,94.000000,,2.59574468085
INDEL,*,L1H_gt500,PASS,*,QUAL,*,1.0,1.0,0.614458,1.0,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,224,.,.,124.000000,100.000000,,1.24,0,.,.,0.000000,0.000000,,,581,.,.,370.000000,192.000000,,1.92708333333,224,.,.,126.000000,98.000000,,1.28571428571,0,.,.,0.000000,0.000000,,,357,.,.,244.000000,94.000000,,2.59574468085
