Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.886477,0.669167,0.409407,0.762644,55173,20600,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,465816,.,.,293190.000000,144813.000000,,2.02461105011,59653,.,.,3404.000000,49258.000000,,0.0691055260059,1253959,.,.,1023038.000000,201979.000000,,5.06507112126,495571,.,.,344023.000000,144651.000000,,2.37829672799,245008,.,.,237834.000000,166.000000,,1432.73493976,513380,.,.,441181.000000,57162.000000,,7.71808194255
INDEL,*,*,PASS,*,QUAL,*,0.886477,0.669167,0.409407,0.762644,55173,20600,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,465816,.,.,293190.000000,144813.000000,,2.02461105011,59653,.,.,3404.000000,49258.000000,,0.0691055260059,1253959,.,.,1023038.000000,201979.000000,,5.06507112126,495571,.,.,344023.000000,144651.000000,,2.37829672799,245008,.,.,237834.000000,166.000000,,1432.73493976,513380,.,.,441181.000000,57162.000000,,7.71808194255
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.782274,0.535021,0.482288,0.635443,46441,13844,83977437.000000,62848827.000000,0.000000,229968,.,.,127618.000000,85988.000000,,1.48413732149,179898,.,.,125069.000000,42902.000000,,2.91522539742,50070,.,.,2549.000000,43086.000000,,0.0591607482709,689658,.,.,611019.000000,58629.000000,,10.4217878524,191026,.,.,145221.000000,42804.000000,,3.39269694421,166018,.,.,159580.000000,21.000000,,7599.04761905,332614,.,.,306218.000000,15804.000000,,19.3759807644
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.782274,0.535021,0.482288,0.635443,46441,13844,83977437.000000,62848827.000000,0.000000,229968,.,.,127618.000000,85988.000000,,1.48413732149,179898,.,.,125069.000000,42902.000000,,2.91522539742,50070,.,.,2549.000000,43086.000000,,0.0591607482709,689658,.,.,611019.000000,58629.000000,,10.4217878524,191026,.,.,145221.000000,42804.000000,,3.39269694421,166018,.,.,159580.000000,21.000000,,7599.04761905,332614,.,.,306218.000000,15804.000000,,19.3759807644
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.953536,0.889178,0.802965,0.920233,742,269,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18080,.,.,11068.000000,5510.000000,,2.00871143376,881,.,.,113.000000,580.000000,,0.194827586207,109407,.,.,79470.000000,27726.000000,,2.8662627137,19168,.,.,13339.000000,5480.000000,,2.43412408759,2389,.,.,2350.000000,7.000000,,335.714285714,87850,.,.,63781.000000,22239.000000,,2.86797967535
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.953536,0.889178,0.802965,0.920233,742,269,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18080,.,.,11068.000000,5510.000000,,2.00871143376,881,.,.,113.000000,580.000000,,0.194827586207,109407,.,.,79470.000000,27726.000000,,2.8662627137,19168,.,.,13339.000000,5480.000000,,2.43412408759,2389,.,.,2350.000000,7.000000,,335.714285714,87850,.,.,63781.000000,22239.000000,,2.86797967535
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.827039,0.627434,0.494302,0.71354,54337,15829,252347426.000000,122953793.000000,0.000000,339123,.,.,186104.000000,118354.000000,,1.57243523666,280468,.,.,183043.000000,69749.000000,,2.62431002595,58655,.,.,3061.000000,48605.000000,,0.0629770599733,955926,.,.,814435.000000,113005.000000,,7.20707048361,303308,.,.,227005.000000,69540.000000,,3.26438021283,180102,.,.,173095.000000,49.000000,,3532.55102041,472516,.,.,414335.000000,43416.000000,,9.54337110743
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.827039,0.627434,0.494302,0.71354,54337,15829,252347426.000000,122953793.000000,0.000000,339123,.,.,186104.000000,118354.000000,,1.57243523666,280468,.,.,183043.000000,69749.000000,,2.62431002595,58655,.,.,3061.000000,48605.000000,,0.0629770599733,955926,.,.,814435.000000,113005.000000,,7.20707048361,303308,.,.,227005.000000,69540.000000,,3.26438021283,180102,.,.,173095.000000,49.000000,,3532.55102041,472516,.,.,414335.000000,43416.000000,,9.54337110743
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.986607,0.876984,0.634783,0.928571,2,4,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,221,.,.,123.000000,98.000000,,1.25510204082,3,.,.,1.000000,2.000000,,0.5,690,.,.,536.000000,148.000000,,3.62162162162,221,.,.,125.000000,96.000000,,1.30208333333,31,.,.,31.000000,0.000000,,,438,.,.,380.000000,52.000000,,7.30769230769
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.986607,0.876984,0.634783,0.928571,2,4,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,221,.,.,123.000000,98.000000,,1.25510204082,3,.,.,1.000000,2.000000,,0.5,690,.,.,536.000000,148.000000,,3.62162162162,221,.,.,125.000000,96.000000,,1.30208333333,31,.,.,31.000000,0.000000,,,438,.,.,380.000000,52.000000,,7.30769230769
