Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.359245,0.656681,0.416996,0.464422,9012,12307,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,188772,.,.,108750.000000,67403.000000,,1.6134296693,336697,.,.,187844.000000,126668.000000,,1.48296333723,512144,.,.,379009.000000,102957.000000,,3.68123585575,196073,.,.,124927.000000,67119.000000,,1.86127624071,102509,.,.,95990.000000,2142.000000,,44.8132586368,213562,.,.,158092.000000,33696.000000,,4.69171415005
INDEL,*,*,PASS,*,QUAL,*,0.359245,0.656681,0.416996,0.464422,9012,12307,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,188772,.,.,108750.000000,67403.000000,,1.6134296693,336697,.,.,187844.000000,126668.000000,,1.48296333723,512144,.,.,379009.000000,102957.000000,,3.68123585575,196073,.,.,124927.000000,67119.000000,,1.86127624071,102509,.,.,95990.000000,2142.000000,,44.8132586368,213562,.,.,158092.000000,33696.000000,,4.69171415005
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.345122,0.497172,0.467787,0.407423,6465,9753,83977437.000000,62848827.000000,0.000000,229968,.,.,127619.000000,85987.000000,,1.48416621117,79367,.,.,46604.000000,26854.000000,,1.73545840471,150601,.,.,81015.000000,59133.000000,,1.37004718178,313301,.,.,247670.000000,42395.000000,,5.84196249558,82900,.,.,54322.000000,26749.000000,,2.0308048899,83843,.,.,79774.000000,437.000000,,182.549199085,146558,.,.,113574.000000,15209.000000,,7.4675521073
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.345122,0.497172,0.467787,0.407423,6465,9753,83977437.000000,62848827.000000,0.000000,229968,.,.,127619.000000,85987.000000,,1.48416621117,79367,.,.,46604.000000,26854.000000,,1.73545840471,150601,.,.,81015.000000,59133.000000,,1.37004718178,313301,.,.,247670.000000,42395.000000,,5.84196249558,82900,.,.,54322.000000,26749.000000,,2.0308048899,83843,.,.,79774.000000,437.000000,,182.549199085,146558,.,.,113574.000000,15209.000000,,7.4675521073
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.360793,0.9064,0.806926,0.516138,329,130,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,6841,.,.,3946.000000,2269.000000,,1.73909211106,12120,.,.,7235.000000,3821.000000,,1.89348338131,40948,.,.,26743.000000,12618.000000,,2.11943255667,7166,.,.,4742.000000,2247.000000,,2.1103693814,740,.,.,432.000000,251.000000,,1.72111553785,33042,.,.,21569.000000,10120.000000,,2.13132411067
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.360793,0.9064,0.806926,0.516138,329,130,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,6841,.,.,3946.000000,2269.000000,,1.73909211106,12120,.,.,7235.000000,3821.000000,,1.89348338131,40948,.,.,26743.000000,12618.000000,,2.11943255667,7166,.,.,4742.000000,2247.000000,,2.1103693814,740,.,.,432.000000,251.000000,,1.72111553785,33042,.,.,21569.000000,10120.000000,,2.13132411067
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.347403,0.586173,0.481213,0.436254,8760,10708,252347426.000000,122953793.000000,0.000000,339125,.,.,186106.000000,118354.000000,,1.57245213512,117813,.,.,66561.000000,38680.000000,,1.72081178904,221312,.,.,119545.000000,79674.000000,,1.50042673896,411872,.,.,312529.000000,69310.000000,,4.50914730919,125250,.,.,82802.000000,38463.000000,,2.15277019473,88424,.,.,82218.000000,1833.000000,,44.8543371522,198198,.,.,147509.000000,29014.000000,,5.0840628662
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.347403,0.586173,0.481213,0.436254,8760,10708,252347426.000000,122953793.000000,0.000000,339125,.,.,186106.000000,118354.000000,,1.57245213512,117813,.,.,66561.000000,38680.000000,,1.72081178904,221312,.,.,119545.000000,79674.000000,,1.50042673896,411872,.,.,312529.000000,69310.000000,,4.50914730919,125250,.,.,82802.000000,38463.000000,,2.15277019473,88424,.,.,82218.000000,1833.000000,,44.8543371522,198198,.,.,147509.000000,29014.000000,,5.0840628662
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.370536,0.892473,0.618852,0.523659,0,2,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,83,.,.,45.000000,38.000000,,1.18421052632,141,.,.,79.000000,62.000000,,1.27419354839,244,.,.,176.000000,58.000000,,3.03448275862,83,.,.,45.000000,38.000000,,1.18421052632,10,.,.,10.000000,0.000000,,,151,.,.,121.000000,20.000000,,6.05
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.370536,0.892473,0.618852,0.523659,0,2,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,83,.,.,45.000000,38.000000,,1.18421052632,141,.,.,79.000000,62.000000,,1.27419354839,244,.,.,176.000000,58.000000,,3.03448275862,83,.,.,45.000000,38.000000,,1.18421052632,10,.,.,10.000000,0.000000,,,151,.,.,121.000000,20.000000,,6.05
INDEL,*,MHC,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,4970557.000000,4634060.000000,0.000000,1677,.,.,1058.000000,549.000000,,1.92714025501,0,.,.,0.000000,0.000000,,,1677,.,.,1058.000000,549.000000,,1.92714025501,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,MHC,PASS,*,QUAL,*,0.0,0.0,0.0,,0,0,4970557.000000,4634060.000000,0.000000,1677,.,.,1058.000000,549.000000,,1.92714025501,0,.,.,0.000000,0.000000,,,1677,.,.,1058.000000,549.000000,,1.92714025501,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.003882,0.947154,0.738437,0.007733,52,24,3036641434.000000,2546949881.000000,0.000000,328398,.,.,184436.000000,121933.000000,,1.51260118262,1275,.,.,629.000000,479.000000,,1.31315240084,327123,.,.,183807.000000,121454.000000,,1.51338778468,5643,.,.,3921.000000,1718.000000,,2.28230500582,1398,.,.,931.000000,467.000000,,1.99357601713,78,.,.,44.000000,34.000000,,1.29411764706,4167,.,.,2946.000000,1217.000000,,2.42070665571
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.003882,0.947154,0.738437,0.007733,52,24,3036641434.000000,2546949881.000000,0.000000,328398,.,.,184436.000000,121933.000000,,1.51260118262,1275,.,.,629.000000,479.000000,,1.31315240084,327123,.,.,183807.000000,121454.000000,,1.51338778468,5643,.,.,3921.000000,1718.000000,,2.28230500582,1398,.,.,931.000000,467.000000,,1.99357601713,78,.,.,44.000000,34.000000,,1.29411764706,4167,.,.,2946.000000,1217.000000,,2.42070665571
INDEL,*,TS_contained,ALL,*,QUAL,*,0.951419,0.655238,0.0,0.776028,8960,12283,2546949881.000000,2546949881.000000,0.000000,197071,.,.,112158.000000,72138.000000,,1.55477002412,187497,.,.,108121.000000,66924.000000,,1.61557886558,9574,.,.,4037.000000,5214.000000,,0.774261603376,297106,.,.,219942.000000,68760.000000,,3.19869109948,194675,.,.,123996.000000,66652.000000,,1.86034927684,102431,.,.,95946.000000,2108.000000,,45.5151802657,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.951419,0.655238,0.0,0.776028,8960,12283,2546949881.000000,2546949881.000000,0.000000,197071,.,.,112158.000000,72138.000000,,1.55477002412,187497,.,.,108121.000000,66924.000000,,1.61557886558,9574,.,.,4037.000000,5214.000000,,0.774261603376,297106,.,.,219942.000000,68760.000000,,3.19869109948,194675,.,.,123996.000000,66652.000000,,1.86034927684,102431,.,.,95946.000000,2108.000000,,45.5151802657,0,.,.,0.000000,0.000000,,
INDEL,*,alldifficultregions,ALL,*,QUAL,*,0.349229,0.599217,0.474706,0.441277,8807,11051,642823514.000000,416632300.000000,0.000000,370565,.,.,204150.000000,131720.000000,,1.54987853022,129412,.,.,73203.000000,43634.000000,,1.67765962323,241153,.,.,130947.000000,88086.000000,,1.48658129555,434524,.,.,328336.000000,76110.000000,,4.31396662725,136773,.,.,89401.000000,43384.000000,,2.06069057717,91480,.,.,85209.000000,1898.000000,,44.8940990516,206271,.,.,153726.000000,30828.000000,,4.98657065006
INDEL,*,alldifficultregions,PASS,*,QUAL,*,0.349229,0.599217,0.474706,0.441277,8807,11051,642823514.000000,416632300.000000,0.000000,370565,.,.,204150.000000,131720.000000,,1.54987853022,129412,.,.,73203.000000,43634.000000,,1.67765962323,241153,.,.,130947.000000,88086.000000,,1.48658129555,434524,.,.,328336.000000,76110.000000,,4.31396662725,136773,.,.,89401.000000,43384.000000,,2.06069057717,91480,.,.,85209.000000,1898.000000,,44.8940990516,206271,.,.,153726.000000,30828.000000,,4.98657065006
INDEL,*,alllowmapandsegdupregions,ALL,*,QUAL,*,0.350054,0.757995,0.819573,0.478931,60,240,305614803.000000,145229641.000000,0.000000,17523,.,.,10060.000000,7050.000000,,1.42695035461,6134,.,.,3497.000000,2511.000000,,1.39267224213,11389,.,.,6563.000000,4539.000000,,1.44591319674,44888,.,.,33100.000000,10021.000000,,3.30306356651,6139,.,.,3633.000000,2480.000000,,1.46491935484,1960,.,.,1897.000000,54.000000,,35.1296296296,36789,.,.,27570.000000,7487.000000,,3.68238279685
INDEL,*,alllowmapandsegdupregions,PASS,*,QUAL,*,0.350054,0.757995,0.819573,0.478931,60,240,305614803.000000,145229641.000000,0.000000,17523,.,.,10060.000000,7050.000000,,1.42695035461,6134,.,.,3497.000000,2511.000000,,1.39267224213,11389,.,.,6563.000000,4539.000000,,1.44591319674,44888,.,.,33100.000000,10021.000000,,3.30306356651,6139,.,.,3633.000000,2480.000000,,1.46491935484,1960,.,.,1897.000000,54.000000,,35.1296296296,36789,.,.,27570.000000,7487.000000,,3.68238279685
INDEL,*,collapsed_duplication_FP_regions,ALL,*,QUAL,*,0.247191,0.758621,0.988288,0.372881,0,0,8015146.000000,676291.000000,0.000000,89,.,.,44.000000,43.000000,,1.02325581395,22,.,.,12.000000,10.000000,,1.2,67,.,.,32.000000,33.000000,,0.969696969697,2476,.,.,2121.000000,289.000000,,7.33910034602,22,.,.,12.000000,10.000000,,1.2,7,.,.,7.000000,0.000000,,,2447,.,.,2102.000000,279.000000,,7.53405017921
