Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.90859,0.986143,0.401151,0.945779,4692,1895,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,477436,.,.,259294.000000,191288.000000,,1.35551628957,48033,.,.,37300.000000,2783.000000,,13.4028027309,833300,.,.,504558.000000,304658.000000,,1.65614557963,492106,.,.,293083.000000,190501.000000,,1.53848536228,6915,.,.,3088.000000,3387.000000,,0.911721287275,334279,.,.,208387.000000,110770.000000,,1.88125846348
INDEL,*,*,PASS,*,QUAL,*,0.90859,0.986143,0.401151,0.945779,4692,1895,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,477436,.,.,259294.000000,191288.000000,,1.35551628957,48033,.,.,37300.000000,2783.000000,,13.4028027309,833300,.,.,504558.000000,304658.000000,,1.65614557963,492106,.,.,293083.000000,190501.000000,,1.53848536228,6915,.,.,3088.000000,3387.000000,,0.911721287275,334279,.,.,208387.000000,110770.000000,,1.88125846348
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.803966,0.971057,0.483078,0.879647,3861,1661,83977437.000000,62848827.000000,0.000000,229970,.,.,127621.000000,85987.000000,,1.4841894705,184888,.,.,92425.000000,83352.000000,,1.10885161724,45082,.,.,35196.000000,2635.000000,,13.3571157495,377709,.,.,211405.000000,154651.000000,,1.36698113818,189595,.,.,103623.000000,83091.000000,,1.24710257429,5651,.,.,2486.000000,2778.000000,,0.894888408927,182463,.,.,105296.000000,68782.000000,,1.53086563345
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.803966,0.971057,0.483078,0.879647,3861,1661,83977437.000000,62848827.000000,0.000000,229970,.,.,127621.000000,85987.000000,,1.4841894705,184888,.,.,92425.000000,83352.000000,,1.10885161724,45082,.,.,35196.000000,2635.000000,,13.3571157495,377709,.,.,211405.000000,154651.000000,,1.36698113818,189595,.,.,103623.000000,83091.000000,,1.24710257429,5651,.,.,2486.000000,2778.000000,,0.894888408927,182463,.,.,105296.000000,68782.000000,,1.53086563345
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.986973,0.993492,0.793132,0.990222,65,43,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18714,.,.,11005.000000,6070.000000,,1.81301482702,247,.,.,176.000000,20.000000,,8.8,95080,.,.,65573.000000,26858.000000,,2.44146995309,19541,.,.,13090.000000,5997.000000,,2.18275804569,128,.,.,84.000000,43.000000,,1.95348837209,75411,.,.,52399.000000,20818.000000,,2.51700451532
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.986973,0.993492,0.793132,0.990222,65,43,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18714,.,.,11005.000000,6070.000000,,1.81301482702,247,.,.,176.000000,20.000000,,8.8,95080,.,.,65573.000000,26858.000000,,2.44146995309,19541,.,.,13090.000000,5997.000000,,2.18275804569,128,.,.,84.000000,43.000000,,1.95348837209,75411,.,.,52399.000000,20818.000000,,2.51700451532
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.862101,0.978921,0.492002,0.916805,4590,1858,252347426.000000,122953793.000000,0.000000,339126,.,.,186107.000000,118354.000000,,1.57246058435,292361,.,.,149975.000000,115613.000000,,1.29721571104,46765,.,.,36132.000000,2741.000000,,13.1820503466,618138,.,.,377219.000000,217054.000000,,1.73790393174,307394,.,.,183908.000000,115031.000000,,1.59876902748,6619,.,.,2889.000000,3291.000000,,0.877848678213,304125,.,.,190422.000000,98732.000000,,1.92867560669
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.862101,0.978921,0.492002,0.916805,4590,1858,252347426.000000,122953793.000000,0.000000,339126,.,.,186107.000000,118354.000000,,1.57246058435,292361,.,.,149975.000000,115613.000000,,1.29721571104,46765,.,.,36132.000000,2741.000000,,13.1820503466,618138,.,.,377219.000000,217054.000000,,1.73790393174,307394,.,.,183908.000000,115031.000000,,1.59876902748,6619,.,.,2889.000000,3291.000000,,0.877848678213,304125,.,.,190422.000000,98732.000000,,1.92867560669
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.986607,1.0,0.504505,0.993258,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,221,.,.,121.000000,100.000000,,1.21,3,.,.,3.000000,0.000000,,,444,.,.,252.000000,181.000000,,1.39226519337,220,.,.,121.000000,99.000000,,1.22222222222,0,.,.,0.000000,0.000000,,,224,.,.,131.000000,82.000000,,1.59756097561
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.986607,1.0,0.504505,0.993258,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,221,.,.,121.000000,100.000000,,1.21,3,.,.,3.000000,0.000000,,,444,.,.,252.000000,181.000000,,1.39226519337,220,.,.,121.000000,99.000000,,1.22222222222,0,.,.,0.000000,0.000000,,,224,.,.,131.000000,82.000000,,1.59756097561
