Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.985404,0.985469,0.436984,0.985436,3877,2019,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,517799,.,.,292637.000000,192034.000000,,1.52388118771,7670,.,.,3957.000000,2037.000000,,1.94256259205,967003,.,.,625447.000000,299164.000000,,2.09064927598,536527,.,.,334831.000000,191187.000000,,1.75132723459,7911,.,.,5409.000000,1179.000000,,4.58778625954,422565,.,.,285207.000000,106798.000000,,2.67052753797
INDEL,*,*,PASS,*,QUAL,*,0.985404,0.985469,0.436984,0.985436,3877,2019,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,517799,.,.,292637.000000,192034.000000,,1.52388118771,7670,.,.,3957.000000,2037.000000,,1.94256259205,967003,.,.,625447.000000,299164.000000,,2.09064927598,536527,.,.,334831.000000,191187.000000,,1.75132723459,7911,.,.,5409.000000,1179.000000,,4.58778625954,422565,.,.,285207.000000,106798.000000,,2.67052753797
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.971322,0.971563,0.521593,0.971442,3361,1700,83977437.000000,62848827.000000,0.000000,229970,.,.,127621.000000,85987.000000,,1.4841894705,223375,.,.,124218.000000,84218.000000,,1.47495784749,6595,.,.,3403.000000,1769.000000,,1.92368569813,499094,.,.,318101.000000,152823.000000,,2.08149951251,231980,.,.,143406.000000,83921.000000,,1.70882139155,6790,.,.,4568.000000,1033.000000,,4.42207163601,260324,.,.,170127.000000,67869.000000,,2.50669672457
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.971322,0.971563,0.521593,0.971442,3361,1700,83977437.000000,62848827.000000,0.000000,229970,.,.,127621.000000,85987.000000,,1.4841894705,223375,.,.,124218.000000,84218.000000,,1.47495784749,6595,.,.,3403.000000,1769.000000,,1.92368569813,499094,.,.,318101.000000,152823.000000,,2.08149951251,231980,.,.,143406.000000,83921.000000,,1.70882139155,6790,.,.,4568.000000,1033.000000,,4.42207163601,260324,.,.,170127.000000,67869.000000,,2.50669672457
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.994093,0.994045,0.803116,0.994069,51,47,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18849,.,.,11125.000000,6056.000000,,1.83702113606,112,.,.,56.000000,34.000000,,1.64705882353,100638,.,.,72155.000000,25171.000000,,2.86659250725,19696,.,.,13251.000000,5981.000000,,2.21551580003,118,.,.,96.000000,12.000000,,8.0,80824,.,.,58808.000000,19178.000000,,3.0664302847
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.994093,0.994045,0.803116,0.994069,51,47,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18849,.,.,11125.000000,6056.000000,,1.83702113606,112,.,.,56.000000,34.000000,,1.64705882353,100638,.,.,72155.000000,25171.000000,,2.86659250725,19696,.,.,13251.000000,5981.000000,,2.21551580003,118,.,.,96.000000,12.000000,,8.0,80824,.,.,58808.000000,19178.000000,,3.0664302847
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.978344,0.978756,0.520999,0.97855,3827,1995,252347426.000000,122953793.000000,0.000000,339126,.,.,186107.000000,118354.000000,,1.57246058435,331782,.,.,182429.000000,116351.000000,,1.56791948501,7344,.,.,3678.000000,2003.000000,,1.83624563155,748441,.,.,494788.000000,211576.000000,,2.33858282603,350888,.,.,224777.000000,115711.000000,,1.94257244342,7616,.,.,5161.000000,1137.000000,,4.53913808267,389937,.,.,264850.000000,94728.000000,,2.79589983954
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.978344,0.978756,0.520999,0.97855,3827,1995,252347426.000000,122953793.000000,0.000000,339126,.,.,186107.000000,118354.000000,,1.57246058435,331782,.,.,182429.000000,116351.000000,,1.56791948501,7344,.,.,3678.000000,2003.000000,,1.83624563155,748441,.,.,494788.000000,211576.000000,,2.33858282603,350888,.,.,224777.000000,115711.000000,,1.94257244342,7616,.,.,5161.000000,1137.000000,,4.53913808267,389937,.,.,264850.000000,94728.000000,,2.79589983954
INDEL,*,L1H_gt500,ALL,*,QUAL,*,1.0,1.0,0.570328,1.0,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,224,.,.,124.000000,100.000000,,1.24,0,.,.,0.000000,0.000000,,,519,.,.,322.000000,178.000000,,1.80898876404,223,.,.,124.000000,99.000000,,1.25252525253,0,.,.,0.000000,0.000000,,,296,.,.,198.000000,79.000000,,2.50632911392
INDEL,*,L1H_gt500,PASS,*,QUAL,*,1.0,1.0,0.570328,1.0,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,224,.,.,124.000000,100.000000,,1.24,0,.,.,0.000000,0.000000,,,519,.,.,322.000000,178.000000,,1.80898876404,223,.,.,124.000000,99.000000,,1.25252525253,0,.,.,0.000000,0.000000,,,296,.,.,198.000000,79.000000,,2.50632911392
INDEL,*,MHC,ALL,*,QUAL,*,0.974955,0.990459,0.547978,0.982646,7,9,4970557.000000,4634060.000000,0.000000,1677,.,.,1058.000000,549.000000,,1.92714025501,1635,.,.,1021.000000,547.000000,,1.86654478976,42,.,.,37.000000,2.000000,,18.5,3710,.,.,2539.000000,1049.000000,,2.42040038132,1661,.,.,1088.000000,545.000000,,1.99633027523,16,.,.,11.000000,3.000000,,3.66666666667,2033,.,.,1440.000000,501.000000,,2.87425149701
INDEL,*,MHC,PASS,*,QUAL,*,0.974955,0.990459,0.547978,0.982646,7,9,4970557.000000,4634060.000000,0.000000,1677,.,.,1058.000000,549.000000,,1.92714025501,1635,.,.,1021.000000,547.000000,,1.86654478976,42,.,.,37.000000,2.000000,,18.5,3710,.,.,2539.000000,1049.000000,,2.42040038132,1661,.,.,1088.000000,545.000000,,1.99633027523,16,.,.,11.000000,3.000000,,3.66666666667,2033,.,.,1440.000000,501.000000,,2.87425149701
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.989225,0.988696,0.738718,0.988961,23,19,3036641434.000000,2546949881.000000,0.000000,3434,.,.,1629.000000,1311.000000,,1.24256292906,3397,.,.,1623.000000,1294.000000,,1.2542503864,37,.,.,6.000000,17.000000,,0.352941176471,14559,.,.,11280.000000,3264.000000,,3.45588235294,3761,.,.,2506.000000,1255.000000,,1.996812749,43,.,.,42.000000,1.000000,,42.0,10755,.,.,8732.000000,2008.000000,,4.34860557769
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.989225,0.988696,0.738718,0.988961,23,19,3036641434.000000,2546949881.000000,0.000000,3434,.,.,1629.000000,1311.000000,,1.24256292906,3397,.,.,1623.000000,1294.000000,,1.2542503864,37,.,.,6.000000,17.000000,,0.352941176471,14559,.,.,11280.000000,3264.000000,,3.45588235294,3761,.,.,2506.000000,1255.000000,,1.996812749,43,.,.,42.000000,1.000000,,42.0,10755,.,.,8732.000000,2008.000000,,4.34860557769
INDEL,*,TS_contained,ALL,*,QUAL,*,0.985378,0.985447,0.0,0.985413,3854,2000,2546949881.000000,2546949881.000000,0.000000,522035,.,.,294965.000000,192760.000000,,1.53021892509,514402,.,.,291014.000000,190740.000000,,1.52571039111,7633,.,.,3951.000000,2020.000000,,1.95594059406,540634,.,.,337692.000000,191110.000000,,1.76700329653,532766,.,.,332325.000000,189932.000000,,1.74970515764,7868,.,.,5367.000000,1178.000000,,4.55602716469,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.985378,0.985447,0.0,0.985413,3854,2000,2546949881.000000,2546949881.000000,0.000000,522035,.,.,294965.000000,192760.000000,,1.53021892509,514402,.,.,291014.000000,190740.000000,,1.52571039111,7633,.,.,3951.000000,2020.000000,,1.95594059406,540634,.,.,337692.000000,191110.000000,,1.76700329653,532766,.,.,332325.000000,189932.000000,,1.74970515764,7868,.,.,5367.000000,1178.000000,,4.55602716469,0,.,.,0.000000,0.000000,,
INDEL,*,alldifficultregions,ALL,*,QUAL,*,0.979607,0.979834,0.509081,0.97972,3850,2010,642823514.000000,416632300.000000,0.000000,370566,.,.,204151.000000,131720.000000,,1.54988612208,363009,.,.,200289.000000,129692.000000,,1.54434352157,7557,.,.,3862.000000,2028.000000,,1.90433925049,793951,.,.,522287.000000,229490.000000,,2.27585951458,381906,.,.,242537.000000,128949.000000,,1.88087538484,7860,.,.,5384.000000,1156.000000,,4.65743944637,404185,.,.,274366.000000,99385.000000,,2.76063792323
