Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.947388,0.970013,0.385159,0.958567,10737,3347,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,497823,.,.,283615.000000,185148.000000,,1.53182859118,27646,.,.,12979.000000,8923.000000,,1.45455564272,861574,.,.,547573.000000,278276.000000,,1.96773347324,513846,.,.,319903.000000,184454.000000,,1.7343240049,15885,.,.,10101.000000,3132.000000,,3.22509578544,331843,.,.,217569.000000,90690.000000,,2.39904068806
INDEL,*,*,PASS,*,QUAL,*,0.947388,0.970013,0.385159,0.958567,10737,3347,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,497823,.,.,283615.000000,185148.000000,,1.53182859118,27646,.,.,12979.000000,8923.000000,,1.45455564272,861574,.,.,547573.000000,278276.000000,,1.96773347324,513846,.,.,319903.000000,184454.000000,,1.7343240049,15885,.,.,10101.000000,3132.000000,,3.22509578544,331843,.,.,217569.000000,90690.000000,,2.39904068806
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.892077,0.935,0.453752,0.913035,9885,3115,83977437.000000,62848827.000000,0.000000,229970,.,.,127621.000000,85987.000000,,1.4841894705,205151,.,.,116270.000000,77735.000000,,1.49572264746,24819,.,.,11351.000000,8252.000000,,1.37554532235,413199,.,.,261395.000000,129979.000000,,2.01105563206,211038,.,.,129833.000000,77493.000000,,1.67541584401,14671,.,.,9135.000000,2934.000000,,3.11349693252,187490,.,.,122427.000000,49552.000000,,2.47067726832
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.892077,0.935,0.453752,0.913035,9885,3115,83977437.000000,62848827.000000,0.000000,229970,.,.,127621.000000,85987.000000,,1.4841894705,205151,.,.,116270.000000,77735.000000,,1.49572264746,24819,.,.,11351.000000,8252.000000,,1.37554532235,413199,.,.,261395.000000,129979.000000,,2.01105563206,211038,.,.,129833.000000,77493.000000,,1.67541584401,14671,.,.,9135.000000,2934.000000,,3.11349693252,187490,.,.,122427.000000,49552.000000,,2.47067726832
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.982754,0.991193,0.783779,0.986955,114,33,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18634,.,.,10999.000000,6004.000000,,1.83194536975,327,.,.,182.000000,86.000000,,2.11627906977,90847,.,.,59589.000000,27807.000000,,2.142949617,19470,.,.,13072.000000,5942.000000,,2.1999326826,173,.,.,151.000000,14.000000,,10.7857142857,71204,.,.,46366.000000,21851.000000,,2.12191661709
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.982754,0.991193,0.783779,0.986955,114,33,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18634,.,.,10999.000000,6004.000000,,1.83194536975,327,.,.,182.000000,86.000000,,2.11627906977,90847,.,.,59589.000000,27807.000000,,2.142949617,19470,.,.,13072.000000,5942.000000,,2.1999326826,173,.,.,151.000000,14.000000,,10.7857142857,71204,.,.,46366.000000,21851.000000,,2.12191661709
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.921607,0.954446,0.467533,0.937739,10662,3318,252347426.000000,122953793.000000,0.000000,339126,.,.,186107.000000,118354.000000,,1.57246058435,312541,.,.,173867.000000,109750.000000,,1.5842095672,26585,.,.,12240.000000,8604.000000,,1.42259414226,647058,.,.,420960.000000,190984.000000,,2.20416369958,328842,.,.,210259.000000,109213.000000,,1.92521952515,15695,.,.,9961.000000,3085.000000,,3.22884927066,302521,.,.,200740.000000,78686.000000,,2.55115268282
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.921607,0.954446,0.467533,0.937739,10662,3318,252347426.000000,122953793.000000,0.000000,339126,.,.,186107.000000,118354.000000,,1.57246058435,312541,.,.,173867.000000,109750.000000,,1.5842095672,26585,.,.,12240.000000,8604.000000,,1.42259414226,647058,.,.,420960.000000,190984.000000,,2.20416369958,328842,.,.,210259.000000,109213.000000,,1.92521952515,15695,.,.,9961.000000,3085.000000,,3.22884927066,302521,.,.,200740.000000,78686.000000,,2.55115268282
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.991071,1.0,0.572534,0.995516,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,222,.,.,124.000000,98.000000,,1.26530612245,2,.,.,0.000000,2.000000,,0.0,517,.,.,286.000000,220.000000,,1.3,221,.,.,123.000000,98.000000,,1.25510204082,0,.,.,0.000000,0.000000,,,296,.,.,163.000000,122.000000,,1.33606557377
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.991071,1.0,0.572534,0.995516,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,222,.,.,124.000000,98.000000,,1.26530612245,2,.,.,0.000000,2.000000,,0.0,517,.,.,286.000000,220.000000,,1.3,221,.,.,123.000000,98.000000,,1.25510204082,0,.,.,0.000000,0.000000,,,296,.,.,163.000000,122.000000,,1.33606557377
