Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.994224,0.994159,0.449512,0.994191,1507,1114,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,522434,.,.,294984.000000,193371.000000,,1.52548210435,3035,.,.,1610.000000,700.000000,,2.3,990813,.,.,636441.000000,318839.000000,,1.99612029896,542245,.,.,338953.000000,192512.000000,,1.7606850482,3186,.,.,2489.000000,395.000000,,6.30126582278,445382,.,.,294999.000000,125932.000000,,2.34252612521
INDEL,*,*,PASS,*,QUAL,*,0.994224,0.994159,0.449512,0.994191,1507,1114,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,522434,.,.,294984.000000,193371.000000,,1.52548210435,3035,.,.,1610.000000,700.000000,,2.3,990813,.,.,636441.000000,318839.000000,,1.99612029896,542245,.,.,338953.000000,192512.000000,,1.7606850482,3186,.,.,2489.000000,395.000000,,6.30126582278,445382,.,.,294999.000000,125932.000000,,2.34252612521
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.990351,0.989167,0.529548,0.989759,1195,966,83977437.000000,62848827.000000,0.000000,229970,.,.,127621.000000,85987.000000,,1.4841894705,227751,.,.,126478.000000,85456.000000,,1.48003651002,2219,.,.,1143.000000,531.000000,,2.15254237288,509978,.,.,333582.000000,155321.000000,,2.14769413022,237321,.,.,147282.000000,85141.000000,,1.72985987949,2599,.,.,2044.000000,308.000000,,6.63636363636,270058,.,.,184256.000000,69872.000000,,2.63705060682
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.990351,0.989167,0.529548,0.989759,1195,966,83977437.000000,62848827.000000,0.000000,229970,.,.,127621.000000,85987.000000,,1.4841894705,227751,.,.,126478.000000,85456.000000,,1.48003651002,2219,.,.,1143.000000,531.000000,,2.15254237288,509978,.,.,333582.000000,155321.000000,,2.14769413022,237321,.,.,147282.000000,85141.000000,,1.72985987949,2599,.,.,2044.000000,308.000000,,6.63636363636,270058,.,.,184256.000000,69872.000000,,2.63705060682
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.994673,0.995858,0.826193,0.995265,39,26,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18860,.,.,11125.000000,6067.000000,,1.83369045657,101,.,.,56.000000,23.000000,,2.4347826087,113914,.,.,68975.000000,41251.000000,,1.67208067683,19717,.,.,13263.000000,5993.000000,,2.21308192892,82,.,.,68.000000,7.000000,,9.71428571429,94115,.,.,55644.000000,35251.000000,,1.57850841111
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.994673,0.995858,0.826193,0.995265,39,26,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18860,.,.,11125.000000,6067.000000,,1.83369045657,101,.,.,56.000000,23.000000,,2.4347826087,113914,.,.,68975.000000,41251.000000,,1.67208067683,19717,.,.,13263.000000,5993.000000,,2.21308192892,82,.,.,68.000000,7.000000,,9.71428571429,94115,.,.,55644.000000,35251.000000,,1.57850841111
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.991932,0.991565,0.534675,0.991749,1475,1087,252347426.000000,122953793.000000,0.000000,339126,.,.,186107.000000,118354.000000,,1.57246058435,336390,.,.,184743.000000,117707.000000,,1.56951583168,2736,.,.,1364.000000,647.000000,,2.10819165379,772761,.,.,507304.000000,230463.000000,,2.20123837666,356552,.,.,228849.000000,117046.000000,,1.95520564564,3033,.,.,2369.000000,364.000000,,6.50824175824,413176,.,.,276086.000000,113053.000000,,2.44209353135
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.991932,0.991565,0.534675,0.991749,1475,1087,252347426.000000,122953793.000000,0.000000,339126,.,.,186107.000000,118354.000000,,1.57246058435,336390,.,.,184743.000000,117707.000000,,1.56951583168,2736,.,.,1364.000000,647.000000,,2.10819165379,772761,.,.,507304.000000,230463.000000,,2.20123837666,356552,.,.,228849.000000,117046.000000,,1.95520564564,3033,.,.,2369.000000,364.000000,,6.50824175824,413176,.,.,276086.000000,113053.000000,,2.44209353135
INDEL,*,L1H_gt500,ALL,*,QUAL,*,1.0,1.0,0.598921,1.0,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,224,.,.,124.000000,100.000000,,1.24,0,.,.,0.000000,0.000000,,,556,.,.,350.000000,188.000000,,1.86170212766,223,.,.,124.000000,99.000000,,1.25252525253,0,.,.,0.000000,0.000000,,,333,.,.,226.000000,89.000000,,2.5393258427
INDEL,*,L1H_gt500,PASS,*,QUAL,*,1.0,1.0,0.598921,1.0,0,0,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,224,.,.,124.000000,100.000000,,1.24,0,.,.,0.000000,0.000000,,,556,.,.,350.000000,188.000000,,1.86170212766,223,.,.,124.000000,99.000000,,1.25252525253,0,.,.,0.000000,0.000000,,,333,.,.,226.000000,89.000000,,2.5393258427
INDEL,*,MHC,ALL,*,QUAL,*,0.969589,0.995175,0.530312,0.982215,3,5,4970557.000000,4634060.000000,0.000000,1677,.,.,1058.000000,549.000000,,1.92714025501,1626,.,.,1010.000000,547.000000,,1.84643510055,51,.,.,48.000000,2.000000,,24.0,3530,.,.,2317.000000,1105.000000,,2.09683257919,1650,.,.,1075.000000,545.000000,,1.97247706422,8,.,.,7.000000,1.000000,,7.0,1872,.,.,1235.000000,559.000000,,2.20930232558
INDEL,*,MHC,PASS,*,QUAL,*,0.969589,0.995175,0.530312,0.982215,3,5,4970557.000000,4634060.000000,0.000000,1677,.,.,1058.000000,549.000000,,1.92714025501,1626,.,.,1010.000000,547.000000,,1.84643510055,51,.,.,48.000000,2.000000,,24.0,3530,.,.,2317.000000,1105.000000,,2.09683257919,1650,.,.,1075.000000,545.000000,,1.97247706422,8,.,.,7.000000,1.000000,,7.0,1872,.,.,1235.000000,559.000000,,2.20930232558
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.992711,0.99212,0.755271,0.992415,16,13,3036641434.000000,2546949881.000000,0.000000,3430,.,.,1628.000000,1309.000000,,1.24369747899,3405,.,.,1625.000000,1297.000000,,1.25289128759,25,.,.,3.000000,12.000000,,0.25,15556,.,.,12377.000000,3174.000000,,3.89949590422,3777,.,.,2519.000000,1258.000000,,2.00238473768,30,.,.,29.000000,1.000000,,29.0,11749,.,.,9829.000000,1915.000000,,5.13263707572
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.992711,0.99212,0.755271,0.992415,16,13,3036641434.000000,2546949881.000000,0.000000,3430,.,.,1628.000000,1309.000000,,1.24369747899,3405,.,.,1625.000000,1297.000000,,1.25289128759,25,.,.,3.000000,12.000000,,0.25,15556,.,.,12377.000000,3174.000000,,3.89949590422,3777,.,.,2519.000000,1258.000000,,2.00238473768,30,.,.,29.000000,1.000000,,29.0,11749,.,.,9829.000000,1915.000000,,5.13263707572
INDEL,*,TS_contained,ALL,*,QUAL,*,0.994234,0.994173,0.0,0.994204,1491,1101,2546949881.000000,2546949881.000000,0.000000,522039,.,.,294966.000000,192762.000000,,1.53020823606,519029,.,.,293359.000000,192074.000000,,1.52732280267,3010,.,.,1607.000000,688.000000,,2.33575581395,541624,.,.,338894.000000,191648.000000,,1.76831482718,538468,.,.,336434.000000,191254.000000,,1.75909523461,3156,.,.,2460.000000,394.000000,,6.24365482234,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.994234,0.994173,0.0,0.994204,1491,1101,2546949881.000000,2546949881.000000,0.000000,522039,.,.,294966.000000,192762.000000,,1.53020823606,519029,.,.,293359.000000,192074.000000,,1.52732280267,3010,.,.,1607.000000,688.000000,,2.33575581395,541624,.,.,338894.000000,191648.000000,,1.76831482718,538468,.,.,336434.000000,191254.000000,,1.75909523461,3156,.,.,2460.000000,394.000000,,6.24365482234,0,.,.,0.000000,0.000000,,
INDEL,*,alldifficultregions,ALL,*,QUAL,*,0.991999,0.991917,0.521303,0.991958,1501,1098,642823514.000000,416632300.000000,0.000000,370566,.,.,204151.000000,131720.000000,,1.54988612208,367601,.,.,202589.000000,131042.000000,,1.54598525664,2965,.,.,1562.000000,678.000000,,2.30383480826,816206,.,.,532174.000000,248879.000000,,2.13828406575,387557,.,.,246597.000000,130278.000000,,1.89285220835,3158,.,.,2468.000000,389.000000,,6.34447300771,425491,.,.,283109.000000,118212.000000,,2.39492606504
INDEL,*,alldifficultregions,PASS,*,QUAL,*,0.991999,0.991917,0.521303,0.991958,1501,1098,642823514.000000,416632300.000000,0.000000,370566,.,.,204151.000000,131720.000000,,1.54988612208,367601,.,.,202589.000000,131042.000000,,1.54598525664,2965,.,.,1562.000000,678.000000,,2.30383480826,816206,.,.,532174.000000,248879.000000,,2.13828406575,387557,.,.,246597.000000,130278.000000,,1.89285220835,3158,.,.,2468.000000,389.000000,,6.34447300771,425491,.,.,283109.000000,118212.000000,,2.39492606504
INDEL,*,alllowmapandsegdupregions,ALL,*,QUAL,*,0.989157,0.990877,0.821734,0.990016,28,14,305614803.000000,145229641.000000,0.000000,17523,.,.,10060.000000,7050.000000,,1.42695035461,17333,.,.,9886.000000,7038.000000,,1.40466041489,190,.,.,174.000000,12.000000,,14.5,98381,.,.,52526.000000,43301.000000,,1.21304357867,17378,.,.,10337.000000,6935.000000,,1.49055515501,160,.,.,134.000000,22.000000,,6.09090909091,80843,.,.,42055.000000,36344.000000,,1.15713735417
INDEL,*,alllowmapandsegdupregions,PASS,*,QUAL,*,0.989157,0.990877,0.821734,0.990016,28,14,305614803.000000,145229641.000000,0.000000,17523,.,.,10060.000000,7050.000000,,1.42695035461,17333,.,.,9886.000000,7038.000000,,1.40466041489,190,.,.,174.000000,12.000000,,14.5,98381,.,.,52526.000000,43301.000000,,1.21304357867,17378,.,.,10337.000000,6935.000000,,1.49055515501,160,.,.,134.000000,22.000000,,6.09090909091,80843,.,.,42055.000000,36344.000000,,1.15713735417
INDEL,*,collapsed_duplication_FP_regions,ALL,*,QUAL,*,0.898876,0.94186,0.978729,0.919867,2,0,8015146.000000,676291.000000,0.000000,89,.,.,44.000000,43.000000,,1.02325581395,80,.,.,35.000000,43.000000,,0.813953488372,9,.,.,9.000000,0.000000,,,4043,.,.,2919.000000,1027.000000,,2.84225900682,81,.,.,37.000000,43.000000,,0.860465116279,5,.,.,2.000000,3.000000,,0.666666666667,3957,.,.,2880.000000,981.000000,,2.93577981651
INDEL,*,collapsed_duplication_FP_regions,PASS,*,QUAL,*,0.898876,0.94186,0.978729,0.919867,2,0,8015146.000000,676291.000000,0.000000,89,.,.,44.000000,43.000000,,1.02325581395,80,.,.,35.000000,43.000000,,0.813953488372,9,.,.,9.000000,0.000000,,,4043,.,.,2919.000000,1027.000000,,2.84225900682,81,.,.,37.000000,43.000000,,0.860465116279,5,.,.,2.000000,3.000000,,0.666666666667,3957,.,.,2880.000000,981.000000,,2.93577981651
INDEL,*,false_duplications_correct_copy,ALL,*,QUAL,*,0.870968,0.931034,0.923885,0.9,1,0,1237625.000000,683527.000000,0.000000,31,.,.,28.000000,3.000000,,9.33333333333,27,.,.,24.000000,3.000000,,8.0,4,.,.,4.000000,0.000000,,,381,.,.,247.000000,122.000000,,2.02459016393,27,.,.,24.000000,3.000000,,8.0,2,.,.,0.000000,2.000000,,0.0,352,.,.,223.000000,117.000000,,1.90598290598
INDEL,*,false_duplications_correct_copy,PASS,*,QUAL,*,0.870968,0.931034,0.923885,0.9,1,0,1237625.000000,683527.000000,0.000000,31,.,.,28.000000,3.000000,,9.33333333333,27,.,.,24.000000,3.000000,,8.0,4,.,.,4.000000,0.000000,,,381,.,.,247.000000,122.000000,,2.02459016393,27,.,.,24.000000,3.000000,,8.0,2,.,.,0.000000,2.000000,,0.0,352,.,.,223.000000,117.000000,,1.90598290598
INDEL,*,gnomAD_InbreedingCoeff_slop1bp_merge1000bp,ALL,*,QUAL,*,0.982698,0.988044,0.814939,0.985364,38,25,13528469.000000,2276581.000000,0.000000,6011,.,.,1627.000000,3739.000000,,0.435143086387,5907,.,.,1577.000000,3705.000000,,0.425641025641,104,.,.,50.000000,34.000000,,1.47058823529,33897,.,.,21091.000000,12081.000000,,1.74579918881,6198,.,.,2460.000000,3643.000000,,0.675267636563,75,.,.,64.000000,8.000000,,8.0,27624,.,.,18567.000000,8430.000000,,2.2024911032
INDEL,*,gnomAD_InbreedingCoeff_slop1bp_merge1000bp,PASS,*,QUAL,*,0.982698,0.988044,0.814939,0.985364,38,25,13528469.000000,2276581.000000,0.000000,6011,.,.,1627.000000,3739.000000,,0.435143086387,5907,.,.,1577.000000,3705.000000,,0.425641025641,104,.,.,50.000000,34.000000,,1.47058823529,33897,.,.,21091.000000,12081.000000,,1.74579918881,6198,.,.,2460.000000,3643.000000,,0.675267636563,75,.,.,64.000000,8.000000,,8.0,27624,.,.,18567.000000,8430.000000,,2.2024911032
INDEL,*,nonunique_l250_m0_e0,ALL,*,QUAL,*,0.87145,0.93538,0.957518,0.902284,15,2,89246198.000000,13080805.000000,0.000000,669,.,.,460.000000,205.000000,,2.24390243902,583,.,.,379.000000,201.000000,,1.8855721393,86,.,.,81.000000,4.000000,,20.25,14571,.,.,5475.000000,8910.000000,,0.614478114478,579,.,.,381.000000,198.000000,,1.92424242424,40,.,.,25.000000,14.000000,,1.78571428571,13952,.,.,5069.000000,8698.000000,,0.582777650034
INDEL,*,nonunique_l250_m0_e0,PASS,*,QUAL,*,0.87145,0.93538,0.957518,0.902284,15,2,89246198.000000,13080805.000000,0.000000,669,.,.,460.000000,205.000000,,2.24390243902,583,.,.,379.000000,201.000000,,1.8855721393,86,.,.,81.000000,4.000000,,20.25,14571,.,.,5475.000000,8910.000000,,0.614478114478,579,.,.,381.000000,198.000000,,1.92424242424,40,.,.,25.000000,14.000000,,1.78571428571,13952,.,.,5069.000000,8698.000000,,0.582777650034
INDEL,*,notinAllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.997236,0.998081,0.367316,0.997658,315,146,2850902974.000000,2479394549.000000,0.000000,296306,.,.,169517.000000,108211.000000,,1.56654129432,295487,.,.,169050.000000,108040.000000,,1.5646982599,819,.,.,467.000000,171.000000,,2.73099415205,484196,.,.,305826.000000,163953.000000,,1.86532725842,305755,.,.,192385.000000,107500.000000,,1.78962790698,588,.,.,446.000000,87.000000,,5.12643678161,177853,.,.,112995.000000,56366.000000,,2.00466593336
INDEL,*,notinAllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.997236,0.998081,0.367316,0.997658,315,146,2850902974.000000,2479394549.000000,0.000000,296306,.,.,169517.000000,108211.000000,,1.56654129432,295487,.,.,169050.000000,108040.000000,,1.5646982599,819,.,.,467.000000,171.000000,,2.73099415205,484196,.,.,305826.000000,163953.000000,,1.86532725842,305755,.,.,192385.000000,107500.000000,,1.78962790698,588,.,.,446.000000,87.000000,,5.12643678161,177853,.,.,112995.000000,56366.000000,,2.00466593336
INDEL,*,notinAllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.998399,0.999173,0.14881,0.998786,33,27,2682532985.000000,2419289583.000000,0.000000,186805,.,.,110925.000000,75743.000000,,1.46449176822,186506,.,.,110680.000000,75689.000000,,1.46229967366,299,.,.,245.000000,54.000000,,4.53703703704,218870,.,.,129912.000000,88429.000000,,1.46911081206,186146,.,.,110532.000000,75494.000000,,1.46411635362,154,.,.,121.000000,31.000000,,3.90322580645,32570,.,.,19259.000000,12904.000000,,1.49248295102
INDEL,*,notinAllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.998399,0.999173,0.14881,0.998786,33,27,2682532985.000000,2419289583.000000,0.000000,186805,.,.,110925.000000,75743.000000,,1.46449176822,186506,.,.,110680.000000,75689.000000,,1.46229967366,299,.,.,245.000000,54.000000,,4.53703703704,218870,.,.,129912.000000,88429.000000,,1.46911081206,186146,.,.,110532.000000,75494.000000,,1.46411635362,154,.,.,121.000000,31.000000,,3.90322580645,32570,.,.,19259.000000,12904.000000,,1.49248295102
INDEL,*,notinalldifficultregions,ALL,*,QUAL,*,0.99953,0.999807,0.115243,0.999668,7,17,2292056897.000000,2125611076.000000,0.000000,155236,.,.,92768.000000,62361.000000,,1.48759641443,155163,.,.,92720.000000,62336.000000,,1.48742299795,73,.,.,48.000000,25.000000,,1.92,175238,.,.,104864.000000,70006.000000,,1.49792874896,155013,.,.,92674.000000,62243.000000,,1.48890638305,30,.,.,22.000000,7.000000,,3.14285714286,20195,.,.,12168.000000,7756.000000,,1.56884992264
INDEL,*,notinalldifficultregions,PASS,*,QUAL,*,0.99953,0.999807,0.115243,0.999668,7,17,2292056897.000000,2125611076.000000,0.000000,155236,.,.,92768.000000,62361.000000,,1.48759641443,155163,.,.,92720.000000,62336.000000,,1.48742299795,73,.,.,48.000000,25.000000,,1.92,175238,.,.,104864.000000,70006.000000,,1.49792874896,155013,.,.,92674.000000,62243.000000,,1.48890638305,30,.,.,22.000000,7.000000,,3.14285714286,20195,.,.,12168.000000,7756.000000,,1.56884992264
INDEL,*,notinalllowmapandsegdupregions,ALL,*,QUAL,*,0.994395,0.994266,0.408343,0.99433,1479,1100,2629265608.000000,2397013735.000000,0.000000,507758,.,.,286452.000000,186896.000000,,1.53268127729,504912,.,.,285015.000000,186208.000000,,1.53062704073,2846,.,.,1437.000000,688.000000,,2.0886627907,891917,.,.,583950.000000,275177.000000,,2.12208869201,524683,.,.,328571.000000,185451.000000,,1.77174024405,3026,.,.,2356.000000,372.000000,,6.33333333333,364208,.,.,253023.000000,89354.000000,,2.83169192202
INDEL,*,notinalllowmapandsegdupregions,PASS,*,QUAL,*,0.994395,0.994266,0.408343,0.99433,1479,1100,2629265608.000000,2397013735.000000,0.000000,507758,.,.,286452.000000,186896.000000,,1.53268127729,504912,.,.,285015.000000,186208.000000,,1.53062704073,2846,.,.,1437.000000,688.000000,,2.0886627907,891917,.,.,583950.000000,275177.000000,,2.12208869201,524683,.,.,328571.000000,185451.000000,,1.77174024405,3026,.,.,2356.000000,372.000000,,6.33333333333,364208,.,.,253023.000000,89354.000000,,2.83169192202
INDEL,*,refseq_cds,ALL,*,QUAL,*,0.994832,0.994832,0.401855,0.994832,0,0,34083082.000000,31435292.000000,0.000000,387,.,.,250.000000,133.000000,,1.87969924812,385,.,.,248.000000,133.000000,,1.86466165414,2,.,.,2.000000,0.000000,,,647,.,.,422.000000,214.000000,,1.97196261682,385,.,.,249.000000,134.000000,,1.85820895522,2,.,.,2.000000,0.000000,,,260,.,.,171.000000,80.000000,,2.1375
INDEL,*,refseq_cds,PASS,*,QUAL,*,0.994832,0.994832,0.401855,0.994832,0,0,34083082.000000,31435292.000000,0.000000,387,.,.,250.000000,133.000000,,1.87969924812,385,.,.,248.000000,133.000000,,1.86466165414,2,.,.,2.000000,0.000000,,,647,.,.,422.000000,214.000000,,1.97196261682,385,.,.,249.000000,134.000000,,1.85820895522,2,.,.,2.000000,0.000000,,,260,.,.,171.000000,80.000000,,2.1375
INDEL,C16_PLUS,*,ALL,*,QUAL,*,1.0,0.0,0.0,0.0,0,0,2809068885,2546949881.000000,0.000000,1,.,.,0.000000,0.000000,,,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,*,PASS,*,QUAL,*,1.0,0.0,0.0,0.0,0,0,2809068885,2546949881.000000,0.000000,1,.,.,0.000000,0.000000,,,1,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
INDEL,C16_PLUS,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.0,0.0,0.0,,0,0,83977437.000000,62848827.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,
