Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.885217,0.669574,0.405055,0.762441,55520,17058,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,465154,.,.,293308.000000,144098.000000,,2.03547585671,60315,.,.,3286.000000,49973.000000,,0.0657555079743,1215824,.,.,995239.000000,192611.000000,,5.16709326051,484336,.,.,334122.000000,143445.000000,,2.32926905783,239013,.,.,232184.000000,61.000000,,3806.29508197,492475,.,.,428933.000000,49105.000000,,8.73501680073
INDEL,*,*,PASS,*,QUAL,*,0.885217,0.669574,0.405055,0.762441,55520,17058,2809068885,2546949881.000000,0.000000,525469,.,.,296594.000000,194071.000000,,1.52827573414,465154,.,.,293308.000000,144098.000000,,2.03547585671,60315,.,.,3286.000000,49973.000000,,0.0657555079743,1215824,.,.,995239.000000,192611.000000,,5.16709326051,484336,.,.,334122.000000,143445.000000,,2.32926905783,239013,.,.,232184.000000,61.000000,,3806.29508197,492475,.,.,428933.000000,49105.000000,,8.73501680073
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.778957,0.534403,0.480002,0.633912,46998,12986,83977437.000000,62848827.000000,0.000000,229973,.,.,127622.000000,85989.000000,,1.48416657945,179139,.,.,125033.000000,42235.000000,,2.96041198058,50834,.,.,2589.000000,43754.000000,,0.0591717328701,677235,.,.,601730.000000,56289.000000,,10.6900104816,188196,.,.,143212.000000,42062.000000,,3.40478341496,163965,.,.,157739.000000,8.000000,,19717.375,325074,.,.,300779.000000,14219.000000,,21.1533159857
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.778957,0.534403,0.480002,0.633912,46998,12986,83977437.000000,62848827.000000,0.000000,229973,.,.,127622.000000,85989.000000,,1.48416657945,179139,.,.,125033.000000,42235.000000,,2.96041198058,50834,.,.,2589.000000,43754.000000,,0.0591717328701,677235,.,.,601730.000000,56289.000000,,10.6900104816,188196,.,.,143212.000000,42062.000000,,3.40478341496,163965,.,.,157739.000000,8.000000,,19717.375,325074,.,.,300779.000000,14219.000000,,21.1533159857
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.954064,0.891254,0.794747,0.92159,756,211,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18090,.,.,11096.000000,5495.000000,,2.01929026388,871,.,.,85.000000,595.000000,,0.142857142857,103448,.,.,77741.000000,23458.000000,,3.3140506437,18924,.,.,13163.000000,5422.000000,,2.427701955,2309,.,.,2278.000000,2.000000,,1139.0,82215,.,.,62300.000000,18034.000000,,3.45458578241
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.954064,0.891254,0.794747,0.92159,756,211,123639327.000000,22632619.000000,0.000000,18961,.,.,11181.000000,6090.000000,,1.83596059113,18090,.,.,11096.000000,5495.000000,,2.01929026388,871,.,.,85.000000,595.000000,,0.142857142857,103448,.,.,77741.000000,23458.000000,,3.3140506437,18924,.,.,13163.000000,5422.000000,,2.427701955,2309,.,.,2278.000000,2.000000,,1139.0,82215,.,.,62300.000000,18034.000000,,3.45458578241
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.824814,0.627338,0.488966,0.712649,54941,14682,252347426.000000,122953793.000000,0.000000,339126,.,.,186107.000000,118354.000000,,1.57246058435,279716,.,.,183119.000000,68985.000000,,2.65447561064,59410,.,.,2988.000000,49369.000000,,0.0605238104884,933239,.,.,800092.000000,105561.000000,,7.57942800845,299188,.,.,224018.000000,68523.000000,,3.26923806605,177729,.,.,170965.000000,22.000000,,7771.13636364,456322,.,.,405109.000000,37016.000000,,10.9441592825
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.824814,0.627338,0.488966,0.712649,54941,14682,252347426.000000,122953793.000000,0.000000,339126,.,.,186107.000000,118354.000000,,1.57246058435,279716,.,.,183119.000000,68985.000000,,2.65447561064,59410,.,.,2988.000000,49369.000000,,0.0605238104884,933239,.,.,800092.000000,105561.000000,,7.57942800845,299188,.,.,224018.000000,68523.000000,,3.26923806605,177729,.,.,170965.000000,22.000000,,7771.13636364,456322,.,.,405109.000000,37016.000000,,10.9441592825
INDEL,*,L1H_gt500,ALL,*,QUAL,*,0.986607,0.883534,0.621005,0.93223,2,2,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,221,.,.,123.000000,98.000000,,1.25510204082,3,.,.,1.000000,2.000000,,0.5,657,.,.,507.000000,144.000000,,3.52083333333,220,.,.,123.000000,97.000000,,1.26804123711,29,.,.,29.000000,0.000000,,,408,.,.,355.000000,47.000000,,7.55319148936
INDEL,*,L1H_gt500,PASS,*,QUAL,*,0.986607,0.883534,0.621005,0.93223,2,2,3288114.000000,2227709.000000,0.000000,224,.,.,124.000000,100.000000,,1.24,221,.,.,123.000000,98.000000,,1.25510204082,3,.,.,1.000000,2.000000,,0.5,657,.,.,507.000000,144.000000,,3.52083333333,220,.,.,123.000000,97.000000,,1.26804123711,29,.,.,29.000000,0.000000,,,408,.,.,355.000000,47.000000,,7.55319148936
INDEL,*,MHC,ALL,*,QUAL,*,0.945736,0.831612,0.535286,0.88501,34,40,4970557.000000,4634060.000000,0.000000,1677,.,.,1058.000000,549.000000,,1.92714025501,1586,.,.,1001.000000,522.000000,,1.91762452107,91,.,.,57.000000,27.000000,,2.11111111111,4166,.,.,3259.000000,811.000000,,4.01849568434,1610,.,.,1065.000000,520.000000,,2.04807692308,326,.,.,318.000000,2.000000,,159.0,2230,.,.,1876.000000,289.000000,,6.49134948097
INDEL,*,MHC,PASS,*,QUAL,*,0.945736,0.831612,0.535286,0.88501,34,40,4970557.000000,4634060.000000,0.000000,1677,.,.,1058.000000,549.000000,,1.92714025501,1586,.,.,1001.000000,522.000000,,1.91762452107,91,.,.,57.000000,27.000000,,2.11111111111,4166,.,.,3259.000000,811.000000,,4.01849568434,1610,.,.,1065.000000,520.000000,,2.04807692308,326,.,.,318.000000,2.000000,,159.0,2230,.,.,1876.000000,289.000000,,6.49134948097
INDEL,*,TS_boundary,ALL,*,QUAL,*,0.893116,0.885001,0.739092,0.88904,307,137,3036641434.000000,2546949881.000000,0.000000,3443,.,.,1624.000000,1327.000000,,1.22381311228,3075,.,.,1598.000000,1021.000000,,1.56513222331,368,.,.,26.000000,306.000000,,0.0849673202614,14898,.,.,12882.000000,2013.000000,,6.39940387481,3440,.,.,2448.000000,992.000000,,2.46774193548,447,.,.,444.000000,2.000000,,222.0,11011,.,.,9990.000000,1019.000000,,9.80372914622
INDEL,*,TS_boundary,PASS,*,QUAL,*,0.893116,0.885001,0.739092,0.88904,307,137,3036641434.000000,2546949881.000000,0.000000,3443,.,.,1624.000000,1327.000000,,1.22381311228,3075,.,.,1598.000000,1021.000000,,1.56513222331,368,.,.,26.000000,306.000000,,0.0849673202614,14898,.,.,12882.000000,2013.000000,,6.39940387481,3440,.,.,2448.000000,992.000000,,2.46774193548,447,.,.,444.000000,2.000000,,222.0,11011,.,.,9990.000000,1019.000000,,9.80372914622
INDEL,*,TS_contained,ALL,*,QUAL,*,0.885165,0.668411,0.0,0.761667,55213,16921,2546949881.000000,2546949881.000000,0.000000,522026,.,.,294970.000000,192744.000000,,1.53037189225,462079,.,.,291710.000000,143077.000000,,2.03883223719,59947,.,.,3260.000000,49667.000000,,0.0656371433749,719462,.,.,563414.000000,142512.000000,,3.95344953407,480896,.,.,331674.000000,142453.000000,,2.32830477421,238566,.,.,231740.000000,59.000000,,3927.79661017,0,.,.,0.000000,0.000000,,
INDEL,*,TS_contained,PASS,*,QUAL,*,0.885165,0.668411,0.0,0.761667,55213,16921,2546949881.000000,2546949881.000000,0.000000,522026,.,.,294970.000000,192744.000000,,1.53037189225,462079,.,.,291710.000000,143077.000000,,2.03883223719,59947,.,.,3260.000000,49667.000000,,0.0656371433749,719462,.,.,563414.000000,142512.000000,,3.95344953407,480896,.,.,331674.000000,142453.000000,,2.32830477421,238566,.,.,231740.000000,59.000000,,3927.79661017,0,.,.,0.000000,0.000000,,
INDEL,*,alldifficultregions,ALL,*,QUAL,*,0.838685,0.634679,0.475337,0.722558,55080,15197,642823514.000000,416632300.000000,0.000000,370566,.,.,204151.000000,131720.000000,,1.54988612208,310788,.,.,200937.000000,82209.000000,,2.44422143561,59778,.,.,3214.000000,49511.000000,,0.0649148674032,991207,.,.,839978.000000,123528.000000,,6.7998996179,330065,.,.,241748.000000,81645.000000,,2.96096515402,189985,.,.,183185.000000,53.000000,,3456.32075472,471157,.,.,415045.000000,41830.000000,,9.92218503466
INDEL,*,alldifficultregions,PASS,*,QUAL,*,0.838685,0.634679,0.475337,0.722558,55080,15197,642823514.000000,416632300.000000,0.000000,370566,.,.,204151.000000,131720.000000,,1.54988612208,310788,.,.,200937.000000,82209.000000,,2.44422143561,59778,.,.,3214.000000,49511.000000,,0.0649148674032,991207,.,.,839978.000000,123528.000000,,6.7998996179,330065,.,.,241748.000000,81645.000000,,2.96096515402,189985,.,.,183185.000000,53.000000,,3456.32075472,471157,.,.,415045.000000,41830.000000,,9.92218503466
INDEL,*,alllowmapandsegdupregions,ALL,*,QUAL,*,0.960167,0.724852,0.781523,0.826078,499,302,305614803.000000,145229641.000000,0.000000,17523,.,.,10060.000000,7050.000000,,1.42695035461,16825,.,.,9856.000000,6594.000000,,1.49469214437,698,.,.,204.000000,456.000000,,0.447368421053,106565,.,.,82660.000000,21849.000000,,3.78323950753,16876,.,.,10295.000000,6500.000000,,1.58384615385,6406,.,.,6329.000000,27.000000,,234.407407407,83283,.,.,66036.000000,15322.000000,,4.30988121655
INDEL,*,alllowmapandsegdupregions,PASS,*,QUAL,*,0.960167,0.724852,0.781523,0.826078,499,302,305614803.000000,145229641.000000,0.000000,17523,.,.,10060.000000,7050.000000,,1.42695035461,16825,.,.,9856.000000,6594.000000,,1.49469214437,698,.,.,204.000000,456.000000,,0.447368421053,106565,.,.,82660.000000,21849.000000,,3.78323950753,16876,.,.,10295.000000,6500.000000,,1.58384615385,6406,.,.,6329.000000,27.000000,,234.407407407,83283,.,.,66036.000000,15322.000000,,4.30988121655
INDEL,*,collapsed_duplication_FP_regions,ALL,*,QUAL,*,0.898876,0.595588,0.971548,0.716458,5,3,8015146.000000,676291.000000,0.000000,89,.,.,44.000000,43.000000,,1.02325581395,80,.,.,37.000000,41.000000,,0.90243902439,9,.,.,7.000000,2.000000,,3.5,4780,.,.,3807.000000,877.000000,,4.3409350057,81,.,.,39.000000,41.000000,,0.951219512195,55,.,.,51.000000,3.000000,,17.0,4644,.,.,3717.000000,833.000000,,4.46218487395
INDEL,*,collapsed_duplication_FP_regions,PASS,*,QUAL,*,0.898876,0.595588,0.971548,0.716458,5,3,8015146.000000,676291.000000,0.000000,89,.,.,44.000000,43.000000,,1.02325581395,80,.,.,37.000000,41.000000,,0.90243902439,9,.,.,7.000000,2.000000,,3.5,4780,.,.,3807.000000,877.000000,,4.3409350057,81,.,.,39.000000,41.000000,,0.951219512195,55,.,.,51.000000,3.000000,,17.0,4644,.,.,3717.000000,833.000000,,4.46218487395
INDEL,*,false_duplications_correct_copy,ALL,*,QUAL,*,0.903226,0.245614,0.816425,0.386207,2,0,1237625.000000,683527.000000,0.000000,31,.,.,28.000000,3.000000,,9.33333333333,28,.,.,25.000000,3.000000,,8.33333333333,3,.,.,3.000000,0.000000,,,621,.,.,514.000000,99.000000,,5.19191919192,28,.,.,25.000000,3.000000,,8.33333333333,86,.,.,83.000000,3.000000,,27.6666666667,507,.,.,406.000000,93.000000,,4.36559139785
INDEL,*,false_duplications_correct_copy,PASS,*,QUAL,*,0.903226,0.245614,0.816425,0.386207,2,0,1237625.000000,683527.000000,0.000000,31,.,.,28.000000,3.000000,,9.33333333333,28,.,.,25.000000,3.000000,,8.33333333333,3,.,.,3.000000,0.000000,,,621,.,.,514.000000,99.000000,,5.19191919192,28,.,.,25.000000,3.000000,,8.33333333333,86,.,.,83.000000,3.000000,,27.6666666667,507,.,.,406.000000,93.000000,,4.36559139785
INDEL,*,gnomAD_InbreedingCoeff_slop1bp_merge1000bp,ALL,*,QUAL,*,0.801031,0.76892,0.818585,0.784647,1039,263,13528469.000000,2276581.000000,0.000000,6011,.,.,1627.000000,3739.000000,,0.435143086387,4815,.,.,1541.000000,2728.000000,,0.564882697947,1196,.,.,86.000000,1011.000000,,0.0850642927794,36783,.,.,29583.000000,6657.000000,,4.44389364579,5131,.,.,2387.000000,2689.000000,,0.887690591298,1542,.,.,1492.000000,7.000000,,213.142857143,30110,.,.,25704.000000,3961.000000,,6.48927038627
