chrom	start	end	in_tpbase	in_tp	in_fn	in_fp	refined	out_tpbase	out_tp	out_fn	out_fp	state
chr1	936171	936431	0	0	0	0	False	0	0	0	0	TN
chr1	948600	948821	0	0	0	0	False	0	0	0	0	TN
chr1	976604	977954	2	2	3	1	True	2	2	2	0	FN
chr1	988723	988944	0	0	0	0	False	0	0	0	0	TN
chr1	1029330	1029551	0	0	0	0	False	0	0	0	0	TN
chr1	1030778	1031037	0	0	0	0	False	0	0	0	0	TN
chr1	1041661	1041928	0	0	0	0	False	0	0	0	0	TN
chr1	1064824	1065349	1	1	2	0	True	1	1	1	0	FN
chr1	1068636	1068934	1	1	0	0	False	1	1	0	0	TP
chr1	1076142	1077273	0	0	4	1	True	0	0	2	1	FN,FP
chr1	1078570	1079391	0	0	3	0	False	0	0	3	0	FN
chr1	1139239	1140387	0	0	3	1	True	1	1	1	0	FN
chr1	1157185	1157445	0	0	0	0	False	0	0	0	0	TN
chr1	1167908	1168163	0	0	0	0	False	0	0	0	0	TN
chr1	1201667	1201888	1	1	0	0	False	1	1	0	0	TP
chr1	1240534	1240755	0	0	0	0	False	0	0	0	0	TN
chr1	1248926	1249147	1	1	1	0	True	1	1	1	0	FN
chr1	1288189	1289994	1	1	10	1	True	2	2	8	0	FN
chr1	1339818	1340039	0	0	0	0	False	0	0	0	0	TN
chr1	1605405	1606189	0	0	2	1	True	1	1	0	0	TP
chr1	1934149	1935694	1	1	0	0	False	1	1	0	0	TP
chr1	1937730	1937982	0	0	0	0	False	0	0	0	0	TN
chr1	1954907	1955128	0	0	0	0	False	0	0	0	0	TN
chr1	2121395	2124407	5	5	10	2	True	5	5	3	1	FN,FP
chr1	2280594	2282271	1	1	5	2	True	4	4	2	0	FN
chr1	2289499	2289720	0	0	0	0	False	0	0	0	0	TN
chr1	2309587	2309845	0	0	0	0	False	0	0	0	0	TN
chr1	2331872	2332093	0	0	0	0	False	0	0	0	0	TN
chr1	2392923	2393144	0	0	0	0	False	0	0	0	0	TN
chr1	2500671	2500931	0	0	0	0	False	0	0	0	0	TN
chr1	2798060	2798328	0	0	0	0	False	0	0	0	0	TN
chr1	2859126	2859674	3	3	1	0	True	1	1	2	1	FN,FP
chr1	2863071	2863292	0	0	0	0	False	0	0	0	0	TN
chr1	2877432	2877653	0	0	0	0	False	0	0	0	0	TN
chr1	3016266	3016796	2	1	1	0	True	2	1	0	0	TP
chr1	3111354	3111575	0	0	0	0	False	0	0	0	0	TN
chr1	3181196	3181558	2	1	1	1	True	3	2	0	0	TP
chr1	3255741	3255962	0	0	0	0	False	0	0	0	0	TN
chr1	3299189	3300386	1	1	1	0	True	1	1	0	0	TP
chr1	3402933	3403185	0	0	0	0	False	0	0	0	0	TN
chr1	3443113	3443370	0	0	0	0	False	0	0	0	0	TN
chr1	3477192	3477413	0	0	2	0	False	0	0	2	0	FN
chr1	3583213	3583872	3	3	0	0	False	3	3	0	0	TP
chr1	3587746	3588406	3	2	1	0	True	3	2	0	0	TP
chr1	3640379	3640637	0	0	0	0	False	0	0	0	0	TN
chr1	3693647	3694976	2	2	1	1	True	2	2	1	1	FN,FP
chr1	3739373	3739666	0	0	1	0	False	0	0	1	0	FN
chr1	3820383	3820604	0	0	0	0	False	0	0	0	0	TN
chr1	3892192	3892643	1	1	0	0	False	1	1	0	0	TP
chr1	3895405	3895670	0	0	0	0	False	0	0	0	0	TN
chr1	3929387	3930080	0	0	2	0	False	0	0	2	0	FN
chr1	3973425	3973760	0	0	1	1	True	0	0	1	1	FN,FP
chr1	4064812	4066489	0	0	4	2	True	2	2	0	0	TP
chr1	4077128	4078587	1	1	3	3	True	3	3	1	0	FN
chr1	4099747	4100141	0	0	2	0	False	0	0	2	0	FN
chr1	4318281	4318533	0	0	0	0	False	0	0	0	0	TN
chr1	4326926	4327147	0	0	0	0	False	0	0	0	0	TN
chr1	4331679	4333689	6	6	4	1	True	7	7	2	1	FN,FP
chr1	4514984	4515247	0	0	0	0	False	0	0	0	0	TN
chr1	4520612	4520833	0	0	0	0	False	0	0	0	0	TN
chr1	4600058	4600279	0	0	0	0	False	0	0	0	0	TN
chr1	4632443	4633536	3	3	4	1	True	1	1	5	0	FN
chr1	4649174	4649722	0	0	0	0	False	0	0	0	0	TN
chr1	4666407	4666660	0	0	0	0	False	0	0	0	0	TN
chr1	4729474	4729695	0	0	0	0	False	0	0	0	0	TN
chr1	4834921	4835142	0	0	0	0	False	0	0	0	0	TN
chr1	4969085	4969306	0	0	0	0	False	0	0	0	0	TN
chr1	5198973	5199239	0	0	0	0	False	0	0	0	0	TN
chr1	5246057	5246801	1	1	0	0	False	1	1	0	0	TP
chr1	5404790	5405011	0	0	0	0	False	0	0	0	0	TN
chr1	5523271	5523551	0	0	2	0	False	0	0	2	0	FN
chr1	5655758	5656020	0	0	0	0	False	0	0	0	0	TN
chr1	5667511	5668228	1	1	0	0	False	1	1	0	0	TP
chr1	5701642	5701863	0	0	0	0	False	0	0	0	0	TN
chr1	5722305	5722526	0	0	0	0	False	0	0	0	0	TN
chr1	5816787	5817381	1	1	2	1	True	1	1	1	1	FN,FP
chr1	5884336	5884606	0	0	0	0	False	0	0	0	0	TN
chr1	6004927	6006682	2	2	7	0	True	1	1	2	0	FN
chr1	6012166	6012683	1	1	1	1	True	2	2	1	1	FN,FP
chr1	6107490	6107711	0	0	0	0	False	0	0	0	0	TN
chr1	6154974	6155234	0	0	0	0	False	0	0	0	0	TN
chr1	6715428	6715649	0	0	0	0	False	0	0	0	0	TN
chr1	6897364	6897585	0	0	0	0	False	0	0	0	0	TN
chr1	7139138	7139359	0	0	0	0	False	0	0	0	0	TN
chr1	7456919	7457173	0	0	0	0	False	0	0	0	0	TN
chr1	7515000	7515221	0	0	0	0	False	0	0	0	0	TN
chr1	7803253	7803543	0	0	2	0	False	0	0	2	0	FN
chr1	7903001	7903222	0	0	0	0	False	0	0	0	0	TN
chr1	8157754	8158009	0	0	0	0	False	0	0	0	0	TN
chr1	8645945	8646212	0	0	0	0	False	0	0	0	0	TN
chr1	9123160	9123856	0	0	0	0	False	0	0	0	0	TN
chr1	9142792	9143048	0	0	0	0	False	0	0	0	0	TN
chr1	9592530	9592796	0	0	0	0	False	0	0	0	0	TN
chr1	10187484	10188203	2	1	2	1	True	3	2	0	0	TP
chr1	10785024	10785245	0	0	1	0	False	0	0	1	0	FN
chr1	11069133	11069354	0	0	0	0	False	0	0	0	0	TN
chr1	11522452	11522970	2	1	1	0	True	2	1	0	0	TP
chr1	11641571	11641792	0	0	0	0	False	0	0	0	0	TN
chr1	11882617	11882838	0	0	0	0	False	0	0	0	0	TN
chr1	11909476	11909697	0	0	0	0	False	0	0	0	0	TN
chr1	13522005	13522258	0	0	0	0	False	0	0	0	0	TN
chr1	13588869	13589090	0	0	1	0	False	0	0	1	0	FN
chr1	14092422	14092684	0	0	0	0	False	0	0	0	0	TN
chr1	14109702	14112554	0	0	3	0	False	0	0	3	0	FN
chr1	14133266	14133526	0	0	0	0	False	0	0	0	0	TN
chr1	14492554	14492829	2	1	1	0	True	1	1	0	0	TP
chr1	14514230	14514611	1	1	2	0	True	1	1	2	0	FN
chr1	14681522	14681783	0	0	0	0	False	0	0	0	0	TN
chr1	14958250	14958511	0	0	0	0	False	0	0	0	0	TN
chr1	16192687	16192908	0	0	0	0	False	0	0	0	0	TN
chr1	17191795	17192024	1	1	1	0	True	2	1	0	0	TP
chr1	17235178	17235399	0	0	0	0	False	0	0	0	0	TN
chr1	17241340	17241705	1	1	0	0	False	1	1	0	0	TP
chr1	17351927	17352148	0	0	0	0	False	0	0	0	0	TN
chr1	18049526	18049947	3	2	1	0	True	4	3	2	0	FN
chr1	18177233	18177454	0	0	0	0	False	0	0	0	0	TN
chr1	18330409	18330791	1	1	0	0	False	1	1	0	0	TP
chr1	18357322	18357579	0	0	0	0	False	0	0	0	0	TN
chr1	18359251	18359472	0	0	0	0	False	0	0	0	0	TN
chr1	18363364	18363616	0	0	0	0	False	0	0	0	0	TN
chr1	18478483	18478704	0	0	0	0	False	0	0	0	0	TN
chr1	18502721	18503038	0	0	2	0	False	0	0	2	0	FN
chr1	19143143	19143408	0	0	0	0	False	0	0	0	0	TN
chr1	19471754	19472005	0	0	0	0	False	0	0	0	0	TN
chr1	20496307	20496560	0	0	0	0	False	0	0	0	0	TN
chr1	20599506	20599727	0	0	0	0	False	0	0	0	0	TN
chr1	20608299	20608520	0	0	0	0	False	0	0	0	0	TN
chr1	20981409	20981728	1	1	1	0	True	1	1	0	0	TP
chr1	21023823	21024084	0	0	0	0	False	0	0	0	0	TN
chr1	21179677	21180181	2	1	2	1	True	3	2	0	0	TP
chr1	21388116	21388857	1	1	2	0	True	1	1	0	0	TP
chr1	21526904	21527125	0	0	0	0	False	0	0	0	0	TN
chr1	22370066	22370287	0	0	0	0	False	0	0	0	0	TN
chr1	22394143	22394364	0	0	0	0	False	0	0	0	0	TN
chr1	22570329	22570550	0	0	1	0	False	0	0	1	0	FN
chr1	22599575	22599848	0	0	0	1	False	0	0	0	1	FP
chr1	22658786	22659043	0	0	0	0	False	0	0	0	0	TN
chr1	23017066	23017329	0	0	0	0	False	0	0	0	0	TN
chr1	23218397	23218618	0	0	0	0	False	0	0	0	0	TN
chr1	23392294	23392555	0	0	3	1	True	3	2	0	0	TP
chr1	23503945	23504206	0	0	0	0	False	0	0	0	0	TN
chr1	23710754	23710975	0	0	0	0	False	0	0	0	0	TN
chr1	23899699	23900066	0	0	3	1	True	2	1	0	0	TP
chr1	23935592	23935948	0	0	0	0	False	0	0	0	0	TN
chr1	24048059	24048315	0	0	0	0	False	0	0	0	0	TN
chr1	24162692	24162946	0	0	0	0	False	0	0	0	0	TN
chr1	24211875	24212483	1	1	3	1	True	3	3	2	0	FN
chr1	24344932	24345267	1	1	2	1	True	1	1	3	1	FN,FP
chr1	24873504	24873725	0	0	0	0	False	0	0	0	0	TN
chr1	25111721	25111942	0	0	0	0	False	0	0	0	0	TN
chr1	25321563	25321784	0	0	0	0	False	0	0	0	0	TN
chr1	25462685	25462906	0	0	0	0	False	0	0	0	0	TN
chr1	25808188	25808454	0	0	0	0	False	0	0	0	0	TN
