chrom	start	end	in_tpbase	in_tp	in_fn	in_fp	refined	out_tpbase	out_tp	out_fn	out_fp	state
chr1	936156	936415	0	0	0	0	False	0	0	0	0	TN
chr1	948600	948821	0	0	0	0	False	0	0	0	0	TN
chr1	976636	977955	2	2	3	1	True	3	3	6	0	FN
chr1	988708	988929	0	0	0	0	False	0	0	0	0	TN
chr1	1029275	1029496	0	0	0	0	False	0	0	0	0	TN
chr1	1030778	1031037	0	0	0	0	False	0	0	0	0	TN
chr1	1041665	1041933	0	0	0	0	False	0	0	0	0	TN
chr1	1064884	1065349	0	0	3	0	False	0	0	3	0	FN
chr1	1076142	1077273	0	0	4	0	False	0	0	4	0	FN
chr1	1078334	1079391	1	1	2	0	True	1	1	3	0	FN
chr1	1080805	1081026	1	1	1	0	True	1	1	1	0	FN
chr1	1139239	1140351	0	0	3	0	False	0	0	3	0	FN
chr1	1141252	1141473	0	0	1	0	False	0	0	1	0	FN
chr1	1157183	1157442	0	0	0	0	False	0	0	0	0	TN
chr1	1245047	1245268	0	0	1	0	False	0	0	1	0	FN
chr1	1248926	1249147	0	0	2	0	False	0	0	2	0	FN
chr1	1284060	1284281	1	1	1	0	True	1	1	1	0	FN
chr1	1288189	1289965	3	3	8	0	True	3	3	8	0	FN
chr1	1605405	1606189	0	0	2	0	False	0	0	2	0	FN
chr1	1924112	1924333	0	0	1	0	False	0	0	1	0	FN
chr1	1929273	1929494	0	0	2	0	False	0	0	2	0	FN
chr1	1934878	1935694	0	0	1	0	False	0	0	1	0	FN
chr1	1948823	1949044	0	0	1	0	False	0	0	1	0	FN
chr1	1954907	1955128	0	0	0	0	False	0	0	0	0	TN
chr1	2085616	2085837	0	0	1	0	False	0	0	1	0	FN
chr1	2106523	2106919	0	0	1	1	True	1	1	1	0	FN
chr1	2121412	2124407	1	1	14	0	True	1	1	7	0	FN
chr1	2142211	2142517	0	0	1	0	False	0	0	1	0	FN
chr1	2211953	2212174	0	0	1	0	False	0	0	1	0	FN
chr1	2280609	2282375	2	2	4	0	True	2	2	4	0	FN
chr1	2325010	2325231	0	0	2	0	False	0	0	2	0	FN
chr1	2392938	2393159	0	0	0	0	False	0	0	0	0	TN
chr1	2500668	2500929	0	0	0	0	False	0	0	0	0	TN
chr1	2852221	2852870	0	0	2	0	False	0	0	2	0	FN
chr1	2859126	2859674	0	0	4	0	False	0	0	4	0	FN
chr1	2877432	2877653	0	0	0	0	False	0	0	0	0	TN
chr1	3016266	3016796	2	1	1	0	True	2	1	0	0	TP
chr1	3037673	3037894	0	0	1	0	False	0	0	1	0	FN
chr1	3111355	3111576	0	0	0	0	False	0	0	0	0	TN
chr1	3181133	3181558	2	1	1	0	True	2	1	1	0	FN
chr1	3255741	3255962	0	0	0	0	False	0	0	0	0	TN
chr1	3325919	3326199	0	0	1	0	False	0	0	1	0	FN
chr1	3345646	3345933	0	0	1	0	False	0	0	1	0	FN
chr1	3351413	3351634	0	0	2	0	False	0	0	2	0	FN
chr1	3402925	3403177	0	0	0	0	False	0	0	0	0	TN
chr1	3443114	3443372	0	0	0	0	False	0	0	0	0	TN
chr1	3477192	3477413	0	0	2	0	False	0	0	2	0	FN
chr1	3501906	3502127	1	1	1	0	True	1	1	1	0	FN
chr1	3583231	3583872	1	1	2	1	True	3	3	3	0	FN
chr1	3587746	3588406	2	1	2	0	True	2	1	1	0	FN
chr1	3596373	3596594	0	0	1	0	False	0	0	1	0	FN
chr1	3640374	3640631	0	0	0	0	False	0	0	0	0	TN
chr1	3681743	3682037	0	0	1	0	False	0	0	1	0	FN
chr1	3693647	3694967	2	2	1	0	True	2	2	1	0	FN
chr1	3800327	3800698	0	0	1	0	False	0	0	1	0	FN
chr1	3820383	3820604	0	0	0	0	False	0	0	0	0	TN
chr1	3892192	3892654	1	1	0	0	False	1	1	0	0	TP
chr1	3895406	3895670	0	0	0	0	False	0	0	0	0	TN
chr1	3929387	3930080	0	0	2	0	False	0	0	2	0	FN
chr1	3973425	3973760	0	0	1	1	True	0	0	1	1	FN,FP
chr1	4016828	4017062	1	1	1	0	True	2	1	1	0	FN
chr1	4064812	4066489	0	0	4	2	True	2	2	0	0	TP
chr1	4077128	4078587	1	1	3	2	True	3	3	3	0	FN
chr1	4099747	4100141	0	0	2	0	False	0	0	2	0	FN
chr1	4318276	4318529	0	0	0	0	False	0	0	0	0	TN
chr1	4331679	4333689	1	1	9	1	True	3	3	5	0	FN
chr1	4420164	4420445	0	0	1	0	False	0	0	1	0	FN
chr1	4515008	4515272	0	0	0	0	False	0	0	0	0	TN
chr1	4520612	4520833	0	0	0	0	False	0	0	0	0	TN
chr1	4600058	4600279	0	0	0	0	False	0	0	0	0	TN
chr1	4632442	4633536	2	2	5	3	True	2	2	3	0	FN
chr1	4649176	4649717	0	0	0	0	False	0	0	0	0	TN
chr1	4666397	4666650	0	0	0	0	False	0	0	0	0	TN
chr1	4729474	4729695	0	0	0	0	False	0	0	0	0	TN
chr1	4834921	4835142	0	0	0	0	False	0	0	0	0	TN
chr1	4969085	4969306	0	0	0	0	False	0	0	0	0	TN
