chrom	start	end	in_tpbase	in_tp	in_fn	in_fp	refined	out_tpbase	out_tp	out_fn	out_fp	state
chr1	976636	977954	1	1	4	1	True	2	2	3	1	FN,FP
chr1	1041665	1041933	0	0	0	0	False	0	0	0	0	TN
chr1	1064884	1065349	2	2	1	0	True	2	2	1	0	FN
chr1	1076142	1077273	1	1	3	0	True	1	1	1	0	FN
chr1	1078570	1079391	0	0	3	0	False	0	0	3	0	FN
chr1	1139239	1140387	1	1	2	1	True	1	1	3	0	FN
chr1	1288177	1289957	3	3	8	1	True	6	6	6	1	FN,FP
chr1	1605405	1606189	0	0	2	0	False	0	0	2	0	FN
chr1	2121412	2124407	5	5	10	1	True	6	6	1	0	FN
chr1	2280609	2282012	3	3	3	1	True	1	1	3	0	FN
chr1	2798065	2798334	0	0	0	0	False	0	0	0	0	TN
chr1	2859126	2859674	2	2	2	0	True	1	1	2	0	FN
chr1	3016266	3016796	1	1	2	0	True	1	1	2	0	FN
chr1	3042541	3042762	0	0	1	0	False	0	0	1	0	FN
chr1	3181222	3181558	1	1	2	0	True	2	2	1	0	FN
chr1	3260631	3260852	1	1	1	0	True	1	1	1	0	FN
chr1	3298579	3300386	1	1	1	0	True	1	1	1	0	FN
chr1	3477192	3477413	1	1	1	0	True	1	1	1	0	FN
chr1	3583231	3583872	2	2	1	0	True	1	1	4	1	FN,FP
chr1	3587746	3588406	2	2	2	0	True	2	2	1	0	FN
chr1	3891794	3892643	1	1	0	0	False	1	1	0	0	TP
chr1	3929387	3930080	0	0	2	0	False	0	0	2	0	FN
chr1	3973425	3973760	0	0	1	1	True	0	0	1	1	FN,FP
chr1	4064812	4066489	0	0	4	2	True	2	2	0	0	TP
chr1	4077128	4078587	2	2	2	2	True	6	6	0	0	TP
chr1	4099747	4100297	1	1	1	0	True	1	1	0	0	TP
chr1	4331679	4333689	3	3	7	2	True	6	6	1	1	FN,FP
chr1	4632375	4633536	3	3	4	1	True	1	1	4	1	FN,FP
chr1	4649174	4649717	0	0	0	0	False	0	0	0	0	TN
chr1	5198974	5199240	0	0	0	0	False	0	0	0	0	TN
chr1	5246061	5246801	1	1	0	0	False	1	1	0	0	TP
chr1	5334010	5334231	1	1	1	0	True	1	1	1	0	FN
chr1	5387058	5387279	2	1	0	1	True	2	1	0	0	TP
chr1	5523271	5523551	0	0	2	0	False	0	0	2	0	FN
chr1	5816881	5817381	1	1	2	0	True	1	1	1	0	FN
chr1	5884337	5884607	0	0	0	0	False	0	0	0	0	TN
chr1	6004831	6006650	5	5	4	0	True	1	1	3	1	FN,FP
chr1	6742446	6742667	1	1	1	0	True	1	1	1	0	FN
chr1	7803253	7803543	0	0	2	0	False	0	0	2	0	FN
chr1	7864725	7865601	1	1	1	0	True	1	1	1	0	FN
chr1	8645944	8646211	0	0	0	0	False	0	0	0	0	TN
chr1	9592530	9592796	0	0	0	0	False	0	0	0	0	TN
chr1	10187484	10188203	2	1	2	1	True	3	2	0	0	TP
chr1	10970964	10971185	1	1	1	0	True	1	1	1	0	FN
chr1	11522452	11522860	2	1	1	0	True	2	1	0	0	TP
chr1	14109702	14112554	1	1	2	0	True	0	0	2	1	FN,FP
chr1	14492554	14492829	2	1	1	0	True	3	2	0	0	TP
