chrom	start	end	in_tpbase	in_tp	in_fn	in_fp	refined	out_tpbase	out_tp	out_fn	out_fp	state
chr1	936167	936427	0	0	0	0	False	0	0	0	0	TN
chr1	948600	948821	0	0	0	0	False	0	0	0	0	TN
chr1	976636	977954	1	1	4	0	True	1	1	6	0	FN
chr1	988708	988929	0	0	0	0	False	0	0	0	0	TN
chr1	996171	996838	1	1	1	0	True	1	1	0	0	TP
chr1	1029275	1029496	0	0	0	0	False	0	0	0	0	TN
chr1	1030783	1031042	0	0	0	0	False	0	0	0	0	TN
chr1	1041665	1041933	0	0	0	0	False	0	0	0	0	TN
chr1	1064884	1065349	0	0	3	0	False	0	0	3	0	FN
chr1	1076142	1077273	0	0	4	0	False	0	0	4	0	FN
chr1	1078570	1079391	0	0	3	0	False	0	0	3	0	FN
chr1	1080805	1081026	1	1	1	0	True	1	1	1	0	FN
chr1	1139239	1140351	0	0	3	0	False	0	0	3	0	FN
chr1	1141252	1141473	0	0	1	0	False	0	0	1	0	FN
chr1	1157184	1157444	0	0	0	0	False	0	0	0	0	TN
chr1	1201667	1202090	1	1	0	0	False	1	1	0	0	TP
chr1	1245047	1245268	0	0	1	0	False	0	0	1	0	FN
chr1	1248926	1249147	0	0	2	0	False	0	0	2	0	FN
chr1	1284060	1284281	1	1	1	0	True	1	1	1	0	FN
chr1	1288189	1289957	0	0	11	0	False	0	0	11	0	FN
chr1	1605405	1606189	0	0	2	1	True	1	1	0	0	TP
chr1	1924112	1924333	0	0	1	0	False	0	0	1	0	FN
chr1	1929273	1929494	0	0	2	0	False	0	0	2	0	FN
chr1	1934878	1935694	0	0	1	0	False	0	0	1	0	FN
chr1	1948823	1949044	0	0	1	0	False	0	0	1	0	FN
chr1	1954907	1955128	0	0	0	0	False	0	0	0	0	TN
chr1	2085616	2085837	0	0	1	0	False	0	0	1	0	FN
chr1	2121412	2124407	0	0	15	0	False	0	0	15	0	FN
chr1	2142211	2142517	0	0	1	0	False	0	0	1	0	FN
chr1	2211953	2212174	0	0	1	0	False	0	0	1	0	FN
chr1	2280591	2282330	1	1	5	1	True	1	1	5	1	FN,FP
chr1	2325010	2325231	0	0	2	0	False	0	0	2	0	FN
chr1	2392938	2393159	0	0	0	0	False	0	0	0	0	TN
chr1	2500668	2500929	0	0	0	0	False	0	0	0	0	TN
chr1	2852221	2852870	0	0	2	0	False	0	0	2	0	FN
chr1	2859126	2859674	0	0	4	0	False	0	0	4	0	FN
chr1	2877432	2877653	0	0	0	0	False	0	0	0	0	TN
chr1	3016266	3016796	2	1	1	0	True	2	1	0	0	TP
chr1	3037673	3037894	0	0	1	0	False	0	0	1	0	FN
chr1	3111355	3111576	0	0	0	0	False	0	0	0	0	TN
chr1	3181196	3181558	1	1	2	1	True	1	1	1	0	FN
chr1	3255741	3255962	0	0	0	0	False	0	0	0	0	TN
chr1	3299189	3300387	1	1	1	0	True	1	1	0	0	TP
chr1	3325919	3326199	0	0	1	0	False	0	0	1	0	FN
chr1	3345646	3345933	0	0	1	0	False	0	0	1	0	FN
chr1	3351413	3351634	0	0	2	0	False	0	0	2	0	FN
chr1	3402927	3403179	0	0	0	0	False	0	0	0	0	TN
chr1	3443113	3443371	0	0	0	0	False	0	0	0	0	TN
chr1	3477192	3477413	0	0	2	0	False	0	0	2	0	FN
chr1	3501906	3502127	1	1	1	0	True	1	1	1	0	FN
chr1	3583247	3583872	0	0	3	0	False	0	0	3	0	FN
chr1	3587746	3588406	2	1	2	0	True	2	1	1	0	FN
chr1	3596373	3596594	0	0	1	0	False	0	0	1	0	FN
chr1	3640374	3640631	0	0	0	0	False	0	0	0	0	TN
chr1	3681743	3682037	0	0	1	0	False	0	0	1	0	FN
chr1	3693647	3694967	2	2	1	1	True	2	2	1	1	FN,FP
chr1	3800327	3800698	0	0	1	0	False	0	0	1	0	FN
chr1	3820383	3820604	0	0	0	0	False	0	0	0	0	TN
chr1	3892161	3892643	1	1	0	0	False	1	1	0	0	TP
chr1	3895406	3895670	0	0	0	0	False	0	0	0	0	TN
chr1	3929387	3930080	0	0	2	0	False	0	0	2	0	FN
chr1	3973425	3973760	0	0	1	1	True	0	0	1	1	FN,FP
chr1	3999651	4000010	1	1	1	0	True	1	1	1	0	FN
chr1	4064812	4066489	0	0	4	2	True	2	2	0	0	TP
chr1	4077128	4078587	1	1	3	3	True	3	3	1	0	FN
chr1	4099747	4100141	0	0	2	0	False	0	0	2	0	FN
chr1	4144517	4144738	1	1	0	1	True	1	1	0	1	FP
chr1	4318281	4318533	0	0	0	0	False	0	0	0	0	TN
chr1	4331679	4333689	2	2	8	0	True	2	2	6	1	FN,FP
chr1	4420164	4420445	0	0	1	0	False	0	0	1	0	FN
chr1	4515008	4515272	0	0	0	0	False	0	0	0	0	TN
chr1	4520612	4520833	0	0	0	0	False	0	0	0	0	TN
chr1	4600058	4600279	0	0	0	0	False	0	0	0	0	TN
chr1	4632443	4633536	2	2	5	1	True	1	1	6	0	FN
chr1	4649174	4649717	0	0	0	0	False	0	0	0	0	TN
chr1	4666397	4666650	0	0	0	0	False	0	0	0	0	TN
chr1	4729474	4729695	0	0	0	0	False	0	0	0	0	TN
chr1	4834921	4835142	0	0	0	0	False	0	0	0	0	TN
chr1	4939365	4939690	2	1	0	1	True	2	1	0	1	FP
chr1	4969085	4969306	0	0	0	0	False	0	0	0	0	TN
chr1	5198974	5199240	0	0	0	0	False	0	0	0	0	TN
chr1	5214415	5214636	0	0	0	0	False	0	0	0	0	TN
chr1	5225122	5225343	0	0	0	0	False	0	0	0	0	TN
chr1	5246061	5246801	1	1	0	0	False	1	1	0	0	TP
chr1	5387058	5387279	0	0	2	0	False	0	0	2	0	FN
chr1	5404790	5405011	0	0	0	0	False	0	0	0	0	TN
chr1	5414041	5414337	0	0	1	0	False	0	0	1	0	FN
chr1	5523271	5523551	0	0	2	0	False	0	0	2	0	FN
chr1	5655761	5656020	0	0	0	0	False	0	0	0	0	TN
chr1	5701642	5701863	0	0	0	0	False	0	0	0	0	TN
chr1	5722309	5722530	0	0	0	0	False	0	0	0	0	TN
chr1	5816784	5817381	0	0	3	1	True	0	0	1	1	FN,FP
chr1	5874117	5874338	0	0	1	0	False	0	0	1	0	FN
chr1	5884384	5884654	0	0	0	0	False	0	0	0	0	TN
chr1	5977793	5978014	0	0	2	0	False	0	0	2	0	FN
chr1	6004927	6006650	0	0	9	0	False	0	0	9	0	FN
chr1	6012166	6012683	1	1	1	1	True	2	2	1	1	FN,FP
chr1	6154969	6155229	0	0	0	0	False	0	0	0	0	TN
chr1	6742390	6742667	2	1	0	0	False	2	1	0	0	TP
chr1	6897362	6897583	0	0	0	0	False	0	0	0	0	TN
chr1	7114634	7115750	1	1	0	0	False	1	1	0	0	TP
chr1	7139138	7139359	0	0	0	0	False	0	0	0	0	TN
chr1	7456919	7457172	0	0	0	0	False	0	0	0	0	TN
chr1	7520108	7520329	0	0	2	0	False	0	0	2	0	FN
chr1	7803253	7803543	0	0	2	0	False	0	0	2	0	FN
chr1	7902983	7903204	0	0	0	0	False	0	0	0	0	TN
chr1	8157755	8158012	0	0	0	0	False	0	0	0	0	TN
chr1	8386456	8386677	0	0	1	0	False	0	0	1	0	FN
chr1	8441819	8442040	0	0	1	0	False	0	0	1	0	FN
chr1	8645946	8646213	0	0	0	0	False	0	0	0	0	TN
chr1	9077626	9077847	0	0	1	0	False	0	0	1	0	FN
chr1	9123163	9123856	0	0	0	0	False	0	0	0	0	TN
chr1	9282403	9282624	0	0	2	0	False	0	0	2	0	FN
chr1	9380144	9380365	0	0	0	0	False	0	0	0	0	TN
chr1	9592530	9592796	0	0	0	0	False	0	0	0	0	TN
chr1	9623877	9624098	0	0	2	0	False	0	0	2	0	FN
chr1	10187484	10188203	2	1	2	1	True	3	2	0	0	TP
chr1	10744233	10744622	0	0	1	0	False	0	0	1	0	FN
chr1	10785024	10785245	0	0	1	0	False	0	0	1	0	FN
chr1	11522452	11522860	2	1	1	0	True	2	1	1	0	FN
chr1	11641571	11641792	0	0	0	0	False	0	0	0	0	TN
chr1	11909476	11909697	0	0	0	0	False	0	0	0	0	TN
chr1	12042557	12042799	1	1	0	0	False	1	1	0	0	TP
chr1	13522002	13522255	0	0	0	0	False	0	0	0	0	TN
chr1	13588869	13589090	0	0	1	0	False	0	0	1	0	FN
chr1	14092420	14092681	0	0	0	0	False	0	0	0	0	TN
chr1	14109702	14112554	0	0	3	0	False	0	0	3	0	FN
chr1	14133268	14133526	0	0	0	0	False	0	0	0	0	TN
chr1	14492554	14492829	2	1	1	0	True	1	1	0	0	TP
chr1	14514218	14514611	2	2	1	0	True	3	2	0	0	TP
chr1	14681521	14681782	0	0	0	0	False	0	0	0	0	TN
chr1	14958250	14958511	0	0	0	0	False	0	0	0	0	TN
chr1	15038676	15039007	0	0	1	0	False	0	0	1	0	FN
chr1	16192687	16192908	0	0	0	0	False	0	0	0	0	TN
chr1	17191795	17192056	1	1	1	0	True	1	1	0	0	TP
chr1	17235178	17235399	0	0	0	0	False	0	0	0	0	TN
chr1	17289192	17289413	0	0	2	0	False	0	0	2	0	FN
chr1	17351927	17352148	0	0	0	0	False	0	0	0	0	TN
chr1	17689370	17689591	0	0	1	0	False	0	0	1	0	FN
chr1	17768204	17768425	0	0	1	0	False	0	0	1	0	FN
chr1	18049526	18050049	3	2	1	0	True	4	3	2	0	FN
chr1	18177277	18177498	0	0	0	0	False	0	0	0	0	TN
chr1	18330413	18330790	1	1	0	0	False	1	1	0	0	TP
chr1	18359255	18359476	0	0	0	0	False	0	0	0	0	TN
chr1	18363362	18363615	0	0	0	0	False	0	0	0	0	TN
chr1	18478483	18478800	0	0	0	0	False	0	0	0	0	TN
chr1	18502721	18502996	0	0	2	0	False	0	0	2	0	FN
chr1	19061306	19061527	0	0	2	0	False	0	0	2	0	FN
chr1	19143144	19143409	0	0	0	0	False	0	0	0	0	TN
chr1	19471754	19472005	0	0	0	0	False	0	0	0	0	TN
chr1	20496308	20496562	0	0	0	0	False	0	0	0	0	TN
chr1	20599506	20599727	0	0	0	0	False	0	0	0	0	TN
chr1	20608299	20608520	0	0	0	0	False	0	0	0	0	TN
chr1	20981409	20981741	1	1	1	0	True	1	1	0	0	TP
chr1	21023823	21024084	0	0	0	0	False	0	0	0	0	TN
chr1	21179677	21180181	2	1	2	1	True	3	2	0	0	TP
chr1	21388337	21388857	1	1	2	0	True	1	1	0	0	TP
chr1	21576113	21576334	0	0	1	0	False	0	0	1	0	FN
chr1	22370066	22370287	0	0	0	0	False	0	0	0	0	TN
chr1	22394176	22394397	0	0	0	0	False	0	0	0	0	TN
chr1	22570329	22570550	0	0	1	0	False	0	0	1	0	FN
chr1	22658787	22659043	0	0	0	0	False	0	0	0	0	TN
chr1	23017066	23017329	0	0	0	0	False	0	0	0	0	TN
chr1	23218397	23218618	0	0	0	0	False	0	0	0	0	TN
chr1	23392294	23392555	0	0	3	1	True	3	2	0	0	TP
