chrom	start	end	in_tpbase	in_tp	in_fn	in_fp	refined	out_tpbase	out_tp	out_fn	out_fp	state
chr1	976605	977954	1	1	4	1	True	3	3	2	2	FN,FP
chr1	996171	996838	1	1	1	0	True	1	1	0	0	TP
chr1	1041665	1041933	0	0	0	0	False	0	0	0	0	TN
chr1	1064884	1065349	1	1	2	0	True	1	1	1	0	FN
chr1	1076142	1079391	1	1	6	3	True	4	4	3	0	FN
chr1	1139239	1140399	1	1	2	1	True	1	1	3	0	FN
chr1	1248926	1249147	0	0	2	0	False	0	0	2	0	FN
chr1	1284060	1284281	1	1	1	0	True	1	1	1	0	FN
chr1	1288177	1289957	2	2	9	0	True	1	1	8	0	FN
chr1	1605405	1606189	0	0	2	0	False	0	0	2	0	FN
chr1	1929273	1929494	0	0	2	0	False	0	0	2	0	FN
chr1	2106438	2106919	0	0	1	2	True	2	2	0	0	TP
chr1	2121412	2124407	5	5	10	1	True	3	3	4	0	FN
chr1	2280609	2282102	2	2	4	2	True	3	3	2	0	FN
chr1	2325010	2325231	0	0	2	0	False	0	0	2	0	FN
chr1	2849308	2849574	1	1	1	0	True	1	1	1	0	FN
chr1	2859126	2859674	1	1	3	0	True	1	1	6	0	FN
chr1	3016266	3016796	2	2	1	0	True	2	2	1	0	FN
chr1	3181222	3181558	2	1	1	0	True	2	1	0	0	TP
chr1	3260631	3260852	1	1	1	0	True	1	1	1	0	FN
chr1	3298579	3300386	1	1	1	0	True	1	1	1	0	FN
chr1	3351413	3351634	0	0	2	0	False	0	0	2	0	FN
chr1	3477192	3477413	1	1	1	0	True	1	1	1	0	FN
chr1	3501906	3502127	1	1	1	0	True	1	1	1	0	FN
chr1	3583465	3583872	1	1	2	0	True	1	1	1	0	FN
chr1	3587746	3588406	2	2	2	0	True	1	1	2	0	FN
chr1	3892192	3892643	1	1	0	0	False	1	1	0	0	TP
chr1	3929387	3930080	0	0	2	0	False	0	0	2	0	FN
chr1	3973425	3973760	0	0	1	1	True	0	0	1	1	FN,FP
chr1	4064812	4066489	0	0	4	2	True	2	2	0	0	TP
chr1	4077128	4078587	2	2	2	2	True	5	5	1	0	FN
chr1	4099747	4100284	1	1	1	0	True	1	1	0	0	TP
chr1	4331679	4333689	1	1	9	0	True	2	2	4	0	FN
chr1	4632443	4633536	0	0	7	2	True	1	1	5	0	FN
chr1	4649174	4649717	0	0	0	0	False	0	0	0	0	TN
chr1	4939365	4939596	1	1	1	0	True	1	1	1	0	FN
chr1	5198974	5199240	0	0	0	0	False	0	0	0	0	TN
chr1	5246064	5246801	1	1	0	0	False	1	1	0	0	TP
chr1	5334010	5334231	1	1	1	0	True	1	1	1	0	FN
chr1	5387058	5387279	1	1	1	0	True	1	1	1	0	FN
chr1	5523271	5523551	0	0	2	0	False	0	0	2	0	FN
chr1	5816881	5817381	0	0	3	0	False	0	0	3	0	FN
chr1	5884337	5884607	0	0	0	0	False	0	0	0	0	TN
chr1	5977793	5978014	1	1	1	0	True	1	1	1	0	FN
chr1	6004852	6006650	5	5	4	0	True	0	0	4	0	FN
chr1	6742446	6742667	1	1	1	0	True	1	1	1	0	FN
chr1	7114923	7115750	1	1	0	1	True	1	1	0	0	TP
chr1	7520108	7520329	0	0	2	0	False	0	0	2	0	FN
chr1	7803253	7803543	0	0	2	0	False	0	0	2	0	FN
chr1	7864725	7865601	1	1	1	0	True	1	1	1	0	FN
chr1	8645944	8646211	0	0	0	0	False	0	0	0	0	TN
chr1	9592530	9592796	0	0	0	0	False	0	0	0	0	TN
chr1	9623877	9624098	1	1	1	0	True	1	1	1	0	FN
chr1	10187484	10188203	1	1	3	1	True	2	2	1	0	FN
chr1	10970964	10971185	1	1	1	0	True	1	1	1	0	FN
chr1	11522450	11522860	2	1	1	0	True	2	1	0	0	TP
chr1	14109702	14112554	1	1	2	0	True	1	1	1	0	FN
chr1	14492554	14492829	2	1	1	0	True	3	2	0	0	TP
chr1	14514230	14514611	1	1	2	1	True	2	2	1	0	FN
chr1	16166118	16166339	0	0	0	1	False	0	0	0	1	FP
chr1	17241340	17241829	0	0	1	2	True	1	1	0	0	TP
chr1	18049526	18049947	2	1	2	0	True	2	1	1	0	FN
chr1	18502721	18502996	0	0	2	0	False	0	0	2	0	FN
chr1	20623635	20623856	1	1	1	0	True	1	1	1	0	FN
chr1	20981409	20981727	1	1	1	0	True	1	1	0	0	TP
chr1	20988945	20989166	0	0	1	0	False	0	0	1	0	FN
chr1	21179677	21180181	2	2	2	0	True	1	1	1	2	FN,FP
chr1	21388167	21388857	0	0	3	1	True	1	1	0	0	TP
chr1	22577879	22578100	1	1	1	0	True	1	1	1	0	FN
chr1	22599573	22599846	0	0	0	1	False	0	0	0	1	FP
chr1	23276952	23277382	2	1	0	1	True	2	1	0	1	FP
chr1	23392294	23392555	0	0	3	1	True	3	2	0	0	TP
chr1	23899699	23900066	0	0	3	1	True	2	1	0	0	TP
chr1	23935674	23935944	0	0	0	0	False	0	0	0	0	TN
chr1	24067243	24067464	0	0	1	0	False	0	0	1	0	FN
chr1	24211875	24212483	0	0	4	1	True	2	2	2	0	FN
chr1	24344879	24345267	1	1	2	1	True	2	2	2	1	FN,FP
chr1	25808186	25808452	0	0	0	0	False	0	0	0	0	TN
chr1	26637591	26637882	0	0	0	1	False	0	0	0	1	FP
chr1	26650620	26650841	0	0	0	1	False	0	0	0	1	FP
chr1	27086384	27086605	1	1	1	0	True	1	1	1	0	FN
chr1	27878349	27878570	1	1	1	0	True	1	1	1	0	FN
chr1	29707311	29707532	0	0	1	0	False	0	0	1	0	FN
chr1	29727102	29727871	1	1	3	0	True	1	1	2	0	FN
chr1	29771200	29771823	2	1	1	0	True	2	1	0	0	TP
chr1	30488627	30488948	1	1	2	0	True	2	1	0	0	TP
chr1	30655349	30655791	1	1	4	0	True	1	1	1	0	FN
chr1	30773048	30773269	0	0	1	0	False	0	0	1	0	FN
chr1	30972149	30972476	1	1	1	0	True	1	1	1	0	FN
chr1	31431665	31432266	1	1	5	1	True	3	3	1	0	FN
chr1	32642666	32642887	1	1	1	0	True	1	1	1	0	FN
chr1	32738403	32738756	0	0	2	0	False	0	0	2	0	FN
chr1	34777496	34777950	1	1	2	1	True	1	1	2	0	FN
chr1	36267536	36268049	1	1	1	0	True	1	1	0	0	TP
chr1	36957343	36960257	3	3	1	0	True	8	8	2	0	FN
chr1	37753552	37753821	0	0	0	0	False	0	0	0	0	TN
chr1	38945735	38945956	1	1	1	0	True	1	1	1	0	FN
chr1	40046990	40047257	0	0	0	0	False	0	0	0	0	TN
chr1	41544756	41545063	1	1	4	0	True	1	1	1	0	FN
chr1	43904831	43905715	1	1	2	1	True	1	1	2	2	FN,FP
chr1	45497532	45497872	0	0	4	1	True	1	1	1	0	FN
chr1	45710130	45711014	2	1	2	1	True	1	1	2	0	FN
chr1	46776208	46776693	1	1	2	0	True	2	1	0	0	TP
chr1	47184348	47184569	1	1	1	0	True	1	1	1	0	FN
chr1	50381490	50382330	3	3	1	0	True	2	2	0	0	TP
chr1	50819571	50819840	0	0	0	0	False	0	0	0	0	TN
chr1	51906758	51906979	1	1	1	0	True	1	1	1	0	FN
chr1	53283311	53284306	0	0	4	2	True	1	1	1	1	FN,FP
chr1	54458682	54458983	1	1	2	0	True	1	1	2	0	FN
chr1	54561594	54561888	0	0	2	1	True	1	1	0	0	TP
chr1	55240122	55240343	1	1	1	0	True	1	1	1	0	FN
chr1	55508938	55509240	1	1	1	0	True	1	1	1	0	FN
chr1	55662429	55663927	2	2	1	0	True	2	2	1	0	FN
chr1	55665417	55666951	4	4	1	0	True	2	2	2	2	FN,FP
chr1	57134419	57134640	0	0	1	0	False	0	0	1	0	FN
chr1	60085570	60086029	0	0	5	1	True	2	1	0	0	TP
chr1	70646512	70647871	1	1	3	1	True	1	1	2	1	FN,FP
chr1	71898836	71899107	0	0	0	1	False	0	0	0	1	FP
chr1	71927938	71928545	3	3	1	0	True	4	4	1	0	FN
chr1	73129186	73129407	1	1	1	0	True	1	1	1	0	FN
chr1	75280026	75280317	1	1	2	0	True	2	1	0	0	TP
chr1	75902562	75902831	0	0	0	0	False	0	0	0	0	TN
chr1	77016061	77016282	1	1	0	1	True	1	1	0	1	FP
chr1	77444140	77444500	0	0	3	0	False	0	0	3	0	FN
chr1	80329042	80329451	0	0	1	0	False	0	0	1	0	FN
chr1	82255915	82256136	1	1	1	0	True	1	1	1	0	FN
chr1	82576850	82577627	0	0	2	2	True	0	0	0	0	TN
chr1	83013438	83013749	1	1	1	0	True	1	1	1	0	FN
chr1	83019021	83019433	1	1	1	0	True	1	1	1	0	FN
chr1	83892159	83892852	0	0	1	1	True	0	0	1	1	FN,FP
chr1	86216451	86216769	0	0	3	1	True	1	1	0	0	TP
chr1	86985344	86985621	0	0	1	0	False	0	0	1	0	FN
chr1	90378658	90379233	0	0	2	1	True	1	1	0	0	TP
chr1	91169199	91169468	0	0	0	0	False	0	0	0	0	TN
chr1	92821125	92821346	0	0	1	0	False	0	0	1	0	FN
chr1	93846862	93847138	0	0	2	0	False	0	0	2	0	FN
chr1	93876013	93883401	1	1	0	1	True	1	1	0	0	TP
chr1	94384354	94384624	0	0	0	0	False	0	0	0	0	TN
chr1	96265579	96265900	1	1	1	0	True	1	1	0	0	TP
chr1	97323234	97323455	0	0	1	0	False	0	0	1	0	FN
chr1	98512355	98513127	2	1	1	0	True	2	1	1	0	FN
chr1	101253091	101253961	2	2	1	0	True	2	2	0	1	FP
chr1	101402015	101402236	0	0	1	0	False	0	0	1	0	FN
chr1	101552586	101554064	1	1	6	1	True	1	1	2	0	FN
chr1	102103241	102103462	1	1	0	1	True	1	1	0	0	TP
chr1	103172962	103173305	2	1	1	0	True	2	1	1	0	FN
chr1	103364480	103365766	2	2	1	0	True	1	1	1	0	FN
chr1	104562163	104562384	1	1	1	0	True	1	1	1	0	FN
chr1	105769029	105769361	1	1	1	0	True	1	1	0	0	TP
chr1	108023060	108023585	1	1	2	0	True	1	1	1	0	FN
chr1	108666466	108666687	0	0	1	0	False	0	0	1	0	FN
chr1	108771295	108772526	1	1	7	0	True	1	1	2	0	FN
chr1	109177036	109177463	0	0	2	1	True	1	1	0	0	TP
chr1	109682887	109701553	0	0	1	0	False	0	0	1	0	FN
chr1	110120430	110120773	1	1	1	1	True	1	1	1	0	FN
chr1	111414781	111415080	0	0	1	0	False	0	0	1	0	FN
chr1	112146895	112147116	0	0	1	0	False	0	0	1	0	FN
chr1	113068589	113071265	1	1	1	0	True	1	1	1	0	FN
chr1	113416188	113416579	2	2	1	0	True	1	1	2	1	FN,FP
chr1	115568423	115568691	0	0	0	0	False	0	0	0	0	TN
chr1	116305798	116306019	0	0	1	0	False	0	0	1	0	FN
chr1	116436848	116437069	1	1	1	0	True	1	1	1	0	FN
chr1	117429424	117430135	1	1	2	1	True	3	3	0	1	FP
chr1	118318739	118319317	2	1	3	0	True	2	1	0	0	TP
