chrom	start	end	in_tpbase	in_tp	in_fn	in_fp	refined	out_tpbase	out_tp	out_fn	out_fp	state
chr1	936153	936413	0	0	0	0	False	0	0	0	0	TN
chr1	948600	948821	0	0	0	0	False	0	0	0	0	TN
chr1	976636	977954	1	1	4	1	True	4	4	0	0	TP
chr1	988708	988929	0	0	0	0	False	0	0	0	0	TN
chr1	996171	996838	1	1	1	0	True	1	1	0	0	TP
chr1	1030778	1031037	0	0	0	0	False	0	0	0	0	TN
chr1	1041665	1041933	0	0	0	0	False	0	0	0	0	TN
chr1	1064884	1065349	1	1	2	0	True	1	1	1	0	FN
chr1	1068713	1068934	1	1	0	0	False	1	1	0	0	TP
chr1	1076116	1077769	1	1	3	2	True	1	1	1	2	FN,FP
chr1	1078570	1079391	0	0	3	0	False	0	0	3	0	FN
chr1	1139239	1140387	1	1	2	1	True	2	2	0	0	TP
chr1	1157184	1157444	0	0	0	0	False	0	0	0	0	TN
chr1	1167898	1168154	0	0	0	0	False	0	0	0	0	TN
chr1	1240537	1240758	0	0	0	0	False	0	0	0	0	TN
chr1	1248926	1249623	1	1	1	0	True	1	1	1	0	FN
chr1	1288189	1289957	2	2	9	1	True	3	3	0	0	TP
chr1	1339773	1339994	0	0	0	0	False	0	0	0	0	TN
chr1	1605405	1606189	0	0	2	1	True	1	1	0	0	TP
chr1	1954907	1955128	0	0	0	0	False	0	0	0	0	TN
chr1	2121412	2124407	4	4	11	1	True	5	5	2	1	FN,FP
chr1	2211953	2212174	0	0	1	0	False	0	0	1	0	FN
chr1	2280609	2282071	0	0	6	2	True	3	3	0	1	FP
chr1	2289433	2289654	0	0	0	0	False	0	0	0	0	TN
chr1	2309566	2309825	0	0	0	0	False	0	0	0	0	TN
chr1	2325010	2325231	0	0	2	0	False	0	0	2	0	FN
chr1	2392923	2393144	0	0	0	0	False	0	0	0	0	TN
chr1	2459315	2459761	0	0	1	1	True	0	0	1	1	FN,FP
chr1	2500668	2500929	0	0	0	0	False	0	0	0	0	TN
chr1	2798065	2798334	0	0	0	0	False	0	0	0	0	TN
chr1	2852221	2852870	0	0	2	1	True	1	1	0	0	TP
chr1	2859126	2859698	2	2	2	0	True	2	2	2	0	FN
chr1	2863072	2863293	0	0	0	0	False	0	0	0	0	TN
