chrom	start	end	in_tpbase	in_tp	in_fn	in_fp	refined	out_tpbase	out_tp	out_fn	out_fp	state
chr1	936153	936413	0	0	0	0	False	0	0	0	0	TN
chr1	948560	948781	0	0	0	0	False	0	0	0	0	TN
chr1	976636	977954	1	1	4	1	True	2	2	3	1	FN,FP
chr1	988708	988929	0	0	0	0	False	0	0	0	0	TN
chr1	996171	996838	1	1	1	0	True	1	1	0	0	TP
chr1	1029275	1029496	0	0	0	0	False	0	0	0	0	TN
chr1	1030778	1031037	0	0	0	0	False	0	0	0	0	TN
chr1	1041665	1041933	0	0	0	0	False	0	0	0	0	TN
chr1	1064884	1065349	1	1	2	0	True	1	1	1	0	FN
chr1	1076142	1077273	1	1	3	0	True	1	1	1	0	FN
chr1	1078570	1079395	0	0	3	2	True	0	0	3	2	FN,FP
chr1	1139239	1140387	1	1	2	1	True	1	1	3	0	FN
chr1	1141252	1141473	0	0	1	0	False	0	0	1	0	FN
chr1	1157184	1157444	0	0	0	0	False	0	0	0	0	TN
chr1	1167898	1168154	0	0	0	0	False	0	0	0	0	TN
chr1	1240538	1240759	0	0	0	0	False	0	0	0	0	TN
chr1	1248926	1249147	0	0	2	0	False	0	0	2	0	FN
chr1	1284060	1284281	1	1	1	0	True	1	1	1	0	FN
chr1	1288189	1289957	1	1	10	0	True	1	1	8	0	FN
chr1	1339773	1339994	0	0	0	0	False	0	0	0	0	TN
chr1	1605405	1606189	0	0	2	1	True	1	1	0	0	TP
chr1	1929273	1929494	0	0	2	0	False	0	0	2	0	FN
chr1	1934878	1935694	0	0	1	0	False	0	0	1	0	FN
chr1	1937730	1937982	0	0	0	0	False	0	0	0	0	TN
chr1	1954907	1955128	0	0	0	0	False	0	0	0	0	TN
chr1	2121412	2124407	2	2	13	2	True	5	5	4	0	FN
chr1	2141941	2142517	1	1	0	1	True	1	1	0	1	FP
chr1	2280609	2282071	0	0	6	2	True	2	2	3	0	FN
chr1	2289433	2289654	0	0	0	0	False	0	0	0	0	TN
chr1	2309566	2309825	0	0	0	0	False	0	0	0	0	TN
chr1	2325010	2325231	0	0	2	0	False	0	0	2	0	FN
chr1	2331872	2332093	0	0	0	0	False	0	0	0	0	TN
chr1	2392923	2393144	0	0	0	0	False	0	0	0	0	TN
chr1	2459315	2459761	0	0	1	1	True	0	0	1	1	FN,FP
chr1	2500668	2500929	0	0	0	0	False	0	0	0	0	TN
chr1	2522680	2522901	1	1	1	0	True	1	1	1	0	FN
chr1	2798065	2798334	0	0	0	0	False	0	0	0	0	TN
chr1	2849308	2849574	1	1	1	0	True	1	1	1	0	FN
chr1	2852221	2852870	0	0	2	1	True	1	1	0	0	TP
chr1	2859126	2859674	2	2	2	0	True	2	2	4	0	FN
chr1	2863072	2863293	0	0	0	0	False	0	0	0	0	TN
chr1	2877432	2877653	0	0	0	0	False	0	0	0	0	TN
chr1	2976474	2977215	1	1	0	1	True	0	0	1	1	FN,FP
chr1	2980910	2981161	0	0	0	0	False	0	0	0	0	TN
