chrom	start	end	in_tpbase	in_tp	in_fn	in_fp	refined	out_tpbase	out_tp	out_fn	out_fp	state
chr1	976636	977955	2	2	3	0	True	2	2	3	0	FN
chr1	1041665	1041933	0	0	0	0	False	0	0	0	0	TN
chr1	1064884	1065349	1	1	2	0	True	1	1	2	0	FN
chr1	1076142	1077273	2	2	2	0	True	0	0	2	1	FN,FP
chr1	1078124	1079391	1	1	2	0	True	2	2	3	0	FN
chr1	1139239	1141473	3	3	1	1	True	1	1	4	1	FN,FP
chr1	1248926	1249147	1	1	1	0	True	1	1	1	0	FN
chr1	1288177	1289957	2	2	9	1	True	4	4	5	0	FN
chr1	1605405	1606189	0	0	2	0	False	0	0	2	0	FN
chr1	2106438	2106919	0	0	1	2	True	2	2	0	0	TP
chr1	2121412	2124407	4	4	11	0	True	4	4	3	0	FN
chr1	2280609	2282102	3	3	3	1	True	3	3	3	0	FN
chr1	2324994	2325231	2	1	0	1	True	2	1	0	0	TP
chr1	2798065	2798334	0	0	0	0	False	0	0	0	0	TN
chr1	2859126	2859674	2	2	2	0	True	2	2	1	0	FN
chr1	3016266	3016796	1	1	2	0	True	1	1	2	0	FN
chr1	3181222	3181558	1	1	2	0	True	1	1	1	0	FN
chr1	3260631	3260852	1	1	1	0	True	1	1	1	0	FN
chr1	3298579	3300386	1	1	1	0	True	1	1	1	0	FN
chr1	3477192	3477413	1	1	1	0	True	1	1	1	0	FN
chr1	3583231	3583872	2	2	1	0	True	1	1	2	2	FN,FP
chr1	3587746	3588406	2	2	2	0	True	1	1	2	0	FN
chr1	3892192	3892643	1	1	0	0	False	1	1	0	0	TP
chr1	3929387	3930080	0	0	2	0	False	0	0	2	0	FN
chr1	3973425	3973760	0	0	1	1	True	0	0	1	1	FN,FP
chr1	4064326	4066489	1	1	3	0	True	1	1	0	0	TP
chr1	4077128	4078587	2	2	2	2	True	5	5	1	0	FN
chr1	4099747	4100141	0	0	2	0	False	0	0	2	0	FN
chr1	4331679	4333689	1	1	9	1	True	3	3	5	2	FN,FP
chr1	4632443	4633536	2	2	5	1	True	1	1	5	0	FN
chr1	4649174	4649717	0	0	0	0	False	0	0	0	0	TN
chr1	4939365	4939596	1	1	1	0	True	1	1	1	0	FN
chr1	5198974	5199240	0	0	0	0	False	0	0	0	0	TN
chr1	5246064	5246801	1	1	0	0	False	1	1	0	0	TP
chr1	5523271	5523551	0	0	2	0	False	0	0	2	0	FN
chr1	5816881	5817381	1	1	2	0	True	1	1	1	0	FN
chr1	5884337	5884607	0	0	0	0	False	0	0	0	0	TN
chr1	6004852	6006650	5	5	4	0	True	0	0	4	0	FN
chr1	6742446	6742667	1	1	1	0	True	1	1	1	0	FN
chr1	7803253	7803543	0	0	2	0	False	0	0	2	0	FN
chr1	7864725	7865601	1	1	1	0	True	1	1	1	0	FN
chr1	8645944	8646211	0	0	0	0	False	0	0	0	0	TN
chr1	9592530	9592796	0	0	0	0	False	0	0	0	0	TN
chr1	10187484	10188203	2	1	2	1	True	3	2	0	0	TP
chr1	10970964	10971185	1	1	1	0	True	1	1	1	0	FN
chr1	11522452	11522860	2	1	1	0	True	2	1	0	0	TP
chr1	14109702	14112554	1	1	2	0	True	1	1	1	0	FN
chr1	14492554	14492829	2	1	1	0	True	3	2	0	0	TP
chr1	14514230	14514611	1	1	2	1	True	2	2	1	0	FN
chr1	15388185	15388455	1	1	1	0	True	2	2	0	0	TP
chr1	16166118	16166339	0	0	0	1	False	0	0	0	1	FP
chr1	17241340	17241829	0	0	1	2	True	1	1	0	0	TP
chr1	18049526	18049947	2	1	2	0	True	2	1	1	0	FN
chr1	18330473	18330790	0	0	1	0	False	0	0	1	0	FN
chr1	18502721	18502996	0	0	2	0	False	0	0	2	0	FN
chr1	20623635	20623856	1	1	1	0	True	1	1	1	0	FN
chr1	20981409	20981727	1	1	1	0	True	1	1	0	0	TP
chr1	21179677	21180181	2	2	2	0	True	1	1	1	2	FN,FP
chr1	21388118	21388857	0	0	3	1	True	1	1	0	0	TP
chr1	22577879	22578100	1	1	1	0	True	1	1	1	0	FN
chr1	22599573	22599846	0	0	0	1	False	0	0	0	1	FP
chr1	23392294	23392555	0	0	3	1	True	3	2	0	0	TP
chr1	23899699	23900066	0	0	3	1	True	2	1	0	0	TP
chr1	23935674	23935944	0	0	0	0	False	0	0	0	0	TN
chr1	24067243	24067464	0	0	1	0	False	0	0	1	0	FN
chr1	24211875	24212483	0	0	4	1	True	2	2	2	0	FN
chr1	24344879	24345267	1	1	2	1	True	2	2	2	1	FN,FP
chr1	25808186	25808452	0	0	0	0	False	0	0	0	0	TN
chr1	26488395	26488661	0	0	0	0	False	0	0	0	0	TN
chr1	26637591	26637882	0	0	0	1	False	0	0	0	1	FP
chr1	26650622	26650843	0	0	0	1	False	0	0	0	1	FP
chr1	27107109	27107330	1	1	1	0	True	1	1	1	0	FN
chr1	29707311	29707532	0	0	1	0	False	0	0	1	0	FN
chr1	29723753	29723974	1	1	1	0	True	1	1	1	0	FN
chr1	29727102	29727871	2	2	2	0	True	1	1	2	0	FN
chr1	29771200	29771823	2	1	1	0	True	2	1	0	0	TP
chr1	30488627	30488948	1	1	2	0	True	2	1	0	0	TP
chr1	30655349	30655791	1	1	4	0	True	2	1	0	0	TP
chr1	31431665	31432266	1	1	5	1	True	2	2	2	1	FN,FP
chr1	32738403	32738756	0	0	2	0	False	0	0	2	0	FN
chr1	34777496	34777950	1	1	2	1	True	1	1	2	0	FN
chr1	36267536	36268049	1	1	1	0	True	1	1	0	0	TP
chr1	36957343	36960257	4	4	0	0	False	4	4	0	0	TP
chr1	37753552	37753821	0	0	0	0	False	0	0	0	0	TN
chr1	38945735	38945956	1	1	1	0	True	1	1	1	0	FN
chr1	40058903	40059124	0	0	1	0	False	0	0	1	0	FN
chr1	41544756	41545063	1	1	4	1	True	2	2	2	1	FN,FP
chr1	43904831	43905715	1	1	2	1	True	1	1	2	1	FN,FP
chr1	43917372	43917638	0	0	0	0	False	0	0	0	0	TN
chr1	45497532	45497872	0	0	4	1	True	2	1	0	0	TP
chr1	45710130	45711014	2	1	2	1	True	1	1	2	0	FN
chr1	46776208	46776693	2	2	1	0	True	3	2	1	0	FN
chr1	50381490	50382330	3	3	1	0	True	2	2	0	0	TP
chr1	50819571	50819840	0	0	0	0	False	0	0	0	0	TN
chr1	53283311	53284306	0	0	4	1	True	2	2	1	0	FN
chr1	54458682	54458983	1	1	2	1	True	0	0	2	1	FN,FP
chr1	54561594	54561888	0	0	2	1	True	1	1	0	0	TP
chr1	55508938	55509240	1	1	1	0	True	1	1	1	0	FN
chr1	55662429	55663927	2	2	1	0	True	2	2	1	0	FN
chr1	55665417	55666951	4	4	1	0	True	2	2	2	2	FN,FP
chr1	60085570	60086029	1	1	4	0	True	2	1	0	0	TP
chr1	69915976	69916252	1	1	1	0	True	2	2	1	0	FN
chr1	70646512	70647871	1	1	3	1	True	1	1	2	1	FN,FP
chr1	71898836	71899107	0	0	0	1	False	0	0	0	1	FP
chr1	71927938	71928545	3	3	1	0	True	4	4	1	0	FN
chr1	75280019	75280317	1	1	2	1	True	2	2	1	0	FN
chr1	75902562	75902831	0	0	0	0	False	0	0	0	0	TN
chr1	77016061	77016282	1	1	0	1	True	1	1	0	0	TP
chr1	77444140	77444500	0	0	3	0	False	0	0	3	0	FN
chr1	82576850	82577627	0	0	2	2	True	0	0	0	0	TN
chr1	83013438	83013749	1	1	1	0	True	1	1	1	0	FN
chr1	83019021	83019433	1	1	1	0	True	1	1	1	0	FN
chr1	83892159	83892852	0	0	1	1	True	0	0	1	1	FN,FP
chr1	86216451	86216769	0	0	3	1	True	1	1	0	0	TP
chr1	86985344	86985621	0	0	1	0	False	0	0	1	0	FN
chr1	90378658	90379233	0	0	2	1	True	1	1	0	0	TP
chr1	91169199	91169468	0	0	0	0	False	0	0	0	0	TN
chr1	92821125	92821346	0	0	1	0	False	0	0	1	0	FN
chr1	92846737	92846998	1	1	1	0	True	1	1	1	0	FN
chr1	93846862	93847138	0	0	2	0	False	0	0	2	0	FN
chr1	94384354	94384624	0	0	0	0	False	0	0	0	0	TN
chr1	96265579	96265900	1	1	1	0	True	1	1	0	0	TP
chr1	97323234	97323455	0	0	1	0	False	0	0	1	0	FN
chr1	98512355	98513127	0	0	3	1	True	2	1	0	0	TP
chr1	101253091	101253961	2	2	1	0	True	2	2	0	1	FP
chr1	101402015	101402236	0	0	1	0	False	0	0	1	0	FN
chr1	101552586	101554064	1	1	6	1	True	1	1	1	0	FN
chr1	103172962	103173305	2	1	1	0	True	1	1	2	0	FN
chr1	103364480	103365766	2	2	1	0	True	1	1	1	0	FN
chr1	105769029	105769361	1	1	1	0	True	1	1	0	0	TP
chr1	108023060	108023585	2	1	1	0	True	2	1	0	0	TP
chr1	108666466	108666687	0	0	1	0	False	0	0	1	0	FN
chr1	108771295	108772526	1	1	7	0	True	1	1	2	0	FN
chr1	109177036	109177463	0	0	2	1	True	1	1	0	0	TP
chr1	109682887	109701553	0	0	1	0	False	0	0	1	0	FN
chr1	111414781	111415080	0	0	1	0	False	0	0	1	0	FN
chr1	112146895	112147116	0	0	1	0	False	0	0	1	0	FN
chr1	113068589	113071265	1	1	1	0	True	1	1	1	0	FN
chr1	113416188	113416579	2	2	1	0	True	1	1	2	1	FN,FP
chr1	115568423	115568691	0	0	0	0	False	0	0	0	0	TN
chr1	116305798	116306019	0	0	1	0	False	0	0	1	0	FN
chr1	117429424	117430135	1	1	2	1	True	3	3	0	1	FP
chr1	118318739	118319317	2	1	3	0	True	2	1	0	0	TP
chr1	118401324	118401593	0	0	0	0	False	0	0	0	0	TN
chr1	151847104	151847372	0	0	0	0	False	0	0	0	0	TN
chr1	152213835	152214400	0	0	2	0	False	0	0	2	0	FN
chr1	152218248	152218469	0	0	1	0	False	0	0	1	0	FN
chr1	152305847	152306490	1	1	1	0	True	1	1	1	0	FN
chr1	153243215	153244068	1	1	1	1	True	0	0	2	1	FN,FP
chr1	154125571	154125866	0	0	1	0	False	0	0	1	0	FN
chr1	154713846	154714067	1	1	1	0	True	1	1	1	0	FN
chr1	155189036	155191568	0	0	8	3	True	5	5	1	1	FN,FP
chr1	157203963	157205716	0	0	1	2	True	0	0	1	2	FN,FP
chr1	160984455	160985471	1	1	2	1	True	1	1	1	1	FN,FP
chr1	161055677	161056035	0	0	1	1	True	0	0	1	1	FN,FP
chr1	162726988	162727209	1	1	1	0	True	1	1	1	0	FN
chr1	164063490	164063724	1	1	1	0	True	2	1	0	0	TP
chr1	164206774	164207197	0	0	2	1	True	1	1	0	0	TP
chr1	165582484	165583337	0	0	3	0	False	0	0	3	0	FN
chr1	166463372	166463830	0	0	2	0	False	0	0	2	0	FN
chr1	167056483	167056869	2	1	1	0	True	2	1	0	0	TP
chr1	168395384	168395605	1	1	1	0	True	1	1	1	0	FN
chr1	168471530	168472212	1	1	3	1	True	2	2	2	0	FN
chr1	169255005	169277349	1	1	0	2	True	0	0	1	11	FN,FP
chr1	169354850	169355365	0	0	3	0	False	0	0	3	0	FN
chr1	172571697	172572083	1	1	2	0	True	2	2	1	0	FN
chr1	172694020	172694699	1	1	3	1	True	2	2	1	0	FN
chr1	175240347	175240570	1	1	1	0	True	1	1	1	0	FN
chr1	175980116	175980396	0	0	2	0	False	0	0	2	0	FN
chr1	179040553	179040821	0	0	0	0	False	0	0	0	0	TN
chr1	180656365	180656619	1	1	1	0	True	2	1	0	0	TP
chr1	182118616	182118885	0	0	0	0	False	0	0	0	0	TN
chr1	183149342	183150052	2	2	2	1	True	2	2	2	1	FN,FP
chr1	183614167	183614787	0	0	2	1	True	1	1	0	0	TP
chr1	185420773	185421041	0	0	0	0	False	0	0	0	0	TN
chr1	187303648	187303917	0	0	0	0	False	0	0	0	0	TN
chr1	187495583	187497707	0	0	2	5	True	4	4	0	0	TP
chr1	188978267	188978553	0	0	1	0	False	0	0	1	0	FN
chr1	189818203	189818504	0	0	1	0	False	0	0	1	0	FN
chr1	191234533	191234795	0	0	1	1	True	1	1	0	0	TP
chr1	192857117	192857813	2	1	1	0	True	2	1	1	0	FN
chr1	193298494	193298824	0	0	2	0	False	0	0	2	0	FN
chr1	193497790	193498764	1	1	0	0	False	1	1	0	0	TP
chr1	194481242	194485292	3	3	2	0	True	3	3	1	0	FN
chr1	195571621	195572162	0	0	2	1	True	1	1	0	0	TP
chr1	196578053	196578322	0	0	0	0	False	0	0	0	0	TN
chr1	197164589	197164878	0	0	1	0	False	0	0	1	0	FN
chr1	199905276	199905497	0	0	1	0	False	0	0	1	0	FN
chr1	201210861	201211082	1	1	1	0	True	1	1	1	0	FN
chr1	202204664	202205525	0	0	10	1	True	4	2	1	0	FN
chr1	203966590	203976424	1	1	0	1	True	2	2	0	0	TP
chr1	205209367	205209775	0	0	2	1	True	1	1	0	0	TP
chr1	205985626	205985874	1	1	1	0	True	1	1	1	0	FN
chr1	206052407	206052628	0	0	0	0	False	0	0	0	0	TN
chr1	206054016	206054237	0	0	1	0	False	0	0	1	0	FN
chr1	206064401	206064622	0	0	1	0	False	0	0	1	0	FN
chr1	207542626	207564077	0	0	2	1	True	0	0	2	1	FN,FP
chr1	210465738	210466079	1	1	0	0	False	1	1	0	0	TP
chr1	211811606	211811873	0	0	0	0	False	0	0	0	0	TN
chr1	213119314	213119581	0	0	0	0	False	0	0	0	0	TN
chr1	213740838	213741095	0	0	1	1	True	1	1	0	0	TP
chr1	214833937	214834214	0	0	2	1	True	1	1	0	0	TP
chr1	215209449	215209899	2	1	2	0	True	2	1	0	0	TP
chr1	216779128	216779628	2	2	0	0	False	2	2	0	0	TP
chr1	217523774	217524044	0	0	0	0	False	0	0	0	0	TN
chr1	218988157	218988378	1	1	1	0	True	1	1	1	0	FN
chr1	219960218	219961159	1	1	5	0	True	3	3	1	0	FN
chr1	220466446	220466787	1	1	2	1	True	1	1	2	1	FN,FP
chr1	222138111	222139002	1	1	4	0	True	1	1	0	0	TP
chr1	223478846	223479300	2	2	3	0	True	1	1	3	1	FN,FP
chr1	223635871	223637009	3	3	1	0	True	3	3	1	0	FN
chr1	225335260	225336148	2	2	1	0	True	2	2	0	0	TP
chr1	227909562	227909976	0	0	4	1	True	2	1	0	0	TP
chr1	230334980	230335893	0	0	4	0	False	0	0	4	0	FN
chr1	231052289	231052610	1	1	1	0	True	1	1	1	0	FN
chr1	231732983	231733872	1	1	1	0	True	1	1	0	0	TP
chr1	232332126	232332527	1	1	0	0	False	1	1	0	0	TP
chr1	232725191	232725544	1	1	1	0	True	2	1	0	0	TP
chr1	233339130	233339402	0	0	1	0	False	0	0	1	0	FN
chr1	234995514	234995789	1	1	1	0	True	1	1	1	0	FN
chr1	235025842	235026141	1	1	2	1	True	1	1	2	1	FN,FP
chr1	236186151	236186372	1	1	1	0	True	1	1	1	0	FN
chr1	236633036	236633329	1	1	1	0	True	1	1	1	0	FN
chr1	236654749	236655017	0	0	0	0	False	0	0	0	0	TN
chr1	236713640	236715136	0	0	5	1	True	1	1	1	0	FN
